"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"68","Darrell Daniels",ARI,"vs. MIN"," 5.8","F","1.7","+0.4","25% (3/12)","0%","N/A"
"69","Jesse James",CHI,"vs. CIN"," 7.4","F","1.6","-0.4","18% (3/16)","0%","N/A"
"70","Stephen Anderson",LAC,"vs. DAL"," 4.2","F","1.5","+0.5","30% (3/10)","0%","N/A"
"71","Jacob Harris",LAR,"at IND"," 5.2","F","1.5","-1.1","0% (0/1)","0%","N/A"
"72","Eric Saubert",DEN,"at JAC"," 5.0","F","1.5","-0.4","14% (2/14)","0%","N/A"
"73","Brevin Jordan",HOU,"at CLE"," 7.4","F","1.5","-0.8","0% (0/1)","0%","N/A"
"74","Jacob Hollister",JAC,"vs. DEN"," 4.4","F","1.4","+0.8","33% (5/15)","0%","N/A"
"75","Eric Tomlinson",BAL,"vs. KC"," 5.0","F","1.4","-0.9","0% (0/9)","0%","N/A"
"76","Tommy Tremble",CAR,"vs. NO"," 4.0","F","1.2","-1.2","0% (0/1)","0%","N/A"
"77","Garrett Griffin",NO,"at CAR"," 9.0","F","1.2","-1.7","0% (0/3)","0%","N/A"
"78","Luke Farrell",JAC,"vs. DEN"," 4.0","F","1.2","-1.7","0% (0/1)","0%","N/A"
"79","Tommy Sweeney",BUF,"at MIA"," 5.4","F","1.2","-0.5","0% (0/5)","0%","N/A"
"80","Hunter Bryant",DET,"at GB"," 3.2","F","1.2","-1.0","9% (1/11)","0%","N/A"
"81","Johnny Mundt",LAR,"at IND"," 5.2","F","1.1","-0.2","10% (1/10)","0%","N/A"
"82","Zach Gentry",PIT,"vs. LV"," 5.2","F","1.1","-1.4","0% (0/6)","0%","N/A"
"83","MyCole Pruitt",TEN,"at SEA"," 4.8","F","1.0","-1.3","15% (2/13)","0%","N/A"
"84","John Bates",WAS,"vs. NYG"," 5.2","F","1.0","-1.5","0% (0/1)","0%","N/A"
"85","Antony Auclair",HOU,"at CLE"," 7.4","F","0.9","-1.0","0% (0/12)","0%","N/A"
"86","Brandon Dillon",MIN,"at ARI"," 3.4","F","0.8","-0.3","0% (0/2)","0%","N/A"
"87","Trevon Wesco",NYJ,"vs. NE"," 4.2","F","0.7","-0.5","7% (1/14)","0%","N/A"
"88","Derek Carrier",LV,"at PIT"," 3.2","F","0.7","-0.8","6% (1/15)","0%","N/A"
"89","Brycen Hopkins",LAR,"at IND"," 5.2","F","0.6","-1.7","0% (0/7)","0%","N/A"
"90","Devin Asiasi",NE,"at NYJ"," 7.6","F","0.6","-0.4","10% (1/10)","0%","N/A"
"91","Parker Hesse",ATL,"at TB"," 4.8","F","0.6","-","-","0%","N/A"
"92","Lee Smith",ATL,"at TB"," 4.8","F","0.6","-0.4","14% (2/14)","0%","N/A"
"93","Tre' McKitty",LAC,"vs. DAL"," 5.4","F","0.5","-0.2","0% (0/1)","0%","N/A"
"94","Josiah Deguara",GB,"vs. DET"," 7.4","F","0.5","-1.3","0% (0/3)","0%","N/A"
"95","Mitchell Wilcox",CIN,"at CHI"," 6.8","F","0.4","-0.2","0% (0/1)","0%","N/A"
"96","Colin Thompson",CAR,"vs. NO"," 4.0","F","0.4","-0.1","10% (1/10)","0%","N/A"
"97","Giovanni Ricci",CAR,"vs. NO"," 4.0","F","0.4","-","-","0%","N/A"
"98","Adam Shaheen",MIA,"vs. BUF"," 6.6","F","0.4","+0.4","40% (6/15)","0%","N/A"
"99","Dominique Dafney",GB,"vs. DET","-","F","0.4","+3.3","50% (1/2)","0%","N/A"
"100","Daniel Brown",NYJ,"vs. NE"," 4.2","F","0.4","+0.1","12% (1/8)","0%","N/A"
"101","Cethan Carter",MIA,"vs. BUF"," 6.8","F","0.4","-0.3","16% (2/12)","0%","N/A"
"102","Ben Ellefson",MIN,"at ARI"," 3.4","F","0.3","-0.4","14% (1/7)","0%","N/A"
"103","Charlie Woerner",SF,"at PHI"," 7.6","F","0.3","-0.6","14% (2/14)","0%","N/A"
"104","Jeremy Sprinkle",DAL,"at LAC"," 7.6","F","0.2","-0.8","0% (0/16)","0%","N/A"
"105","Tyler Mabry",SEA,"vs. TEN","-","F","0.2","-","-","0%","N/A"
"106","J.P. Holtz",CHI,"vs. CIN"," 7.4","F","0.2","-0.6","0% (0/16)","0%","N/A"
"107","Jack Stoll",PHI,"vs. SF","-","F","0.2","-0.2","0% (0/1)","0%","N/A"
"108","Andrew Beck",DEN,"at JAC"," 5.0","F","0.2","-1.0","0% (0/13)","0%","N/A"
"109","Jesper Horsted",CHI,"vs. CIN"," 7.4","F","0.1","-0.1","0% (0/3)","0%","N/A"
"110","Codey McElroy",TB,"vs. ATL"," 8.4","F","0.1","-","-","0%","N/A"
"111","Deon Yelder",TB,"vs. ATL"," 8.4","F","0.1","-","-","0%","N/A"
