player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Kelvin Beachum,7229,T,ARZ,11,100.0,0,1,71.2,73.5,64.8,4,25,494,100.0,100.0,96.3,5,33,4,788,0,0,0,788,529,529,0,786,259,2
Charles Leno Jr.,8880,T,WAS,11,100.0,0,32,74.1,83.3,57.5,5,14,432,100.0,100.0,96.6,1,24,5,771,0,0,768,771,461,461,0,3,310,0
Andrew Norwell,9126,G,WAS,11,100.0,1,32,57.0,54.8,59.2,3,14,430,100.0,100.0,97.1,4,21,4,768,0,768,0,768,459,459,0,0,309,0
Quenton Nelson,12954,G,IND,11,100.0,1,14,69.5,73.3,67.1,1,14,462,100.0,100.0,97.9,4,17,2,751,0,751,0,751,490,490,0,0,261,0
Braden Smith,46794,T,IND,11,100.0,1,14,70.6,76.0,65.2,6,10,462,100.0,100.0,97.4,7,20,4,750,0,0,0,750,490,490,79,669,260,2
Josh Myers,59992,C,GB,11,100.0,1,12,61.5,75.5,54.9,2,3,410,100.0,100.0,98.9,2,7,2,716,716,0,0,716,438,438,0,0,278,0
Tristan Wirfs,64818,T,TB,10,100.0,0,30,85.7,89.9,72.6,1,2,443,100.0,100.0,99.7,3,3,0,703,0,0,0,703,473,473,0,702,230,1
Robert Hainsey,59980,C,TB,10,100.0,1,30,64.2,63.9,63.4,3,12,443,100.0,100.0,98.3,2,15,0,703,703,0,0,703,473,473,0,0,230,0
Shaq Mason,9564,G,TB,10,100.0,0,30,70.4,75.6,63.8,4,5,443,100.0,100.0,99.0,2,9,0,702,0,0,0,702,473,473,702,0,229,0
Joel Bitonio,8670,G,CLV,10,100.0,0,8,88.4,76.0,86.6,5,7,370,100.0,100.0,98.1,2,13,1,702,0,702,0,702,402,402,0,0,300,0
Joe Thuney,10712,G,KC,10,100.0,0,16,75.9,84.6,67.1,4,9,450,100.0,100.0,98.3,2,14,1,702,0,702,0,702,486,486,0,0,216,0
Braxton Jones,60092,T,CHI,11,100.0,1,6,71.1,66.5,74.3,3,22,326,100.0,100.0,94.6,6,30,5,700,0,0,697,700,350,350,0,0,350,3
Matt Feiler,9289,G,LAC,10,100.0,0,27,46.3,51.4,45.2,2,22,455,100.0,100.0,96.9,2,26,2,700,0,700,0,700,473,473,0,0,227,0
Zion Johnson,99681,G,LAC,10,100.0,0,27,59.4,44.7,64.2,4,18,455,100.0,100.0,96.9,3,25,3,700,0,0,0,700,473,473,700,0,227,0
Cesar Ruiz,59857,G,NO,11,100.0,0,20,55.1,57.1,52.6,1,7,402,100.0,100.0,98.5,3,10,2,698,33,0,0,698,422,422,665,0,276,0
Creed Humphrey,59996,C,KC,10,100.0,0,16,83.3,77.6,84.6,2,11,449,100.0,100.0,98.6,3,13,0,697,696,0,0,697,485,485,0,0,212,0
Ryan Ramczyk,11787,T,NO,11,100.0,0,20,76.1,72.5,75.5,5,12,400,100.0,100.0,97.1,2,20,3,696,0,0,0,696,420,420,0,696,276,0
Ryan Kelly,10652,C,IND,11,100.0,0,14,61.3,64.6,58.8,2,9,426,100.0,100.0,98.0,1,14,3,696,696,0,0,696,450,450,0,0,246,0
James Daniels,45576,G,PIT,10,100.0,1,25,72.3,75.4,67.0,3,10,416,100.0,100.0,98.4,4,13,0,692,0,0,1,692,453,453,691,0,239,0
Chukwuma Okorafor,46302,T,PIT,10,100.0,1,25,61.7,63.0,57.8,2,23,416,100.0,100.0,96.5,4,27,2,692,0,0,0,692,453,453,0,687,239,5
Orlando Brown Jr.,46227,T,KC,10,100.0,1,16,69.8,68.0,66.8,5,28,449,100.0,100.0,95.9,3,35,2,692,0,0,691,692,485,485,0,0,207,0
Kevin Dotson,46735,G,PIT,10,100.0,1,25,66.9,72.4,64.4,3,4,416,100.0,100.0,98.2,8,11,4,692,0,692,0,692,453,453,0,0,239,0
Dan Moore Jr.,60120,T,PIT,10,100.0,0,25,60.4,64.7,57.2,7,16,416,100.0,100.0,96.0,7,28,5,692,0,0,691,692,453,453,1,0,239,0
Jedrick Wills Jr.,58467,T,CLV,10,100.0,2,8,65.5,65.8,64.5,7,15,359,100.0,100.0,95.8,7,26,4,688,0,0,683,688,390,390,0,0,298,5
Sam Mustipher,13026,C,CHI,11,100.0,1,6,65.3,49.9,69.6,3,9,320,100.0,100.0,97.8,3,13,1,687,687,0,0,687,344,344,0,0,343,0
Cordell Volson,30614,G,CIN,10,100.0,1,7,52.6,50.1,54.7,8,11,425,100.0,100.0,96.8,4,23,4,682,0,682,0,682,449,449,0,0,233,0
Andrew Thomas,59701,T,NYG,10,100.0,0,21,89.5,91.3,79.6,1,8,354,100.0,100.0,98.7,2,9,0,682,0,0,677,682,384,384,0,0,298,3
Dalton Risner,47008,G,DEN,10,100.0,0,10,61.1,69.5,55.4,4,15,396,100.0,100.0,96.8,1,22,3,680,0,680,0,680,427,427,0,0,253,0
Luke Fortner,42028,C,JAX,10,100.0,0,15,52.6,61.8,48.8,3,16,379,100.0,100.0,97.5,3,19,0,677,675,0,0,677,405,405,2,0,272,0
Jonah Williams,41651,T,CIN,10,100.0,0,7,62.0,62.7,53.3,4,15,420,100.0,100.0,95.6,0,28,9,676,0,0,676,676,444,444,0,0,232,0
Jon Runyan,36661,G,GB,11,100.0,0,12,61.8,76.9,52.0,1,7,382,100.0,100.0,98.7,0,9,1,676,0,369,1,676,408,408,306,0,268,0
Ted Karras,10855,C,CIN,10,100.0,0,7,66.4,75.2,62.2,1,10,424,100.0,100.0,98.5,2,12,1,675,675,0,0,675,448,448,0,0,227,0
