player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
D.J. Humphries,9457,T,ARZ,6,100.0,0,1,69.9,79.8,55.1,1,9,283,100.0,100.0,98.2,5,10,0,450,0,0,446,450,301,301,0,0,149,4
Kelvin Beachum,7229,T,ARZ,6,100.0,0,1,70.0,71.5,66.6,3,12,276,100.0,100.0,95.8,4,19,4,443,0,0,0,443,294,294,0,442,149,1
Jason Kelce,6343,C,PHI,6,100.0,1,24,79.5,83.7,75.7,0,3,218,100.0,100.0,99.3,1,3,0,441,441,0,0,441,231,231,0,0,210,0
Quenton Nelson,12954,G,IND,6,100.0,0,14,65.7,71.9,60.6,1,5,278,100.0,100.0,98.2,1,8,2,438,0,438,0,438,296,296,0,0,142,0
Braden Smith,46794,T,IND,6,100.0,0,14,70.1,72.3,66.4,4,4,278,100.0,100.0,97.8,3,10,2,438,0,0,0,438,296,296,79,358,142,1
Matt Feiler,9289,G,LAC,6,100.0,0,27,40.1,43.3,40.7,1,17,272,100.0,100.0,96.3,1,19,1,437,0,437,0,437,286,286,0,0,151,0
Zion Johnson,99681,G,LAC,6,100.0,0,27,57.5,44.1,61.4,3,10,272,100.0,100.0,97.2,3,14,1,437,0,0,0,437,286,286,437,0,151,0
Joel Bitonio,8670,G,CLV,6,100.0,0,8,85.7,79.5,81.6,3,3,224,100.0,100.0,98.2,1,7,1,429,0,429,0,429,240,240,0,0,189,0
Ethan Pocic,11813,C,CLV,6,100.0,0,8,74.6,68.5,73.4,0,5,224,100.0,100.0,98.4,0,6,1,429,429,0,0,429,240,240,0,0,189,0
Will Hernandez,46180,G,ARZ,6,100.0,0,1,66.4,69.2,66.6,1,8,272,100.0,100.0,97.2,2,12,3,425,0,0,0,425,288,288,425,0,137,0
Isaac Seumalo,10713,G,PHI,6,100.0,1,24,65.5,70.0,62.0,2,6,218,100.0,100.0,97.7,3,9,1,424,0,0,0,424,230,230,424,0,194,0
Charles Leno Jr.,8880,T,WAS,6,100.0,0,32,77.5,85.2,61.4,0,9,266,100.0,100.0,97.2,1,12,3,422,0,0,421,422,287,287,0,1,135,0
Alex Cappa,66578,G,CIN,6,100.0,0,7,64.1,72.5,57.6,3,2,265,100.0,100.0,98.3,1,7,2,421,0,0,0,421,282,282,421,0,139,0
Ted Karras,10855,C,CIN,6,100.0,0,7,59.4,66.4,58.3,1,10,265,100.0,100.0,97.5,2,12,1,421,421,0,0,421,282,282,0,0,139,0
La'el Collins,9719,T,CIN,6,100.0,0,7,53.3,45.2,66.5,3,7,265,100.0,100.0,97.4,4,12,2,421,0,0,0,421,282,282,0,421,139,0
Jedrick Wills Jr.,58467,T,CLV,6,100.0,2,8,66.8,69.0,63.1,2,11,218,100.0,100.0,95.6,3,16,3,421,0,0,418,421,234,234,0,0,187,3
Cordell Volson,30614,G,CIN,6,100.0,1,7,50.4,54.4,48.6,5,7,265,100.0,100.0,96.6,3,15,3,421,0,421,0,421,282,282,0,0,139,0
Andrew Norwell,9126,G,WAS,6,100.0,1,32,59.9,66.1,60.2,2,7,264,100.0,100.0,96.8,4,13,4,419,0,419,0,419,285,285,0,0,134,0
Alijah Vera-Tucker,57107,G,NYJ,6,100.0,1,22,69.7,59.4,74.2,3,12,251,100.0,100.0,96.6,1,16,1,416,0,0,70,416,265,265,232,114,151,0
Connor McGovern,10778,C,NYJ,6,100.0,0,22,62.9,71.0,61.4,2,3,251,100.0,100.0,98.6,3,6,1,416,416,0,0,416,265,265,0,0,151,0
Laken Tomlinson,9461,G,NYJ,6,100.0,1,22,49.8,58.6,44.2,0,16,251,100.0,100.0,96.8,1,16,0,416,0,416,0,416,265,265,0,0,151,0
Jonah Williams,41651,T,CIN,6,100.0,0,7,55.9,58.8,46.5,3,11,260,100.0,100.0,95.4,0,19,5,415,0,0,415,415,277,277,0,0,138,0
Matt Pryor,46647,T,IND,6,100.0,0,14,47.9,39.0,55.6,4,14,262,100.0,100.0,94.7,3,23,5,411,0,0,249,411,278,278,81,79,133,2
Lane Johnson,7786,T,PHI,6,100.0,1,24,78.2,86.1,69.8,0,3,210,100.0,100.0,99.3,2,3,0,410,0,0,8,410,223,223,0,402,187,0
Creed Humphrey,59996,C,KC,6,100.0,0,16,84.9,78.4,84.7,2,5,258,100.0,100.0,98.6,2,7,0,410,409,0,0,410,278,278,0,0,132,0
Luke Goedeke,77548,G,TB,6,100.0,0,30,38.2,24.8,51.5,3,14,256,100.0,100.0,95.9,4,19,2,409,0,409,0,409,274,274,0,0,135,0
Shaq Mason,9564,G,TB,6,100.0,0,30,65.4,72.0,60.0,4,2,256,100.0,100.0,98.8,2,6,0,409,0,0,0,409,274,274,409,0,135,0
Joe Thuney,10712,G,KC,6,100.0,0,16,76.9,84.2,68.2,2,6,257,100.0,100.0,98.4,0,8,0,409,0,409,0,409,277,277,0,0,132,0
Robert Hainsey,59980,C,TB,6,100.0,0,30,69.8,67.3,68.9,1,6,256,100.0,100.0,98.6,0,7,0,409,409,0,0,409,274,274,0,0,135,0
Tristan Wirfs,64818,T,TB,6,100.0,0,30,82.5,87.8,72.9,1,2,256,100.0,100.0,99.4,3,3,0,409,0,0,0,409,274,274,0,409,135,0
James Hurst,9001,T,NO,6,100.0,0,20,67.5,78.5,55.2,3,4,221,100.0,100.0,98.0,2,8,1,407,0,0,405,407,236,236,0,0,171,2
Cesar Ruiz,59857,G,NO,6,100.0,0,20,59.9,65.3,54.6,0,2,221,100.0,100.0,98.6,1,4,2,407,0,0,0,407,236,236,407,0,171,0
Ryan Ramczyk,11787,T,NO,6,100.0,0,20,80.2,78.3,75.0,3,5,221,100.0,100.0,96.8,0,11,3,407,0,0,0,407,236,236,0,407,171,0
Erik McCoy,37347,C,NO,6,100.0,0,20,68.4,63.8,67.7,1,5,221,100.0,100.0,98.6,2,6,0,407,407,0,0,407,236,236,0,0,171,0
Orlando Brown Jr.,46227,T,KC,6,100.0,1,16,61.3,58.7,63.3,4,17,258,100.0,100.0,95.5,3,22,1,405,0,0,404,405,278,278,0,0,127,0
Trey Pipkins,91462,T,LAC,6,100.0,0,27,58.1,62.8,50.5,4,7,244,100.0,100.0,97.3,2,12,1,403,0,0,0,403,258,258,0,402,145,1
Andrew Wylie,12333,T,KC,6,100.0,1,16,62.0,55.2,64.6,2,12,256,100.0,100.0,94.9,2,20,6,403,0,0,0,403,276,276,0,400,127,2
Luke Fortner,42028,C,JAX,6,100.0,0,15,51.6,62.9,48.4,2,9,220,100.0,100.0,97.5,1,11,0,401,401,0,0,401,235,235,0,0,166,0
Dion Dawkins,11818,T,BUF,6,99.8,0,4,72.9,81.4,62.5,1,8,272,99.6,99.6,98.0,3,10,1,400,0,0,399,401,280,281,0,0,120,2
Cam Robinson,11789,T,JAX,6,99.8,0,15,67.5,67.3,66.4,2,8,219,99.5,99.6,97.3,2,11,1,399,0,0,385,400,234,235,0,0,165,15
Brandon Scherff,9438,G,JAX,6,100.0,0,15,65.1,73.5,58.2,0,4,219,100.0,100.0,98.6,0,5,1,399,0,0,0,399,234,234,399,0,165,0
Ed Ingram,59819,G,MIN,6,100.0,0,18,61.2,39.1,73.2,7,10,241,100.0,100.0,94.8,2,21,4,398,0,0,0,398,262,262,398,0,136,0
Garrett Bradbury,46013,C,MIN,6,100.0,0,18,65.0,62.3,68.8,2,9,241,100.0,100.0,97.3,3,12,1,398,398,0,0,398,262,262,0,0,136,0
Brian O'Neill,46854,T,MIN,6,100.0,0,18,76.9,67.6,81.7,2,6,241,100.0,100.0,97.5,3,10,2,398,0,0,0,398,262,262,0,397,136,1
Ezra Cleveland,41973,G,MIN,6,100.0,1,18,70.6,57.3,73.3,5,6,241,100.0,100.0,96.9,1,13,2,398,0,398,0,398,262,262,0,0,136,0
Josh Myers,59992,C,GB,6,100.0,1,12,63.2,71.3,60.0,0,3,232,100.0,100.0,99.4,2,3,0,397,397,0,0,397,242,242,0,0,155,0
Christian Darrisaw,77373,T,MIN,6,100.0,0,18,79.8,82.6,68.5,2,6,241,100.0,100.0,98.3,0,8,0,397,0,0,397,397,262,262,0,0,135,0
Jawaan Taylor,41665,T,JAX,6,100.0,0,15,66.3,78.1,51.6,0,5,216,100.0,100.0,97.9,1,7,2,396,0,0,7,396,230,230,0,389,166,0
Dalton Risner,47008,G,DEN,6,100.0,0,10,59.8,73.8,53.0,1,7,230,100.0,100.0,97.4,1,10,2,396,0,396,0,396,250,250,0,0,146,0
Lloyd Cushenberry III,41924,C,DEN,6,100.0,2,10,56.7,78.9,47.8,1,2,230,100.0,100.0,98.9,5,4,1,396,396,0,0,396,250,250,0,0,146,0
Andrew Thomas,59701,T,NYG,6,100.0,0,21,90.2,84.1,87.5,1,7,207,100.0,100.0,98.1,1,8,0,396,0,0,391,396,225,225,0,0,171,3
Royce Newman,41746,G,GB,6,100.0,0,12,59.8,51.1,62.9,4,9,229,100.0,100.0,95.4,1,17,4,395,0,0,0,395,239,239,334,61,156,0
Cameron Fleming,8775,T,DEN,6,100.0,1,10,75.5,67.6,84.8,5,6,228,100.0,100.0,96.7,4,13,2,393,0,0,39,393,248,248,0,354,145,0
Jon Feliciano,9561,C,NYG,6,100.0,0,21,48.8,57.5,47.0,0,9,205,100.0,100.0,96.8,2,11,2,391,391,0,0,391,223,223,0,0,168,0
Rodger Saffold,5558,G,BUF,6,100.0,0,4,40.2,47.8,38.9,1,10,273,100.0,100.0,98.0,2,11,0,389,0,389,0,389,281,281,0,0,108,0
Mark Glowinski,9567,G,NYG,6,100.0,0,21,63.2,48.3,69.4,3,11,203,100.0,100.0,96.1,2,15,1,388,0,0,0,388,220,220,387,0,168,0
Chukwuma Okorafor,46302,T,PIT,6,100.0,1,25,71.3,70.5,68.5,0,11,233,100.0,100.0,97.2,2,12,1,384,0,0,0,384,250,250,0,382,134,2
Kevin Dotson,46735,G,PIT,6,100.0,1,25,57.5,63.5,59.1,2,1,233,100.0,100.0,98.9,7,4,1,384,0,384,0,384,250,250,0,0,134,0
James Daniels,45576,G,PIT,6,100.0,1,25,70.5,79.6,63.9,1,5,233,100.0,100.0,98.7,3,6,0,384,0,0,0,384,250,250,384,0,134,0
Dan Moore Jr.,60120,T,PIT,6,100.0,0,25,60.4,68.0,54.1,2,6,233,100.0,100.0,97.4,4,10,2,384,0,0,384,384,250,250,0,0,134,0
Landon Dickerson,41712,G,PHI,6,100.0,0,24,66.5,77.3,61.7,1,2,184,100.0,100.0,99.2,3,3,0,383,0,383,0,383,197,197,0,0,186,0
Liam Eichenberg,41851,G,MIA,6,100.0,1,17,42.4,34.9,45.6,4,12,241,100.0,100.0,95.9,2,18,2,383,0,381,2,383,258,258,0,0,125,0
Ryan Kelly,10652,C,IND,6,100.0,0,14,62.0,70.1,58.3,1,6,242,100.0,100.0,98.1,1,8,1,383,383,0,0,383,256,256,0,0,127,0
Connor Williams,46216,C,MIA,6,100.0,0,17,62.9,60.6,69.3,1,6,241,100.0,100.0,98.5,4,7,0,383,383,0,0,383,258,258,0,0,125,0
Robert Hunt,46139,G,MIA,6,100.0,1,17,76.9,69.9,80.1,1,7,240,100.0,100.0,97.5,4,10,2,382,0,0,0,382,257,257,377,5,125,0
Mason Cole,45547,C,PIT,6,100.0,0,25,66.9,64.6,65.7,1,6,228,100.0,100.0,98.0,0,8,1,379,379,0,0,379,245,245,0,0,134,0
David Andrews,9948,C,NE,6,100.0,2,19,69.0,60.9,71.6,1,3,194,100.0,100.0,98.5,3,5,1,378,378,0,0,378,208,208,0,0,170,0
Rob Havenstein,9490,T,LA,6,100.0,0,26,62.7,60.7,62.4,2,11,252,100.0,100.0,96.2,4,16,3,378,0,0,0,378,256,256,0,378,122,0
Tyler Smith,98385,T,DAL,6,100.0,2,9,61.8,59.2,63.2,3,7,196,100.0,100.0,95.9,5,13,3,378,0,0,377,378,210,210,0,0,168,0
Terence Steele,39461,T,DAL,6,100.0,0,9,73.2,70.4,76.7,3,6,196,100.0,100.0,97.7,4,9,0,378,0,0,0,378,210,210,0,377,168,0
Trent Brown,9677,T,NE,6,100.0,1,19,71.5,69.5,69.2,2,7,194,100.0,100.0,95.6,3,13,4,378,0,0,378,378,208,208,0,0,170,0
Michael Onwenu,27357,G,NE,6,100.0,0,19,82.3,90.2,75.1,1,1,194,100.0,100.0,99.5,1,2,0,378,0,0,0,378,208,208,378,0,170,0
Tyler Biadasz,41178,C,DAL,6,100.0,0,9,57.6,67.8,54.7,2,3,196,100.0,100.0,98.7,2,5,0,378,377,0,0,378,210,210,0,0,168,0
Zack Martin,8651,G,DAL,6,100.0,0,9,65.1,73.7,58.4,1,7,194,100.0,100.0,97.9,0,8,0,376,0,0,0,376,208,208,375,0,168,0
Ryan Bates,28300,G,BUF,6,100.0,1,4,56.4,47.6,60.9,1,9,253,100.0,100.0,97.6,2,11,1,376,0,0,0,376,260,260,376,0,116,0
Jake Brendel,11117,C,SF,6,100.0,1,28,50.6,62.9,49.6,0,3,195,100.0,100.0,99.2,6,3,0,376,376,0,0,376,209,209,0,0,167,0
Wyatt Teller,46131,G,CLV,6,100.0,0,8,85.3,66.9,88.2,1,5,182,100.0,100.0,97.8,4,7,1,374,0,0,0,374,195,195,374,0,179,0
Evan Neal,99063,T,NYG,6,100.0,0,21,49.0,51.7,48.0,2,8,202,100.0,100.0,95.0,2,15,5,373,0,0,0,373,220,220,0,372,153,0
Chris Lindstrom,46692,G,ATL,6,100.0,0,2,85.3,54.6,87.0,1,3,165,100.0,100.0,97.6,1,6,2,372,0,0,0,372,178,178,372,0,194,0
Kaleb McGary,46912,T,ATL,6,100.0,0,2,72.6,62.3,73.7,1,2,165,100.0,100.0,97.9,1,5,2,372,0,0,0,372,178,178,0,369,194,3
Jake Matthews,8641,T,ATL,6,100.0,1,2,72.2,69.2,68.6,1,6,165,100.0,100.0,97.3,2,8,1,372,0,0,372,372,178,178,0,0,194,0
