"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Cooper Kupp","WR","LAR",23.2,0.686,2.56,21.8,24.5,12.5,12.5,12.4,1,2,1,1,"1",NA,NA,20
"2","Alvin Kamara","RB","NO",21.9,0.341,1.18,20.6,22.9,12.2,12.8,11.1,2,1,5,1,"1",NA,NA,9
"3","Austin Ekeler","RB","LAC",20.7,0.636,0.0945,20.1,21.6,11.1,12.3,9.73,3,3,10,2,"1",NA,NA,26
"4","Najee Harris","RB","PIT",20.6,0.845,1.69,18.5,21.2,11,10.8,9.35,4,4,15,3,"2",NA,NA,47
"5","Travis Kelce","TE","KC",17.6,0.768,0.792,16.1,19.9,10.1,10.2,11.4,5,5,2,1,"1",NA,NA,38
"6","Tyreek Hill","WR","KC",20.6,2.13,1.2,18.7,23.3,9.97,9.35,11.2,6,6,4,2,"2",NA,NA,89
"7","Darren Waller","TE","LVR",16.8,2.59,1.56,13.9,19.9,9.32,7.88,11.4,7,12,3,2,"2",NA,NA,97
"8","Jonathan Taylor","RB","IND",18.9,1.44,0.605,14.5,21.3,9.27,6.82,9.45,8,18,14,4,"2",NA,NA,85
"9","Davante Adams","WR","GB",19.4,1.02,0.172,17.4,21.4,8.77,8.09,9.22,9,11,16,3,"2",NA,NA,39
"10","Dalvin Cook","RB","MIN",18.3,1.94,0.531,16.5,20.2,8.67,8.73,8.31,10,8,21,5,"3",NA,NA,92
"11","Stefon Diggs","WR","BUF",19.2,1.02,0.902,17.9,20.9,8.6,8.55,8.79,11,9,18,4,"3",NA,NA,41
"12","Aaron Jones","RB","GB",17.8,0.629,0.34,15.9,21.8,8.14,8.2,9.95,12,10,8,6,"3",NA,NA,24
"13","Ezekiel Elliott","RB","DAL",17.5,1.04,0.114,15.4,18.9,7.8,7.65,7.01,13,14,30,7,"3",NA,NA,59
"14","Josh Allen","QB","BUF",27,1.71,1.43,24.7,28.7,7.78,6.74,8.36,14,19,20,1,"1",NA,NA,76
"15","Mark Andrews","TE","BAL",15.3,2.3,1.92,12.3,18.1,7.76,6.33,9.57,15,25,13,3,"3",NA,NA,94
"16","Ja'Marr Chase","WR","CIN",18.3,1.09,0.0583,17,21,7.7,7.68,8.89,16,13,17,5,"3",NA,NA,46
"17","Christian McCaffrey","RB","CAR",17.4,0.83,0.81,16.5,19.4,7.68,8.74,7.53,17,7,27,8,"4",NA,NA,45
"18","Justin Jefferson","WR","MIN",18.3,2.98,0.244,15.7,21.9,7.64,6.34,9.76,18,24,9,6,"3",NA,NA,96
"19","Diontae Johnson","WR","PIT",18,0.89,0.335,16.4,21.8,7.39,7.04,9.65,19,16,11,7,"3",NA,NA,32
"20","Deebo Samuel","WR","SF",17.7,0.712,0.0282,16.9,19.2,7.06,7.54,7.11,20,15,29,8,"3",NA,NA,23
"21","CeeDee Lamb","WR","DAL",17.7,1.94,0.0285,15.7,22.7,7.03,6.35,10.6,21,23,6,9,"3",NA,NA,85
"22","A.J. Brown","WR","TEN",17.6,1.22,0.764,15.8,21.8,7,6.47,9.62,22,21,12,10,"4",NA,NA,52
"23","Darrell Henderson","RB","LAR",16.5,0.771,0.13,14.7,18.4,6.87,7,6.57,23,17,33,9,"5",NA,NA,41
"24","Nick Chubb","RB","CLE",16.4,1.17,1.19,13.7,19.4,6.75,5.95,7.54,24,26,26,10,"6",NA,NA,67
"25","Lamar Jackson","QB","BAL",25.5,2.55,2.37,22.6,30.5,6.35,4.71,10.2,25,40,7,2,"2",NA,NA,97
"26","Marquise Brown","WR","BAL",16.9,1.98,0.0291,14.9,20.9,6.24,5.54,8.75,26,30,19,11,"4",NA,NA,87
"27","Adam Thielen","WR","MIN",16.8,3.54,0.148,14.1,20,6.21,4.8,7.89,27,38,22,12,"4",NA,NA,99
"28","Michael Pittman","WR","IND",16.7,1.21,0.326,14.5,19.8,6.06,5.2,7.63,28,34,24,13,"4",NA,NA,51
"29","Mike Gesicki","TE","MIA",13.4,1.04,0.503,12.4,16,5.83,6.38,7.45,29,22,28,4,"3",NA,NA,62
"30","Amari Cooper","WR","DAL",16.4,1.09,0.0102,14.5,17.8,5.74,5.2,5.62,30,33,39,14,"4",NA,NA,45
"31","Mike Williams","WR","LAC",16.4,3.05,0.253,13.8,19.8,5.73,4.5,7.65,31,42,23,15,"5",NA,NA,97
"32","Joe Mixon","RB","CIN",15.2,0.362,0.477,14.3,17.2,5.55,6.55,5.29,32,20,43,11,"7",NA,NA,11
"33","D.J. Moore","WR","CAR",16.1,0.474,0.348,14.6,18,5.47,5.26,5.89,33,32,38,16,"5",NA,NA,7
"34","Kyle Pitts","TE","ATL",12.9,0.445,1.03,11.2,14.1,5.33,5.19,5.56,34,35,40,5,"4",NA,NA,19
"35","Brandin Cooks","WR","HOU",15.8,1.25,0.136,13.8,18.5,5.12,4.44,6.35,35,43,35,17,"5",NA,NA,58
"36","Michael Carter","RB","NYJ",14.7,0.424,0.316,13.6,15.9,5.07,5.89,4.08,36,27,52,12,"7",NA,NA,12
"37","Robert Woods","WR","LAR",15.6,1.5,0.514,15,17.6,4.99,5.68,5.48,37,29,41,18,"6",NA,NA,68
"38","Josh Jacobs","RB","LVR",14.4,1.66,0.133,12.9,18,4.76,5.13,6.1,38,36,37,13,"7",NA,NA,89
"39","Myles Gaskin","RB","MIA",14.3,0.648,0.383,12.3,15.1,4.62,4.53,3.26,39,41,59,14,"8",NA,NA,27
"40","Cordarrelle Patterson","WR","ATL",15.1,2.31,0.0378,13.1,17.3,4.47,3.73,5.17,40,47,44,19,"6",NA,NA,90
"41","Keenan Allen","WR","LAC",15.1,0.39,0.377,12.1,16,4.44,2.76,3.86,41,55,54,20,"6",NA,NA,4
"42","Dallas Goedert","TE","PHI",11.8,0.888,0.851,10.7,15.4,4.3,4.73,6.84,42,39,31,6,"5",NA,NA,44
"43","Cordarrelle Patterson","RB","ATL",13.9,0.867,0.127,13,15.5,4.24,5.27,3.64,43,31,56,15,"8",NA,NA,52
"44","Devontae Booker","RB","NYG",13.8,1.02,0.19,12.8,18.3,4.11,5.12,6.4,44,37,34,16,"8",NA,NA,58
