"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Travis Kelce","TE","KC",18.7,1.21,5.05,17.1,20.7,12.1,11.5,12.6,1,1,1,1,"1",NA,NA,74
"2","Cooper Kupp","WR","LAR",23.1,1.97,2.6,20.3,25.2,11.5,10.6,10.8,2,2,2,1,"1",NA,NA,80
"3","Derrick Henry","RB","TEN",20.9,0.16,0.6,17.7,21.1,10.1,8.23,9.04,3,7,5,1,"1",NA,NA,6
"4","Alvin Kamara","RB","NO",20.3,1.01,0.917,18.5,22.7,9.47,9.01,10.6,4,4,3,2,"2",NA,NA,58
"5","Tyreek Hill","WR","KC",20.5,0.903,0.445,19.2,21.8,8.9,9.54,7.4,5,3,19,2,"1",NA,NA,26
"6","Dalvin Cook","RB","MIN",19.4,1.38,0.15,17.2,21.8,8.55,7.68,9.71,6,10,4,3,"2",NA,NA,77
"7","Stefon Diggs","WR","BUF",20.1,1.64,0.686,18.6,21.6,8.45,8.91,7.15,7,5,21,3,"1",NA,NA,71
"8","D'Andre Swift","RB","DET",19.3,0.989,0.376,17.8,20.5,8.4,8.32,8.43,8,6,9,4,"2",NA,NA,55
"9","Najee Harris","RB","PIT",18.9,0.451,0.748,17.5,20.6,8.02,8.01,8.51,9,8,8,5,"3",NA,NA,23
"10","Ja'Marr Chase","WR","CIN",19.4,2.67,0.257,17.1,21.2,7.76,7.38,6.84,10,12,27,4,"2",NA,NA,91
"11","Justin Jefferson","WR","MIN",19.1,2.18,0.0521,17.3,22.1,7.51,7.57,7.68,11,11,15,5,"2",NA,NA,83
"12","Deebo Samuel","WR","SF",19.1,1.14,0.577,17.6,22,7.46,7.93,7.64,12,9,16,6,"2",NA,NA,40
"13","Josh Allen","QB","BUF",27.1,0.987,2.81,24.8,29,7.34,6.99,7.54,13,15,17,1,"1",NA,NA,47
"14","Austin Ekeler","RB","LAC",18.2,0.344,0.0195,16.4,18.7,7.28,6.85,6.61,14,17,29,6,"3",NA,NA,16
"15","Aaron Jones","RB","GB",18.1,0.237,0.334,16.8,21.1,7.26,7.26,8.99,15,13,6,7,"3",NA,NA,12
"16","Kyle Pitts","TE","ATL",13.7,0.392,1.08,12,16.3,7.05,6.35,8.21,16,19,11,2,"2",NA,NA,11
"17","Jonathan Taylor","RB","IND",17.8,0.215,0.308,16.4,18.9,6.92,6.94,6.84,17,16,26,8,"4",NA,NA,10
