"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Jonathan Taylor","RB","IND",23,0.0741,3.23,21.1,23.8,14.3,13.9,13.5,1,1,1,1,"1",NA,NA,1
"2","Cooper Kupp","WR","LAR",22.9,0.753,2.63,21.9,24,12.6,13.5,12.1,2,2,2,1,"1",NA,NA,20
"3","Austin Ekeler","RB","LAC",19.7,1.03,0.355,17.8,21.7,11.1,10.6,11.3,3,3,3,2,"1",NA,NA,54
"4","Joe Mixon","RB","CIN",19.4,0.48,1.61,17.6,20.7,10.8,10.4,10.4,4,4,7,3,"2",NA,NA,19
"5","Tyreek Hill","WR","KC",20.3,0.993,0.328,18.4,22.6,9.93,9.98,10.7,5,6,5,2,"1",NA,NA,38
"6","Justin Jefferson","WR","MIN",20,1.51,1.53,18,22.2,9.6,9.58,10.3,6,7,8,3,"2",NA,NA,75
"7","Travis Kelce","TE","KC",17.5,1.25,2.47,15.5,20,9.26,9.04,11.3,7,8,4,1,"1",NA,NA,74
"8","Leonard Fournette","RB","TB",17.8,0.119,0.102,17.5,19.3,9.15,10.3,8.92,8,5,16,4,"2",NA,NA,3
"9","Alexander Mattison","RB","MIN",17.7,2.29,0.581,15.3,21,9.05,8.14,10.6,9,10,6,5,"2",NA,NA,94
"10","Najee Harris","RB","PIT",17.1,1.2,0.7,15.7,19.3,8.47,8.54,8.98,10,9,14,6,"3",NA,NA,61
"11","Keenan Allen","WR","LAC",18.5,2.17,0.506,16.4,21.9,8.07,7.95,10.1,11,11,9,4,"3",NA,NA,92
"12","Javonte Williams","RB","DEN",16.4,3.06,0.356,13.1,19.3,7.77,5.96,9,12,24,13,7,"3",NA,NA,99
"13","Chris Godwin","WR","TB",17.9,2.92,0.484,15.5,20.3,7.57,7.1,8.41,13,14,19,5,"3",NA,NA,99
"14","Cordarrelle Patterson","RB","ATL",16,1.73,0.0382,14.8,17.3,7.41,7.64,6.9,14,12,37,8,"3",NA,NA,83
"15","Antonio Gibson","RB","WAS",16,1.56,0.165,13.6,18.7,7.37,6.39,8.35,15,18,20,9,"4",NA,NA,74
"16","Elijah Mitchell","RB","SF",15.8,0.371,0.0625,12.7,17.7,7.21,5.54,7.36,16,26,33,10,"4",NA,NA,13
"17","Saquon Barkley","RB","NYG",15.8,1.64,0.201,14.1,17.4,7.15,6.87,7.1,17,16,35,11,"4",NA,NA,81
"18","Stefon Diggs","WR","BUF",17.5,2.3,0.225,15.4,19.7,7.08,6.95,7.84,18,15,26,6,"4",NA,NA,93
