"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","CAR",25.6,0.368,5.04,24.9,28.8,14.3,15.2,15.7,1,1,1,1,"1",NA,NA,14
"2","Travis Kelce","TE","KC",21,1.45,2.14,19.8,22.1,13.8,13.7,13.6,2,2,2,1,"1",NA,NA,79
"3","Darren Waller","TE","LVR",18.9,0.534,3.71,16.8,21.5,11.7,10.6,12.9,3,3,3,2,"2",NA,NA,21
"4","Alvin Kamara","RB","NO",20.6,1.07,0.0955,18.9,21.4,9.23,9.09,8.36,4,5,8,2,"1",NA,NA,61
"5","Derrick Henry","RB","TEN",20.5,1.19,1,17.6,22.1,9.13,7.83,9.03,5,10,6,3,"2",NA,NA,69
"6","Davante Adams","WR","GB",21,1.07,0.277,19.7,23.4,8.75,9.89,7.42,6,4,11,1,"1",NA,NA,42
"7","Tyreek Hill","WR","KC",20.7,2.54,0.854,18.3,23.3,8.47,8.46,7.27,7,6,13,2,"1",NA,NA,90
"8","Austin Ekeler","RB","LAC",19.5,0.304,0.798,17.1,23,8.14,7.33,9.98,8,13,4,4,"3",NA,NA,7
"9","T.J. Hockenson","TE","DET",15.2,2.58,0.25,12.9,18.4,7.96,6.73,9.88,9,14,5,3,"3",NA,NA,97
"10","George Kittle","TE","SF",14.9,2.98,0.936,12.8,17.5,7.71,6.67,8.95,10,15,7,4,"3",NA,NA,99
"11","Cooper Kupp","WR","LAR",19.8,1.7,0.219,18.1,21.8,7.62,8.32,5.83,11,7,26,3,"1",NA,NA,70
"12","Stefon Diggs","WR","BUF",19.6,1.06,0.055,17.8,21.4,7.4,8.04,5.45,12,8,30,4,"2",NA,NA,41
"13","Aaron Jones","RB","GB",18.7,1.49,1.33,17.3,19.9,7.34,7.49,6.85,14,12,17,5,"4",NA,NA,79
"14","Tyler Lockett","WR","SEA",19.6,1.24,0.171,17.5,22,7.34,7.67,5.98,13,11,24,5,"2",NA,NA,52
"15","DeAndre Hopkins","WR","ARI",19.4,0.904,0.337,15,20.6,7.17,5.25,4.66,15,28,36,6,"2",NA,NA,28
"16","Calvin Ridley","WR","ATL",19.1,0.845,0.353,17.6,20.4,6.84,7.85,4.45,16,9,39,7,"2",NA,NA,25
"17","Mark Andrews","TE","BAL",14,1.11,1.51,11.8,16.8,6.77,5.67,8.2,17,21,9,5,"4",NA,NA,68
"18","Justin Jefferson","WR","MIN",18.7,3.41,0.234,15.2,22,6.48,5.43,6.06,18,24,22,8,"3",NA,NA,99
"19","Keenan Allen","WR","LAC",18.5,3.74,0.452,15.2,23.3,6.25,5.41,7.33,19,25,12,9,"3",NA,NA,99
"20","Jonathan Taylor","RB","IND",17.3,0.787,0.75,15.7,19.5,6.01,5.97,6.41,20,20,20,6,"5",NA,NA,38
"21","DK Metcalf","WR","SEA",18,2.53,0.0597,16.1,20.1,5.8,6.28,4.09,21,17,43,10,"3",NA,NA,89
"22","CeeDee Lamb","WR","DAL",18,1.09,0.138,16.4,21.2,5.74,6.6,5.24,22,16,32,11,"3",NA,NA,45
"23","Lamar Jackson","QB","BAL",26.1,1.12,0.289,23.7,28.6,5.7,5.05,7.08,23,31,14,1,"1",NA,NA,29
"24","A.J. Brown","WR","TEN",17.8,1.73,0.142,15.4,20,5.6,5.63,4.01,24,22,44,12,"3",NA,NA,72
"25","Amari Cooper","WR","DAL",17.7,1,0.256,15.9,18.9,5.46,6.11,2.95,25,19,56,13,"4",NA,NA,37
"26","Kyler Murray","QB","ARI",25.8,1.51,0.664,22.9,27.5,5.41,4.2,5.96,26,46,25,2,"1",NA,NA,63
"27","Nick Chubb","RB","CLE",16.6,1.61,0.181,14.7,19.4,5.26,4.96,6.37,28,34,21,7,"5",NA,NA,85
"28","Kyle Pitts","TE","ATL",12.5,1.47,0.241,9.92,16.2,5.26,3.78,7.63,27,48,10,6,"4",NA,NA,82
"29","Chris Godwin","WR","TB",17.4,2.29,0.23,15.3,19.7,5.2,5.48,3.72,29,23,48,14,"4",NA,NA,86
"30","D'Andre Swift","RB","DET",16.4,1.08,0.179,14.4,19.9,5.08,4.58,6.88,30,40,16,8,"5",NA,NA,62
"31","Rob Gronkowski","TE","TB",12.3,1.09,0.417,11.1,14.6,5.02,5.01,6.04,31,33,23,7,"5",NA,NA,65
"32","Adam Thielen","WR","MIN",17.2,2.08,0.523,15.1,20.2,4.97,5.29,4.2,32,27,42,15,"4",NA,NA,82
"33","Chris Carson","RB","SEA",16.2,0.334,0.0395,15.9,17.3,4.9,6.11,4.21,33,18,41,9,"5",NA,NA,10
