"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","pass_300_yds","pass_300_yds_sd","return_tds","return_tds_sd","rush_100_yds","rush_100_yds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","rec_100_yds","rec_100_yds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","injury_status","injury_details","week","season_year"
"1","Aaron Rodgers","GB","QB","2506363","robust",289.9,13.506486,2.04,0.0889560000000001,0.35,0.14826,7.345,0.889559999999999,0.1,0.014826,0.08,0.014826,0,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Tom Brady","TB","QB","2504211","robust",302.4,18.8290200000001,2.39,0.385476,0.7,0.0741300000000001,2.865,0.118608,0.095,0.014826,0.08625,0.0111195,0,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Justin Herbert","LAC","QB","2565045","robust",299.1,11.71254,2,0,0.907416204537958,0.14826,23.175,1.77912,0.2,0,0.07,0.029652,0.17,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Matthew Stafford","LAR","QB","79860","robust",289.5725,6.37518000000002,2,0.118608,0.6,0.14826,3.6,0.741299999999999,0.015,0,0.095,0.014826,0.13,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Kyler Murray","ARI","QB","2562382","robust",267.65,16.189992,1.935,0.133434,0.585,0.172195498080481,33.1525,1.77912,0.345,0.14826,0.14,0.059304,0,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Dak Prescott","DAL","QB","2555260","robust",288.8,8.8956,1.95,0.14826,0.7,0.29652,10.96,1.03782,0.1,0.014826,0.2125,0.0185325,0.26,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Patrick Mahomes","KC","QB","2558125","robust",273.3225,3.55823999999997,2,0,0.6,0.14826,19.53,1.097124,0.2,0,0.1825,0.051891,0.09,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Josh Allen","BUF","QB","2560955","robust",246.945,8.8956,1.99,0.14826,0.893761821950703,0.22239,40.125,2.07564,0.38,0.14826,0.29125,0.0259455,0.03,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Kirk Cousins","MIN","QB","2532820","robust",270.8775,5.88592200000004,2,0,0.7,0.148408331786973,6.23,1.63086,0.09,0.014826,0.18,0.059304,0.16,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Derek Carr","LVR","QB","2543499","robust",269,3.09863400000005,1.6875,0.29652,0.8,0.10747786878783,7.7,0.889559999999999,0.085,0.029652,0.24,0.059304,0.03,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Matt Ryan","ATL","QB","310","robust",246.8275,10.15581,1.3,0.14826,0.871514434595338,0.168930797075808,4.3,1.03782,0.0825,0,0.18375,0.0481845,0.11,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Jimmy Garoppolo","SF","QB","2543801","robust",254.8,4.07715,1.8775,0.14826,0.605467405526986,0.18996609826276,4.7,2.2239,0.1,0.014826,0.1875,0.037065,0.09,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Ben Roethlisberger","PIT","QB","2506109","robust",258.2,10.08168,1.84,0.118608,0.8,0.0889559999999999,1.875,0.14826,0,0,0.19375,0.0185325,0.22,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Tua Tagovailoa","MIA","QB","2564499","robust",259.85,6.6717,1.8,0.022239,0.531224080569893,0.103782,10.275,3.372915,0.2,0.029652,0.0875,0.0185325,0.1,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Joe Burrow","CIN","QB","2563722","robust",256,5.9304,1.6,0.237216,1,0.0889560000000001,7.9,1.4826,0.1,0.014826,0.105,0.014826,0.06,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Russell Wilson","SEA","QB","2532975","robust",236.8,16.38273,1.595,0.281694,0.65072270531401,0.140847,16.355,3.491523,0.095,0.00741300000000001,0.0925,0.0111195,0.06,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Nick Mullens","CLE","QB","2558979","robust",217,25.64898,1.2,0.29652,0.771610418355612,0.191544196872985,4.245,5.270643,0.025,0,0.1625,0.118608,0.11,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Trevor Lawrence","JAC","QB","2566163","robust",223.445,12.439014,1.075,0.274281,1.02175057365057,0.14826,18.75,0.644931000000003,0.165,0.022239,0.195,0.00741300000000001,0.11,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Davis Mills","HOU","QB","2566136","robust",231,6.049008,1.1,0.126021,0.85,0.229128068228288,8.15,3.906651,0.045,0.051891,0.095,0.00741300000000001,0.1,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Mac Jones","NE","QB","2566334","robust",230.77,9.614661,1.25,0.140847,0.6,0.263204576623349,9,4.358844,0.075,0.051891,0.09875,0.00185325,0.11,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Carson Wentz","IND","QB","2555259","robust",224.0675,9.78515999999999,1.45,0.0889560000000001,0.8,0.117746752447503,13.775,1.03782,0.1,0.014826,0.2225,0.0333585,0.22,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Tyler Huntley","BAL","QB","2563560","robust",215,26.642322,1.05,0.0741300000000001,1.365,0.22239,34.315,1.949619,0.1,0.133434,0.28375,0.02409225,0.08,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Teddy Bridgewater","DEN","QB","2543465","robust",237.02,3.469284,1.325,0.14826,0.794298409259238,0.14826,8.8,1.156428,0.1,0.014826,0.095,0.014826,0.09,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Justin Fields","CHI","QB","2565920","robust",210.85,15.085455,1.14,0.185325,1,0.138527127705423,40.26,6.516027,0.195,0.081543,0.29625,0.00555975000000005,0.06,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Ryan Tannehill","TEN","QB","2532956","robust",225.025,2.75763600000002,1.2775,0.29652,0.706919241711334,0.255486128955105,17.15,0.889560000000002,0.2,0.044478,0.1325,0.0481845,0.13,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Taysom Hill","NO","QB","2558954","robust",197.775,22.602237,1.1,0.14826,0.96,0.103782,48.605,7.413,0.55,0.14826,0.16,0.044478,0.02,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Mike Glennon","NYG","QB","2539275","robust",207.95,13.313748,1,0.07413,1,0.0033137687730814,6.2,3.639783,0.075,0.029652,0.27,0.14826,0.04,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Zach Wilson","NYJ","QB","2566391","robust",216.555,7.71693300000002,1.01,0.0815430000000001,1.46,0.420494155900515,9.7,1.63086,0.105,0.022239,0.06,0.044478,0.13,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Garrett Gilbert","WAS","QB","2549982","robust",216.0825,5.278056,1.0225,0.014826,0.718899006622516,0.237216,15.2475,0.756126,0.1275,0.029652,0.08,0.029652,0.08,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Jared Goff","DET","QB","2555334","robust",214.205,0.830256000000003,1.125,0.133434,0.75,0.08065479568568,5.12,1.163841,0.06,0.051891,0.2975,0.0778365,0.19,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Cam Newton","CAR","QB","2495455","robust",164.955,23.7216,0.745,0.192738,0.9,0.14826,35.8,7.539021,0.33,0.155673,0.1575,0.051891,0.09,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Jalen Hurts","PHI","QB","2564832","robust",188.12,1.4826,1.15,0.237216,0.541166140260343,0.14826,54.245,6.07866,0.415,0.044478,0.16875,0.0037065,0.17,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Kyle Allen","WAS","QB","2561177","robust",153.65,48.03624,0.75,0.22239,0.8,0.59304,6.725,5.33736,0,0,0.225,0.09884,0,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Illness",15,2021
"34","Gardner Minshew","PHI","QB","2562796","robust",26.925,9.303315,0.2,0.044478,0.1,0.022239,2.55,2.127531,0.0075,0.007413,0.1,0,0.06,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Taylor Heinicke","WAS","QB","2553656","robust",166,0,1,0,0.7,0,16.4,0,0.1,0,0.125,0.02471,0,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Illness",15,2021
"36","Kyle Shurmur","FA","QB","2562731","robust",75.935,81.935889,0.285,0.318759,0.36,0.355824,2.775,3.447045,0.06,0.059304,0.06,0.059304,0.04,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Phillip Walker","CAR","QB","2558904","robust",61.2,9.93342,0.15,0.14826,0.4,0.29652,1.425,0.51891,0,0,0.1,0,0,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Jacoby Brissett","MIA","QB","2555261","robust",30.5825,16.760793,0.1,0.044478,0.0425,0.051891,0.7,0.533736,0.0125,0.014826,0,0,0.01,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Colt McCoy","ARI","QB","497123","robust",26.15,7.413,0.1,0,0.05,0,1,0.59304,0,0,0.05,0,0,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Nick Foles","CHI","QB","2532842","robust",28.485,0.0296519999999994,0.0825,0.014826,0.19,0,1.395,0.029652,0.03,0.014826,0.03,0.014826,0.02,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Jake Fromm","NYG","QB","2563608","robust",26.955,9.103164,0.075,0,0.23,0.029652,1.0175,0.934038,0.005,0,0.005,0,0.04,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Geno Smith","SEA","QB","2539335","robust",15.05,0,0.15,0,0.05,0,2,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Trey Lance","SF","QB","2566532","robust",12.49,6.167616,0.0675,0.066717,0.015,0.014826,4.675,2.37216,0.1,0.051891,0,0,0.06,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Drew Lock","DEN","QB","2562305","robust",15.2,0,0.1,0,0.075,0,1.225,0,0.0025,0,0.0025,0,0,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Dalvin Cook","MIN","RB","2557991","robust",NA,NA,NA,NA,NA,NA,94.565,4.38849599999999,0.8,0,0.194,0,0.13,0,NA,NA,0,NA,0,0,3.29,0.29652,27.75,1.70499,0.0725,0.088956,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Nick Chubb","CLE","RB","2561021","robust",NA,NA,NA,NA,NA,NA,92.35,2.99485200000001,0.645,0.0889559999999999,0.1015,0.00889560000000001,0,NA,NA,NA,0,NA,0,0,2.215,0.148259999999999,18.2,0.889560000000002,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Jonathan Taylor","IND","RB","2564148","robust",NA,NA,NA,NA,NA,NA,91.68,9.34038,0.9,0.14826,0.112,0.029652,0,NA,NA,NA,0,NA,0,0,2.6425,0.29652,22.9775,2.44629,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Najee Harris","PIT","RB","2566448","robust",NA,NA,NA,NA,NA,NA,74.6,8.30255999999999,0.6,0.044478,0.1,0,0.01,0,NA,NA,0,NA,0,0,3.7675,0.326172,28.1,0.148260000000002,0.145,0.07413,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Joe Mixon","CIN","RB","2557976","robust",NA,NA,NA,NA,NA,NA,78.4,3.63236999999998,0.6825,0.14826,0.106,0.0177912,0,NA,NA,NA,0,NA,0,0,2.015,0.0444779999999997,15.41,1.18608,0.0925,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","James Robinson","JAC","RB","2564223","robust",NA,NA,NA,NA,NA,NA,73.16,6.31587599999999,0.65,0.133434,0.138,0.0563388,0.03,0,NA,NA,0,NA,0,0,2.725,0.14826,21.0625,2.283204,0.09,0.014826,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Rhamondre Stevenson","NE","RB","2566343","robust",NA,NA,NA,NA,NA,NA,68.255,9.236598,0.6,0.133434,0.0925,0.044478,0.01,0,NA,NA,0,NA,0,0,1.9,0.14826,17,1.85325,0.03,0.022239,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","DOnta Foreman","TEN","RB","2557994","robust",NA,NA,NA,NA,NA,NA,64.6,7.48713,0.52,0.214977,0.19,0.014826,0.01,0,NA,NA,0,NA,0,0,1.41,0.867321,11.085,3.165351,0.025,0.029652,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Sony Michel","LAR","RB","2560809","robust",NA,NA,NA,NA,NA,NA,53.05,13.26927,0.3,0.00741300000000001,0.095,0.037065,0,NA,NA,NA,0,NA,0,0,1.315,0.44478,9.455,4.00302,0.08,0.022239,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Antonio Gibson","WAS","RB","2565276","robust",NA,NA,NA,NA,NA,NA,67.575,4.00302,0.5525,0.118608,0.2205,0.0385476,0,NA,NA,NA,0,NA,0,0,2.5125,0.148259999999999,17.4,3.85476,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","James Conner","ARI","RB","2557978","robust",NA,NA,NA,NA,NA,NA,61.355,0.593039999999998,0.83,0.29652,0.091,0.0177912,0,NA,NA,NA,0,NA,0,0,2.45,0.993342,22.125,10.3782,0.115,0.044478,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Clyde Edwards-Helaire","KC","RB","2564271","robust",NA,NA,NA,NA,NA,NA,57.3,4.937058,0.47,0.103782,0.10875,0.02038575,0,NA,NA,NA,0,NA,0,0,2.2,0.214977,16.255,1.18608,0.13,0.088956,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Josh Jacobs","LVR","RB","2562377","robust",NA,NA,NA,NA,NA,NA,64.355,5.85627,0.6,0.07413,0.1175,0.0185325,0,NA,NA,NA,0,NA,0,0,3.745,0.214977,26.965,1.868076,0.065,0.07413,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Leonard Fournette","TB","RB","2557973","robust",NA,NA,NA,NA,NA,NA,61.3,8.70286199999999,0.63,0.14826,0.1,0,0,NA,NA,NA,0,NA,0,0,4.6,0.163086,34.275,5.33736,0.155,0.088956,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Craig Reynolds","DET","RB","2562834","robust",NA,NA,NA,NA,NA,NA,55.12,4.00302,0.225,0.29652,0.085,0.022239,0.01,0,NA,NA,0,NA,0,0,1.7975,0.281694,15.6375,4.81845,0.065,0.029652,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Melvin Gordon","DEN","RB","2552469","robust",NA,NA,NA,NA,NA,NA,63.075,2.624202,0.62,0.0593040000000001,0.196,0,0,NA,NA,NA,0,NA,0,0,1.9,0.266868,13.395,2.698332,0.095,0.014826,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","David Montgomery","CHI","RB","2562502","robust",NA,NA,NA,NA,NA,NA,66.1,3.13569899999999,0.5,0.096369,0.0875,0.051891,0.03,0,NA,NA,0,NA,0,0,2.96,0.66717,23.66,2.905896,0.07,0.066717,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Miles Sanders","PHI","RB","2562722","robust",NA,NA,NA,NA,NA,NA,63.6,6.664287,0.4,0.044478,0.11125,0.01667925,0.09,0,NA,NA,0,NA,0,0,1.9,0.118608,13.45,0.81543,0.025,0.007413,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Ezekiel Elliott","DAL","RB","2555224","robust",NA,NA,NA,NA,NA,NA,58.405,12.290754,0.585,0.044478,0.102,0,0.09,0,NA,NA,0,NA,0,0,2.62,0.400302,18.8475,3.498936,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","AJ Dillon","GB","RB","2563986","robust",NA,NA,NA,NA,NA,NA,51.85,7.93191,0.23,0.14826,0.0775,0.029652,0,NA,NA,NA,0,NA,0,0,2.01,0.29652,18.155,3.03933,0.1,0.007413,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Alvin Kamara","NO","RB","2558019","robust",NA,NA,NA,NA,NA,NA,61.8125,1.675338,0.5,0.103782,0.0955,0.00889560000000001,0.03,0,NA,NA,0,NA,0,0,4.58,0.148260000000001,38.7375,1.77912,0.2,0.059304,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Saquon Barkley","NYG","RB","2560968","robust",NA,NA,NA,NA,NA,NA,59.195,5.745075,0.4,0.103782,0.1,0,0,NA,NA,NA,0,NA,0,0,3.3,0.37065,25.3,1.319514,0.12,0.111195,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Myles Gaskin","MIA","RB","2562270","robust",NA,NA,NA,NA,NA,NA,55.175,8.828883,0.46,0.088956,0.12375,0.02038575,0,NA,NA,NA,0,NA,0,0,3.055,0.400302,20.9,1.890315,0.15,0.133434,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Devonta Freeman","BAL","RB","2543583","robust",NA,NA,NA,NA,NA,NA,60.65,4.23282300000001,0.42,0.07413,0.085,0.044478,0,NA,NA,NA,0,NA,0,0,2.72,0.37065,18.555,2.00151,0.09,0.014826,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Darrell Henderson","LAR","RB","2562574","robust",NA,NA,NA,NA,NA,NA,48.5575,18.428718,0.4,0.252042,0.01875,0.0259455,0,NA,NA,NA,0,NA,0,0,2.08,0.14826,14.9,1.4826,0.11,0.0660991608585858,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Rashaad Penny","SEA","RB","2560835","robust",NA,NA,NA,NA,NA,NA,57.83,6.182442,0.35,0.170499,0.0775,0.0185325,0.01,0,NA,NA,0,NA,0,0,1,0.200151,8.16,0.830256,0.03,0.029652,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Javonte Williams","DEN","RB","2566049","robust",NA,NA,NA,NA,NA,NA,55.96,6.22692,0.385,0.044478,0.085,0.0266868,0,NA,NA,NA,0,NA,0,0,2.575,0.326172,21.58,1.764294,0.13,0.044478,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
