"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Cooper Kupp","WR","LAR",22.2,2.33,1.64,20.1,24.2,11.7,10.9,12.2,1,2,1,1,"1",NA,NA,94
"2","Christian McCaffrey","RB","CAR",21.8,1.96,1.74,20,24,11.1,11.4,11.2,2,1,3,1,"1",NA,NA,84
"3","Davante Adams","WR","GB",20.6,1.56,0.811,18.2,23.5,10,8.97,11.5,3,6,2,2,"1",NA,NA,76
"4","Jonathan Taylor","RB","IND",20.1,0.623,0.0905,19.2,21.6,9.37,10.6,8.82,4,3,9,2,"1",NA,NA,28
"5","Austin Ekeler","RB","LAC",20,1.28,1.1,18.8,21.2,9.28,10.2,8.38,5,4,12,3,"2",NA,NA,59
"6","Deebo Samuel","WR","SF",19.8,0.632,0.33,18.3,21.8,9.21,9.11,9.74,6,5,5,3,"2",NA,NA,33
"7","Justin Jefferson","WR","MIN",19.4,1.51,0.494,17.5,21.3,8.88,8.27,9.28,7,10,6,4,"2",NA,NA,73
"8","Darren Waller","TE","LVR",16.5,2.52,1.68,14.7,18.9,8.71,8.54,10,8,8,4,1,"1",NA,NA,99
"9","Stefon Diggs","WR","BUF",18.9,1.35,0.88,17.5,21.2,8.39,8.29,9.15,9,9,7,5,"3",NA,NA,67
"10","D'Andre Swift","RB","DET",18.9,1.13,0.559,16.2,20.6,8.18,7.54,7.85,10,13,16,4,"2",NA,NA,54
"11","Najee Harris","RB","PIT",18.3,0.549,0.228,17.3,19.8,7.62,8.65,7.06,11,7,25,5,"3",NA,NA,17
"12","Chris Godwin","WR","TB",18.1,1.35,0.368,17,21.1,7.5,7.79,9.07,12,12,8,6,"4",NA,NA,69
"13","Dalvin Cook","RB","MIN",18.1,2.03,0.447,16.7,19.5,7.39,8.01,6.77,13,11,27,6,"3",NA,NA,86
"14","Keenan Allen","WR","LAC",17.7,1.2,0.0645,16.3,20.7,7.14,7.11,8.64,14,15,11,7,"4",NA,NA,60
"15","Diontae Johnson","WR","PIT",17.6,0.934,0.8,15.5,20.8,7.07,6.27,8.77,15,20,10,8,"5",NA,NA,50
"16","Kyle Pitts","TE","ATL",14.8,0.424,0.134,12.2,16.6,7.03,6.01,7.76,16,21,18,2,"1",NA,NA,15
"17","Ezekiel Elliott","RB","DAL",17.6,0.798,1.23,16.1,20.2,6.94,7.42,7.44,17,14,20,7,"4",NA,NA,35
"18","George Kittle","TE","SF",14.7,0.48,0.104,13,16.7,6.9,6.79,7.79,18,18,17,3,"1",NA,NA,21
"19","Mark Andrews","TE","BAL",14.6,1.97,2.16,11.6,16.9,6.79,5.45,7.98,19,24,14,4,"2",NA,NA,94
"20","Mike Evans","WR","TB",16.8,0.4,0.0585,16,19.9,6.27,6.81,7.86,20,17,15,9,"5",NA,NA,14
"21","Ja'Marr Chase","WR","CIN",16.8,0.964,0.0687,15.2,19.5,6.21,5.96,7.49,21,22,19,10,"5",NA,NA,54
"22","DK Metcalf","WR","SEA",16.7,2.13,0.436,15,19.2,6.14,5.8,7.13,22,23,24,11,"5",NA,NA,93
