,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Derrick Henry,TEN,27,rb,8,8,219,937,49,450,2.1,487,2.2,10,21.9
2,Joe Mixon,CIN,25,rb,8,8,137,572,26,303,2.2,269,2,14,9.8
3,Alvin Kamara,NOR,26,rb,7,7,133,480,18,282,2.1,198,1.5,12,11.1
4,Najee Harris,PIT,23,rb,7,7,128,479,25,242,1.9,237,1.9,9,14.2
5,Jonathan Taylor,IND,22,rb,8,8,121,649,44,316,2.6,333,2.8,11,11
6,Ezekiel Elliott,DAL,26,rb,7,7,118,571,30,324,2.7,247,2.1,3,39.3
7,Damien Harris,NWE,24,rb,8,8,118,517,28,266,2.3,251,2.1,6,19.7
8,Antonio Gibson,WAS,23,rb,8,7,111,442,27,241,2.2,201,1.8,7,15.9
9,Darrell Henderson,LAR,24,rb,7,7,110,507,28,305,2.8,202,1.8,3,36.7
10,Chuba Hubbard,CAR,22,rb,8,5,108,391,22,177,1.6,214,2,5,21.6
11,Nick Chubb,CLE,26,rb,6,6,106,584,28,264,2.5,320,3,9,11.8
12,Aaron Jones,GNB,27,rb,8,8,104,463,22,241,2.3,222,2.1,5,20.8
13,Leonard Fournette,TAM,26,rb,8,7,101,439,25,229,2.3,210,2.1,9,11.2
14,Dalvin Cook,MIN,26,rb,5,5,98,444,26,233,2.4,211,2.2,7,14
15,Mark Ingram,2TM,32,,8,7,98,321,15,133,1.4,188,1.9,6,16.3
16,James Conner,ARI,26,,8,0,94,358,27,166,1.8,192,2,10,9.4
17,D'Andre Swift,DET,22,rb,8,1,90,289,15,212,2.4,77,0.9,4,22.5
18,Melvin Gordon,DEN,28,rb,8,8,88,397,19,236,2.7,161,1.8,9,9.8
19,James Robinson,JAX,23,rb,7,7,88,482,25,260,3,222,2.5,10,8.8
20,Austin Ekeler,LAC,26,rb,7,7,84,420,23,215,2.6,205,2.4,7,12
21,Khalil Herbert,CHI,23,rb,8,2,81,351,20,206,2.5,145,1.8,7,11.6
22,Elijah Mitchell,SFO,23,rb,5,4,81,433,21,211,2.6,222,2.7,5,16.2
23,Javonte Williams,DEN,21,,8,0,78,355,17,177,2.3,178,2.3,12,6.5
24,Lamar Jackson,BAL,24,qb,7,7,76,480,29,291,3.8,189,2.5,10,7.6
25,Mike Davis,ATL,28,rb,7,5,75,258,12,129,1.7,129,1.7,5,15
26,Chase Edmonds,ARI,25,rb,8,8,75,427,21,305,4.1,122,1.6,4,18.8
27,Alex Collins,SEA,27,rb,7,4,74,304,16,186,2.5,118,1.6,5,14.8
28,Michael Carter,NYJ,22,rb,7,5,73,279,16,144,2,135,1.8,4,18.3
29,Jalen Hurts,PHI,23,qb,8,8,73,432,29,349,4.8,83,1.1,8,9.1
30,Jamaal Williams,DET,26,rb,7,7,71,312,24,209,2.9,103,1.5,5,14.2
31,Alexander Mattison,MIN,23,rb,7,2,70,273,11,126,1.8,147,2.1,7,10
32,Kareem Hunt,CLE,26,rb,6,1,69,361,21,161,2.3,200,2.9,8,8.6
