,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Derrick Henry,TEN,27,rb,4,4,113,510,26,283,2.5,227,2,4,28.3
2,Joe Mixon,CIN,25,rb,4,4,83,353,15,202,2.4,151,1.8,11,7.5
3,Alvin Kamara,NOR,26,rb,4,4,78,297,12,167,2.1,130,1.7,8,9.8
4,Nick Chubb,CLE,26,rb,4,4,69,362,18,184,2.7,178,2.6,5,13.8
5,David Montgomery,CHI,24,rb,4,4,69,309,18,133,1.9,176,2.6,7,9.9
6,Ezekiel Elliott,DAL,26,rb,4,4,64,342,19,180,2.8,162,2.5,2,32
7,Antonio Gibson,WAS,23,rb,4,3,59,253,15,132,2.2,121,2.1,5,11.8
8,Clyde Edwards-Helaire,KAN,22,rb,4,4,58,291,9,190,3.3,101,1.7,3,19.3
9,Jonathan Taylor,IND,22,rb,4,4,58,274,20,156,2.7,118,2,7,8.3
10,Aaron Jones,GNB,27,rb,4,4,56,206,12,116,2.1,90,1.6,4,14
11,Najee Harris,PIT,23,rb,4,4,55,185,11,86,1.6,99,1.8,6,9.2
12,Chris Carson,SEA,27,rb,4,4,54,232,11,104,1.9,128,2.4,8,6.8
13,James Conner,ARI,26,,4,0,53,172,14,78,1.5,94,1.8,5,10.6
14,Saquon Barkley,NYG,24,rb,4,4,52,186,9,87,1.7,99,1.9,3,17.3
15,Mark Ingram,HOU,32,rb,4,4,52,171,8,50,1,121,2.3,4,13
16,Christian McCaffrey,CAR,25,rb,3,3,52,201,7,89,1.7,112,2.2,9,5.8
17,Dalvin Cook,MIN,26,rb,3,3,51,226,15,127,2.5,99,1.9,1,51
18,Melvin Gordon,DEN,28,rb,4,4,51,248,11,158,3.1,90,1.8,7,7.3
19,Austin Ekeler,LAC,26,rb,4,4,50,283,14,152,3,131,2.6,5,10
20,Mike Davis,ATL,28,rb,4,3,49,151,6,67,1.4,84,1.7,3,16.3
21,Damien Harris,NWE,24,rb,4,4,49,172,11,74,1.5,98,2,4,12.3
