Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
1,Amari Cooper,DAL,27,wr,1,1,16,13,139,2,8,110,8.5,29,2.2,7.9,0,,0,0,0,142.4
2,Tyreek Hill,KAN,27,wr,1,1,15,11,197,1,8,147,13.4,50,4.5,14.7,0,,0,0,0,137.5
3,Darren Waller,LVR,29,te,1,1,19,10,105,1,4,59,5.9,46,4.6,10.1,1,10,2,10.5,0,86.5
4,Keenan Allen,LAC,29,wr,1,1,13,9,100,0,7,66,7.3,34,3.8,8.6,1,9,1,7.7,0,91.8
5,Stefon Diggs,BUF,28,wr,1,1,14,9,69,0,4,43,4.8,26,2.9,10.4,0,,0,0,0,76.2
6,Chris Godwin,TAM,25,wr,1,1,14,9,105,1,7,60,6.7,45,5,9.1,2,4.5,2,14.3,0,110.7
7,Christian McCaffrey,CAR,25,rb,1,1,9,9,89,0,6,19,2.1,70,7.8,2.1,1,9,0,0,0,107.9
8,Deebo Samuel,SFO,25,wr,1,1,12,9,189,1,6,80,8.9,109,12.1,8.3,0,,2,16.7,0,144.4
9,Adam Thielen,MIN,31,wr,1,1,10,9,92,2,5,67,7.4,25,2.8,7.3,0,,0,0,0,144.6
10,Cole Beasley,BUF,32,wr,1,1,13,8,60,0,1,34,4.3,26,3.3,4.5,0,,2,15.4,0,72.6
11,Rob Gronkowski,TAM,32,te,1,1,8,8,90,2,5,53,6.6,37,4.6,6.6,0,,0,0,0,153.1
12,T.J. Hockenson,DET,24,te,1,1,10,8,97,1,7,41,5.1,56,7,5.5,1,8,0,0,1,100.8
13,D'Andre Swift,DET,22,,1,0,11,8,65,1,2,-6,-0.8,71,8.9,0.6,3,2.7,2,18.2,0,117.6
14,Jamaal Williams,DET,26,rb,1,1,9,8,56,0,4,-2,-0.3,58,7.3,-0.7,1,8,0,0,0,92.6
15,Mike Williams,LAC,27,wr,1,1,12,8,82,1,6,69,8.6,13,1.6,9.8,0,,2,16.7,0,113.9
16,Cooper Kupp,LAR,28,wr,1,1,10,7,108,1,3,63,9,45,6.4,7.1,2,3.5,1,10,0,138.7
17,CeeDee Lamb,DAL,22,wr,1,1,15,7,104,1,5,47,6.7,57,8.1,10,0,,2,13.3,1,64.3
18,K.J. Osborn,MIN,24,wr,1,1,9,7,76,0,3,65,9.3,11,1.6,9.6,1,7,0,0,0,101.9
19,Laviska Shenault Jr.,JAX,23,,1,0,9,7,50,0,3,12,1.7,38,5.4,4.1,1,7,1,11.1,1,50.2
20,Sterling Shepard,NYG,28,wr,1,1,9,7,113,1,6,72,10.3,41,5.9,10.2,1,7,0,0,0,155.8
21,Marquise Brown,BAL,24,wr,1,1,6,6,69,1,4,48,8,21,3.5,8,0,,0,0,0,154.2
22,Dalvin Cook,MIN,26,rb,1,1,7,6,43,0,2,-9,-1.5,52,8.7,-1.3,1,6,1,14.3,0,92.3
23,Noah Fant,DEN,24,te,1,1,8,6,62,0,3,37,6.2,25,4.2,6.9,0,,0,0,0,96.9
24,Nyheim Hines,IND,25,,1,0,8,6,48,0,2,2,0.3,46,7.7,1,0,,0,0,0,89.6
25,DeAndre Hopkins,ARI,29,wr,1,1,8,6,83,2,4,51,8.5,32,5.3,11.3,0,,0,0,0,147.4
26,Jerry Jeudy,DEN,22,wr,1,1,7,6,72,0,4,44,7.3,28,4.7,9,0,,0,0,0,109.5
27,Travis Kelce,KAN,32,te,1,1,7,6,76,2,6,41,6.8,35,5.8,7.1,2,3,0,0,0,151.5
28,Jakobi Meyers,NWE,25,wr,1,1,9,6,44,0,4,24,4,20,3.3,7,0,,1,11.1,0,78
29,D.J. Moore,CAR,24,wr,1,1,8,6,80,0,5,63,10.5,17,2.8,11.8,0,,1,12.5,0,106.2
30,James O'Shaughnessy,JAX,29,te,1,1,8,6,48,0,2,25,4.2,23,3.8,4.9,1,6,1,12.5,0,89.6
31,Jalen Reagor,PHI,22,,1,0,6,6,49,1,2,6,1,43,7.2,1,0,,0,0,0,140.3
32,Hunter Renfrow,LVR,26,,1,0,9,6,70,0,3,19,3.2,51,8.5,6.1,1,6,1,11.1,0,90
33,Allen Robinson,CHI,28,wr,1,1,11,6,35,0,3,25,4.2,10,1.7,3.8,0,,1,9.1,0,60.8
34,Dalton Schultz,DAL,25,te,1,1,6,6,45,0,3,14,2.3,31,5.2,2.3,2,3,0,0,0,97.9
35,DeVonta Smith,PHI,23,wr,1,1,8,6,71,1,4,54,9,17,2.8,7,0,,0,0,0,141.1
36,Jonathan Taylor,IND,22,rb,1,1,7,6,60,0,3,-8,-1.3,68,11.3,-1.1,0,,1,14.3,0,102.4
37,James White,NWE,29,,1,0,7,6,49,0,2,26,4.3,23,3.8,3.3,0,,1,14.3,0,95.8
38,Davante Adams,GNB,29,wr,1,1,7,5,56,0,1,44,8.8,12,2.4,7.3,1,5,0,0,1,55.4
39,Nelson Agholor,NWE,28,wr,1,1,7,5,72,1,4,64,12.8,8,1.6,11.3,0,,0,0,0,144
40,Danny Amendola,HOU,36,,1,0,5,5,34,1,2,20,4,14,2.8,4,0,,0,0,0,134.6
41,Braxton Berrios,NYJ,26,,1,0,7,5,51,0,2,33,6.6,18,3.6,5.6,0,,0,0,0,92
42,Antonio Brown,TAM,33,wr,1,1,7,5,121,1,4,94,18.8,27,5.4,20.6,0,,0,0,0,153.3
43,Ja'Marr Chase,CIN,21,wr,1,1,7,5,101,1,3,65,13,36,7.2,16.3,1,5,0,0,0,153.3
44,Jared Cook,LAC,34,te,1,1,8,5,56,0,3,30,6,26,5.2,8.4,0,,0,0,0,83.3
45,Brandin Cooks,HOU,28,wr,1,1,7,5,132,0,4,113,22.6,19,3.8,18.9,1,5,1,14.3,0,113.7
46,Corey Davis,NYJ,26,wr,1,1,7,5,97,2,4,68,13.6,29,5.8,16.9,0,,1,14.3,0,153.3
47,Kenyan Drake,LVR,27,,1,0,5,5,59,0,2,10,2,49,9.8,2,2,2.5,0,0,0,115.8
48,Leonard Fournette,TAM,26,rb,1,1,7,5,27,0,3,-8,-1.6,35,7,-0.6,0,,1,14.3,1,38.1
49,Myles Gaskin,MIA,24,rb,1,1,5,5,27,0,1,13,2.6,14,2.8,2.6,0,,0,0,0,89.2
50,Tyler Higbee,LAR,28,te,1,1,6,5,68,0,4,23,4.6,45,9,4.7,0,,0,0,0,113.9
51,Justin Jefferson,MIN,22,wr,1,1,9,5,71,0,3,37,7.4,34,6.8,12.6,1,5,0,0,0,81.2
52,Diontae Johnson,PIT,25,wr,1,1,10,5,36,1,2,5,1,31,6.2,4.9,0,,0,0,0,92.1
53,Marvin Jones,JAX,31,wr,1,1,9,5,77,1,3,65,13,12,2.4,11.6,0,,0,0,0,121.1
54,Christian Kirk,ARI,25,,1,0,5,5,70,2,3,23,4.6,47,9.4,12,0,,0,0,0,158.3
55,Cole Kmet,CHI,22,te,1,1,7,5,42,0,3,16,3.2,26,5.2,4.4,1,5,1,14.3,0,86.6
56,Jarvis Landry,CLE,29,wr,1,1,5,5,71,0,2,10,2,61,12.2,2,0,,0,0,0,118.7
57,Darnell Mooney,CHI,24,wr,1,1,7,5,26,0,1,24,4.8,2,0.4,6.4,0,,0,0,1,37.5
58,Calvin Ridley,ATL,27,wr,1,1,8,5,51,0,3,45,9,6,1.2,11.5,0,,1,12.5,0,80.7
59,Jonnu Smith,NWE,26,te,1,1,5,5,42,0,2,18,3.6,24,4.8,3.6,0,,0,0,0,101.7
60,A.J. Brown,TEN,24,wr,1,1,8,4,49,1,4,9,2.3,40,10,8.1,0,,0,0,0,108.9
61,Pharaoh Brown,HOU,27,te,1,1,5,4,67,0,3,33,8.3,34,8.5,13.2,1,4,0,0,0,118.7
62,Tyler Conklin,MIN,26,,1,0,4,4,41,0,1,31,7.8,10,2.5,7.8,0,,0,0,0,109.4
63,Chase Edmonds,ARI,25,rb,1,1,4,4,43,0,1,-6,-1.5,49,12.3,-3,0,,0,0,0,111.5
64,Bryan Edwards,LVR,23,wr,1,1,5,4,81,0,4,69,17.3,12,3,19.4,0,,0,0,0,118.7
65,Michael Gallup,DAL,25,,1,0,7,4,36,0,3,10,2.5,26,6.5,6,1,4,0,0,0,71.1
66,Dallas Goedert,PHI,26,te,1,1,5,4,42,1,3,24,6,18,4.5,6.8,0,,0,0,0,141.2
67,Kenny Golladay,NYG,28,wr,1,1,6,4,64,0,4,63,15.8,1,0.3,15,0,,0,0,0,102.1
68,Marquise Goodwin,CHI,31,,1,0,4,4,45,0,2,28,7,17,4.3,7,0,,0,0,0,113.5
69,Tee Higgins,CIN,22,wr,1,1,5,4,58,1,4,35,8.8,23,5.8,8.2,1,4,0,0,0,154.6
70,Hayden Hurst,ATL,28,te,1,1,4,4,28,0,1,10,2.5,18,4.5,2.5,0,,0,0,0,95.8
