Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
1,Davante Adams,GNB,29,wr,3,3,34,25,309,1,15,233,9.3,76,3,12.1,1,25,1,2.9,1,98.8
2,Cooper Kupp,LAR,28,wr,3,3,33,25,367,5,16,193,7.7,174,7,8.2,5,5,2,6.1,1,138.5
3,Cole Beasley,BUF,32,wr,3,2,30,23,194,0,8,99,4.3,95,4.1,4.9,0,,1,3.3,0,92.9
4,Brandin Cooks,HOU,28,wr,3,3,32,23,322,1,13,261,11.3,61,2.7,13.4,1,23,2,6.3,0,114.3
5,D.J. Moore,CAR,24,wr,3,3,31,22,285,1,16,204,9.3,81,3.7,10.7,2,11,2,6.5,0,110.3
6,Jaylen Waddle,MIA,23,wr,3,3,26,22,167,1,7,76,3.5,91,4.1,4.2,2,11,2,7.7,0,106.2
7,Mike Williams,LAC,27,wr,3,2,31,22,295,4,16,186,8.5,109,5,9.3,1,22,3,9.7,0,140.5
8,Keenan Allen,LAC,29,wr,3,3,33,21,258,1,16,179,8.5,79,3.8,8.3,1,21,3,9.1,2,72.5
9,Adam Thielen,MIN,31,wr,3,3,26,21,181,4,12,123,5.9,58,2.8,6.2,0,,0,0,0,135.3
10,Najee Harris,PIT,23,rb,3,3,27,20,149,1,7,0,0,149,7.5,0.2,6,3.3,4,14.8,0,99.2
11,Justin Jefferson,MIN,22,wr,3,3,30,20,254,2,13,158,7.9,96,4.8,10.7,1,20,3,10,0,115.1
12,Travis Kelce,KAN,32,te,3,3,26,20,289,3,17,138,6.9,151,7.6,8.7,3,6.7,1,3.8,2,118.9
13,Calvin Ridley,ATL,27,wr,3,3,29,20,175,1,9,110,5.5,65,3.3,8.8,0,,1,3.4,0,96.2
14,Deebo Samuel,SFO,25,wr,3,3,30,20,334,1,13,150,7.5,184,9.2,7,2,10,4,13.3,0,115.1
15,Darren Waller,LVR,29,te,3,3,33,20,224,1,10,153,7.7,71,3.6,10.6,1,20,2,6.1,0,91
16,Amari Cooper,DAL,27,wr,3,3,26,19,189,2,12,141,7.4,48,2.5,8.1,0,,1,3.8,0,118.9
17,Stefon Diggs,BUF,28,wr,3,3,31,19,191,1,11,143,7.5,48,2.5,12.5,0,,1,3.2,1,76.1
18,Chris Godwin,TAM,25,wr,3,3,25,19,241,2,15,129,6.8,112,5.9,8,2,9.5,2,8,0,132.2
19,Tyreek Hill,KAN,27,wr,3,3,26,19,267,1,12,184,9.7,83,4.4,12.8,1,19,0,0,0,118.6
20,Terry McLaurin,WAS,26,wr,3,3,25,19,231,1,12,149,7.8,82,4.3,8.3,1,19,0,0,2,83.9
21,Jakobi Meyers,NWE,25,wr,3,3,29,19,176,0,7,126,6.6,50,2.6,9.9,0,,1,3.4,0,82
22,D'Andre Swift,DET,22,,3,0,23,19,166,1,7,-37,-1.9,203,10.7,-0.8,4,4.8,2,8.7,0,111.2
23,T.J. Hockenson,DET,24,te,3,3,22,18,173,2,11,98,5.4,75,4.2,6.9,1,18,0,0,1,110.8
24,CeeDee Lamb,DAL,22,wr,3,3,27,18,251,1,12,131,7.3,120,6.7,9.6,1,18,2,7.4,2,77.9
25,Sterling Shepard,NYG,28,wr,3,3,22,18,223,1,11,162,9,61,3.4,8.8,1,18,1,4.5,0,124.1
26,Marvin Jones,JAX,31,wr,3,3,28,17,194,2,9,162,9.5,32,1.9,12.1,0,,0,0,0,105.4
27,Michael Pittman Jr.,IND,24,wr,3,3,28,17,220,0,11,157,9.2,63,3.7,10.8,0,,0,0,0,85.4
28,Chase Edmonds,ARI,25,rb,3,3,17,16,121,0,3,1,0.1,120,7.5,0.6,1,16,0,0,0,96.3
29,Mike Evans,TAM,28,wr,3,3,25,16,205,2,14,159,9.9,46,2.9,13.7,0,,0,0,0,116.2
30,Rob Gronkowski,TAM,32,te,3,3,20,16,184,4,9,108,6.8,76,4.8,9.3,1,16,2,10,0,144.6
31,Tyler Lockett,SEA,29,wr,3,3,20,16,309,3,8,208,13,101,6.3,14.2,1,16,0,0,0,158.3
32,Christian McCaffrey,CAR,25,rb,3,3,17,16,163,0,12,12,0.8,151,9.4,0.7,5,3.2,0,0,0,106.6
33,D.K. Metcalf,SEA,24,wr,3,3,25,16,220,2,11,146,9.1,74,4.6,12.7,2,8,0,0,0,118.7
34,Hunter Renfrow,LVR,26,,3,0,22,16,204,1,10,109,6.8,95,5.9,8.2,1,16,1,4.5,0,116.5
35,Marquise Brown,BAL,24,wr,3,3,23,15,235,2,11,140,9.3,95,6.3,15.3,1,15,3,13,2,91.8
36,Chase Claypool,PIT,23,wr,3,2,29,15,211,0,9,152,10.1,59,3.9,12.5,0,,1,3.4,1,61.1
37,Austin Ekeler,LAC,26,rb,3,3,15,15,113,1,6,8,0.5,105,7,0.5,1,15,0,0,0,120.3
38,Christian Kirk,ARI,25,wr,3,1,17,15,239,2,11,188,12.5,51,3.4,15.6,0,,0,0,2,118.4
39,George Kittle,SFO,28,te,3,3,18,15,187,0,8,48,3.2,139,9.3,5.8,3,5,0,0,1,86.8
40,Courtland Sutton,DEN,26,wr,3,3,20,15,210,0,8,176,11.7,34,2.3,16.8,0,,0,0,0,108.3
41,Braxton Berrios,NYJ,26,,3,0,21,14,150,0,5,110,7.9,40,2.9,7.6,0,,0,0,1,67.6
42,Tyler Boyd,CIN,27,wr,3,2,19,14,141,1,8,74,5.3,67,4.8,6.8,1,14,0,0,3,72.4
43,Mike Davis,ATL,28,rb,3,3,17,14,68,0,2,-23,-1.6,91,6.5,-1.4,3,4.7,0,0,0,83.3
