,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Joe Mixon,CIN,25,rb,1,1,29,127,6,74,2.6,53,1.8,6,4.8
2,Mark Ingram,HOU,32,rb,1,1,26,85,4,22,0.8,63,2.4,1,26
3,Damien Harris,NWE,24,rb,1,1,23,100,6,52,2.3,48,2.1,1,23
4,Christian McCaffrey,CAR,25,rb,1,1,21,98,2,59,2.8,39,1.9,0,
5,Dalvin Cook,MIN,26,rb,1,1,20,61,5,25,1.3,36,1.8,1,20
6,Antonio Gibson,WAS,23,rb,1,1,20,90,5,41,2.1,49,2.5,0,
7,Alvin Kamara,NOR,26,rb,1,1,20,83,4,56,2.8,27,1.4,0,
8,Elijah Mitchell,SFO,23,,1,0,19,104,4,64,3.4,40,2.1,3,6.3
9,Derrick Henry,TEN,27,rb,1,1,17,58,2,41,2.4,17,1,0,
10,Jonathan Taylor,IND,22,rb,1,1,17,56,6,21,1.2,35,2.1,3,5.7
11,Chris Carson,SEA,27,rb,1,1,16,91,2,25,1.6,66,4.1,4,4
12,James Conner,ARI,26,,1,0,16,53,2,23,1.4,30,1.9,3,5.3
13,Najee Harris,PIT,23,rb,1,1,16,45,3,23,1.4,22,1.4,1,16
14,Darrell Henderson,LAR,24,rb,1,1,16,70,4,48,3,22,1.4,0,
15,David Montgomery,CHI,24,rb,1,1,16,108,6,27,1.7,81,5.1,2,8
16,Nick Chubb,CLE,26,rb,1,1,15,83,4,48,3.2,35,2.3,2,7.5
17,Mike Davis,ATL,28,rb,1,1,15,49,2,29,1.9,20,1.3,1,15
18,Austin Ekeler,LAC,26,rb,1,1,15,57,3,25,1.7,32,2.1,0,
19,Miles Sanders,PHI,24,rb,1,1,15,74,3,65,4.3,9,0.6,0,
20,Clyde Edwards-Helaire,KAN,22,rb,1,1,14,43,0,31,2.2,12,0.9,0,
21,Javonte Williams,DEN,21,,1,0,14,45,1,17,1.2,28,2,1,14
22,Chase Edmonds,ARI,25,rb,1,1,12,63,3,57,4.8,6,0.5,0,
23,Lamar Jackson,BAL,24,qb,1,1,12,86,4,36,3,50,4.2,3,4
24,Ezekiel Elliott,DAL,26,rb,1,1,11,33,2,20,1.8,13,1.2,0,
25,Melvin Gordon,DEN,28,rb,1,1,11,101,2,79,7.2,22,2,0,
26,Tony Jones,NOR,24,,1,0,11,50,2,28,2.5,22,2,0,
27,Devin Singletary,BUF,24,,1,0,11,72,4,54,4.9,18,1.6,1,11
28,D'Andre Swift,DET,22,,1,0,11,39,2,34,3.1,5,0.5,0,
29,Saquon Barkley,NYG,24,rb,1,1,10,26,1,12,1.2,14,1.4,0,
30,Josh Jacobs,LVR,23,rb,1,1,10,34,4,14,1.4,20,2,2,5
31,Latavius Murray,BAL,31,,1,0,10,28,1,4,0.4,24,2.4,1,10
32,Josh Allen,BUF,25,qb,1,1,9,44,4,30,3.3,14,1.6,1,9
33,Tevin Coleman,NYJ,28,rb,1,1,9,24,2,9,1,15,1.7,0,
34,Leonard Fournette,TAM,26,rb,1,1,9,32,1,14,1.6,18,2,1,9
35,Kenneth Gainwell,PHI,22,,1,0,9,37,3,35,3.9,2,0.2,0,
36,Myles Gaskin,MIA,24,rb,1,1,9,49,2,25,2.8,24,2.7,1,9
37,Nyheim Hines,IND,25,,1,0,9,34,2,21,2.3,13,1.4,2,4.5
38,Carlos Hyde,JAX,31,,1,0,9,44,3,26,2.9,18,2,0,
39,Jamaal Williams,DET,26,rb,1,1,9,54,4,40,4.4,14,1.6,1,9
40,Ty'Son Williams,BAL,25,rb,1,1,9,65,2,14,1.6,51,5.7,0,
41,Jalen Hurts,PHI,23,qb,1,1,8,57,4,46,5.8,11,1.4,1,8
42,Phillip Lindsay,HOU,27,,1,0,8,25,1,17,2.1,8,1,0,
