Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
1,Cooper Kupp,LAR,28,WR,11,11,126,92,1237,10,58,698,7.6,539,5.9,8.7,7,13.1,8,6.3,4,117.1
2,Tyreek Hill,KAN,27,WR,11,11,122,84,932,8,57,585,7,347,4.1,10.4,9,9.3,6,4.9,2,106.3
3,Keenan Allen,LAC,29,WR,11,11,116,81,895,2,48,600,7.4,295,3.6,7.9,1,81,5,4.3,4,83.8
4,Davante Adams,GNB,29,WR,11,11,115,80,1083,5,53,705,8.8,378,4.7,10.8,2,40,2,1.7,3,102.9
5,Jaylen Waddle,MIA,23,WR,12,12,103,77,759,4,45,427,5.5,332,4.3,7.2,4,19.3,5,4.9,7,79.7
6,Diontae Johnson,PIT,25,wr,10,9,109,68,809,4,40,448,6.6,361,5.3,9.4,2,34,0,0,2,89.6
7,Stefon Diggs,BUF,28,WR,11,11,101,67,847,7,44,618,9.2,229,3.4,11.4,3,22.3,1,1,4,98.9
8,Chris Godwin,TAM,25,WR,11,11,88,67,806,5,42,360,5.4,446,6.7,7.6,5,13.4,4,4.5,2,113.2
9,Justin Jefferson,MIN,22,WR,11,11,98,67,1027,6,48,692,10.3,335,5,12.1,3,22.3,4,4.1,0,123.1
10,Travis Kelce,KAN,32,TE,11,11,97,67,821,5,47,409,6.1,412,6.1,7.6,8,8.4,9,9.3,5,90.6
11,D.J. Moore,CAR,24,WR,12,12,112,66,854,4,45,560,8.5,294,4.5,11,4,16.5,7,6.3,5,76.3
12,Hunter Renfrow,LVR,26,wr,11,5,82,64,658,4,28,346,5.4,312,4.9,6.2,2,32,2,2.4,1,111.3
13,Adam Thielen,MIN,31,WR,11,11,90,63,686,10,36,461,7.3,225,3.6,9.5,1,63,1,1.1,2,120
14,Cole Beasley,BUF,32,wr,11,5,79,62,530,1,26,299,4.8,231,3.7,5.6,0,,3,3.8,1,93.6
15,Brandin Cooks,HOU,28,WR,11,11,92,62,704,3,31,552,8.9,152,2.5,11.6,2,31,3,3.3,3,87.4
