,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
2,Christian McCaffrey,CAR,25,rb,2,2,45,170,5,100,2.3,70,1.6,5,8.7
4,Mark Ingram,HOU,32,rb,2,2,40,126,5,40,1.1,86,2.1,4,11.5
31,Phillip Lindsay,HOU,27,,2,0,13,27,3,20,1.1,7,0.5,0,
32,Chuba Hubbard,CAR,22,,2,0,8,10,3,7,2.7,3,0.6,0,
46,Sam Darnold,CAR,24,qb,2,2,6,6,4,6,1.2,0,0,0,
55,David Johnson,HOU,30,,2,0,9,36,2,26,2.4,10,1.8,0,
84,Royce Freeman,CAR,25,,2,0,5,17,1,17,3.4,0,0,0,
118,D.J. Moore,CAR,24,wr,2,2,2,13,1,11,5.5,2,1,0,
143,Brandin Cooks,HOU,28,wr,2,2,1,5,0,5,5,0,0,0,
167,Tommy Tremble,CAR,23,te,2,1,1,7,1,7,7,0,0,0,
1,Derrick Henry,TEN,27,rb,2,2,52,240,11,134,2.6,106,2,1,52
3,Joe Mixon,CIN,25,rb,2,2,49,196,8,114,2.3,82,1.7,8,6.1
5,Dalvin Cook,MIN,26,rb,2,2,42,192,13,102,2.4,90,2.1,1,42
6,Damien Harris,NWE,24,rb,2,2,39,162,10,71,1.8,91,2.3,4,9.8
7,Elijah Mitchell,SFO,23,rb,2,1,36,146,7,102,2.8,44,1.2,3,12
8,David Montgomery,CHI,24,rb,2,2,36,169,9,56,1.6,113,3.1,4,9
9,Antonio Gibson,WAS,23,rb,2,2,33,159,9,75,2.3,84,2.5,4,8.3
10,Jonathan Taylor,IND,22,rb,2,2,32,107,10,64,2,43,1.3,3,10.7
11,Chris Carson,SEA,27,rb,2,2,29,122,5,39,1.3,83,2.9,7,4.1
12,Darrell Henderson,LAR,24,rb,2,2,29,123,8,81,2.8,42,1.4,0,
13,Lamar Jackson,BAL,24,qb,2,2,28,193,12,102,3.6,91,3.3,6,4.7
14,Alvin Kamara,NOR,26,rb,2,2,28,88,4,53,1.9,35,1.3,1,28
15,Miles Sanders,PHI,24,rb,2,2,28,129,6,106,3.8,23,0.8,9,3.1
16,Clyde Edwards-Helaire,KAN,22,rb,2,2,27,89,0,66,2.4,23,0.9,1,27
17,Ezekiel Elliott,DAL,26,rb,2,2,27,104,6,61,2.3,43,1.6,0,
18,Javonte Williams,DEN,21,,2,0,27,109,6,46,1.7,63,2.3,5,5.4
19,Nick Chubb,CLE,26,rb,2,2,26,178,9,82,3.2,96,3.7,3,8.7
20,Najee Harris,PIT,23,rb,2,2,26,83,5,44,1.7,39,1.5,4,6.5
21,James Conner,ARI,26,,2,0,24,79,4,34,1.4,45,1.9,4,6
22,Mike Davis,ATL,28,rb,2,2,24,87,3,49,2,38,1.6,1,24
23,Austin Ekeler,LAC,26,rb,2,2,24,111,5,48,2,63,2.6,2,12
24,Melvin Gordon,DEN,28,rb,2,2,24,132,4,98,4.1,34,1.4,0,
25,Devin Singletary,BUF,24,rb,2,1,24,154,5,122,5.1,32,1.3,1,24
26,Saquon Barkley,NYG,24,rb,2,2,23,83,2,35,1.5,48,2.1,1,23
27,Aaron Jones,GNB,27,rb,2,2,22,76,5,47,2.1,29,1.3,1,22
28,Ty'Son Williams,BAL,25,rb,2,2,22,142,5,71,3.2,71,3.2,1,22
29,Chase Edmonds,ARI,25,rb,2,2,20,109,4,79,4,30,1.5,1,20
30,Leonard Fournette,TAM,26,rb,2,1,20,84,3,38,1.9,46,2.3,1,20
33,Kareem Hunt,CLE,26,,2,0,19,84,5,43,2.3,41,2.2,2,9.5
34,Latavius Murray,BAL,31,,2,0,19,64,5,25,1.3,39,2.1,2,9.5
