,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Derrick Henry,TEN,27,rb,6,6,162,783,39,409,2.5,374,2.3,9,18
2,Joe Mixon,CIN,25,rb,6,6,111,480,22,245,2.2,235,2.1,12,9.3
3,Ezekiel Elliott,DAL,26,rb,6,6,102,521,29,298,2.9,223,2.2,2,51
4,Najee Harris,PIT,23,rb,6,6,102,388,19,193,1.9,195,1.9,8,12.8
5,Alvin Kamara,NOR,26,rb,5,5,94,368,14,212,2.3,156,1.7,10,9.4
6,Nick Chubb,CLE,26,rb,5,5,90,523,24,234,2.6,289,3.2,9,10
7,Antonio Gibson,WAS,23,rb,6,5,89,357,24,187,2.1,170,1.9,7,12.7
8,Jonathan Taylor,IND,22,rb,6,6,87,472,31,238,2.7,234,2.7,8,10.9
9,Mark Ingram,HOU,32,rb,6,6,86,285,14,116,1.3,169,2,5,17.2
10,James Robinson,JAX,23,rb,6,6,84,460,24,250,3,210,2.5,9,9.3
11,Aaron Jones,GNB,27,rb,6,6,83,385,18,197,2.4,188,2.3,5,16.6
12,Damien Harris,NWE,24,rb,6,6,81,331,18,146,1.8,185,2.3,4,20.3
13,Darrell Henderson,LAR,24,rb,5,5,81,372,21,229,2.8,143,1.8,3,27
14,Dalvin Cook,MIN,26,rb,4,4,80,366,23,196,2.5,170,2.1,3,26.7
15,James Conner,ARI,26,,6,0,79,272,22,112,1.4,160,2,8,9.9
16,Leonard Fournette,TAM,26,rb,6,5,78,332,17,171,2.2,161,2.1,6,13
17,Austin Ekeler,LAC,26,rb,6,6,73,356,19,188,2.6,168,2.3,6,12.2
18,Chuba Hubbard,CAR,22,rb,6,3,72,281,15,128,1.8,153,2.1,5,14.4
19,Melvin Gordon,DEN,28,rb,6,6,70,332,15,209,3,123,1.8,8,8.8
20,Kareem Hunt,CLE,26,rb,6,1,69,361,21,161,2.3,200,2.9,8,8.6
21,David Montgomery,CHI,24,rb,4,4,69,309,18,133,1.9,176,2.6,7,9.9
22,Alexander Mattison,MIN,23,rb,6,2,68,268,11,124,1.8,144,2.1,7,9.7
23,Clyde Edwards-Helaire,KAN,22,rb,5,5,65,304,10,196,3,108,1.7,3,21.7
24,D'Andre Swift,DET,22,,6,0,65,214,13,168,2.6,46,0.7,1,65
25,Javonte Williams,DEN,21,,6,0,65,300,15,151,2.3,149,2.3,11,5.9
26,Lamar Jackson,BAL,24,qb,6,6,64,392,24,228,3.6,164,2.6,10,6.4
27,Mike Davis,ATL,28,rb,5,4,62,204,10,99,1.6,105,1.7,4,15.5
28,Tony Pollard,DAL,24,,6,0,61,366,18,208,3.4,158,2.6,3,20.3
29,Devin Singletary,BUF,24,rb,6,5,60,311,12,180,3,131,2.2,3,20
30,Latavius Murray,BAL,31,rb,6,3,59,212,17,126,2.1,86,1.5,5,11.8
31,Jamaal Williams,DET,26,rb,6,6,59,255,19,184,3.1,71,1.2,4,14.8
32,Miles Sanders,PHI,24,rb,6,6,57,270,14,195,3.4,75,1.3,10,5.7
33,Saquon Barkley,NYG,24,rb,5,5,54,195,9,93,1.7,102,1.9,3,18
34,Chris Carson,SEA,27,rb,4,4,54,232,11,104,1.9,128,2.4,8,6.8
35,Josh Jacobs,LVR,23,rb,4,4,54,175,10,109,2,66,1.2,4,13.5
36,Sony Michel,LAR,26,rb,6,1,54,205,12,115,2.1,90,1.7,6,9
37,Zack Moss,BUF,24,,5,0,54,208,13,87,1.6,121,2.2,10,5.4
38,Chase Edmonds,ARI,25,rb,6,6,53,316,15,230,4.3,86,1.6,2,26.5
39,Jalen Hurts,PHI,23,qb,6,6,53,300,21,244,4.6,56,1.1,6,8.8
40,Christian McCaffrey,CAR,25,rb,3,3,52,201,7,89,1.7,112,2.2,9,5.8
41,AJ Dillon,GNB,23,,6,0,49,225,12,101,2.1,124,2.5,5,9.8
42,Alex Collins,SEA,27,rb,5,2,48,225,13,148,3.1,77,1.6,2,24
43,Michael Carter,NYJ,22,rb,5,3,47,165,10,82,1.7,83,1.8,3,15.7
44,Darrel Williams,KAN,26,rb,6,1,47,161,14,102,2.2,59,1.3,1,47
45,Elijah Mitchell,SFO,23,rb,3,2,45,189,10,111,2.5,78,1.7,3,15
46,Josh Allen,BUF,25,qb,6,6,44,214,18,155,3.5,59,1.3,3,14.7
47,Cordarrelle Patterson,ATL,30,rb,5,2,41,173,8,82,2,91,2.2,3,13.7
48,Khalil Herbert,CHI,23,rb,6,1,40,179,11,125,3.1,54,1.4,1,40
49,Myles Gaskin,MIA,24,rb,6,4,39,176,6,114,2.9,62,1.6,1,39
50,Peyton Barber,LVR,27,,3,0,37,143,9,88,2.4,55,1.5,3,12.3
51,Kyler Murray,ARI,24,qb,6,6,37,116,10,107,2.9,9,0.2,0,
52,Phillip Lindsay,HOU,27,,6,0,36,89,4,65,1.8,24,0.7,0,
53,Devontae Booker,NYG,29,rb,5,1,35,105,4,61,1.7,44,1.3,2,17.5
54,Daniel Jones,NYG,24,qb,6,6,33,201,12,183,5.5,18,0.5,1,33
55,Damien Williams,CHI,29,rb,5,1,32,137,9,105,3.3,32,1,3,10.7
56,Ronald Jones II,TAM,24,rb,6,1,31,118,6,65,2.1,53,1.7,1,31
57,Trey Sermon,SFO,22,rb,4,2,31,135,7,71,2.3,64,2.1,2,15.5
58,Ty'Son Williams,BAL,25,rb,4,3,31,170,7,90,2.9,80,2.6,1,31
59,Malcolm Brown,MIA,28,rb,6,2,30,115,6,64,2.1,51,1.7,2,15
60,Kenyan Drake,LVR,27,rb,6,2,28,91,4,55,2,36,1.3,3,9.3
61,Trey Lance,SFO,21,qb,4,1,27,133,6,88,3.3,45,1.7,0,
62,Sam Darnold,CAR,24,qb,6,6,26,110,12,102,3.9,8,0.3,2,13
