,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Derrick Henry,TEN,27,rb,3,3,80,353,18,206,2.6,147,1.8,2,40
2,Joe Mixon,CIN,25,rb,3,3,67,286,11,148,2.2,138,2.1,9,7.4
3,Alvin Kamara,NOR,26,rb,3,3,52,177,8,109,2.1,68,1.3,5,10.4
4,Christian McCaffrey,CAR,25,rb,3,3,52,201,7,89,1.7,112,2.2,9,5.8
5,Nick Chubb,CLE,26,rb,3,3,48,262,13,146,3,116,2.4,4,12
6,Mark Ingram,HOU,32,rb,3,3,46,147,7,37,0.8,110,2.4,4,11.5
7,David Montgomery,CHI,24,rb,3,3,46,203,11,82,1.8,121,2.6,4,11.5
8,Antonio Gibson,WAS,23,rb,3,2,45,190,10,90,2,100,2.2,5,9
9,Damien Harris,NWE,24,rb,3,3,45,176,10,79,1.8,97,2.2,4,11.3
10,Clyde Edwards-Helaire,KAN,22,rb,3,3,44,189,5,134,3,55,1.3,1,44
11,Ezekiel Elliott,DAL,26,rb,3,3,44,199,12,109,2.5,90,2,1,44
12,Dalvin Cook,MIN,26,rb,2,2,42,192,13,102,2.4,90,2.1,1,42
13,Melvin Gordon,DEN,28,rb,3,3,42,193,8,129,3.1,64,1.5,3,14
14,Jonathan Taylor,IND,22,rb,3,3,42,171,16,100,2.4,71,1.7,3,14
15,Chris Carson,SEA,27,rb,3,3,41,202,9,94,2.3,108,2.6,8,5.1
16,Aaron Jones,GNB,27,rb,3,3,41,158,9,88,2.1,70,1.7,3,13.7
17,Najee Harris,PIT,23,rb,3,3,40,123,6,58,1.5,65,1.6,5,8
18,Saquon Barkley,NYG,24,rb,3,3,39,134,6,62,1.6,72,1.8,2,19.5
19,Javonte Williams,DEN,21,,3,0,39,138,9,69,1.8,69,1.8,5,7.8
20,Peyton Barber,LVR,27,,2,0,36,143,9,88,2.4,55,1.5,3,12
21,Mike Davis,ATL,28,rb,3,3,36,137,5,66,1.8,71,2,3,12
