,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Derrick Henry,TEN,27,rb,5,5,142,640,34,362,2.5,278,2,8,17.8
2,Alvin Kamara,NOR,26,rb,5,5,94,368,14,212,2.3,156,1.7,10,9.4
3,Joe Mixon,CIN,25,rb,5,5,93,386,17,225,2.4,161,1.7,11,8.5
4,Nick Chubb,CLE,26,rb,5,5,90,523,24,234,2.6,289,3.2,9,10
5,Ezekiel Elliott,DAL,26,rb,5,5,85,452,25,250,2.9,202,2.4,2,42.5
6,Antonio Gibson,WAS,23,rb,5,4,79,313,21,164,2.1,149,1.9,6,13.2
7,Najee Harris,PIT,23,rb,5,5,78,307,16,155,2,152,1.9,8,9.8
8,Jonathan Taylor,IND,22,rb,5,5,73,327,25,176,2.4,151,2.1,7,10.4
9,Aaron Jones,GNB,27,rb,5,5,70,309,15,147,2.1,162,2.3,5,14
10,David Montgomery,CHI,24,rb,4,4,69,309,18,133,1.9,176,2.6,7,9.9
11,Mark Ingram,HOU,32,rb,5,5,68,212,9,66,1,146,2.1,4,17
12,Austin Ekeler,LAC,26,rb,5,5,67,349,19,186,2.8,163,2.4,6,11.2
13,James Robinson,JAX,23,rb,5,5,67,387,21,226,3.4,161,2.4,9,7.4
14,Clyde Edwards-Helaire,KAN,22,rb,5,5,65,304,10,196,3,108,1.7,3,21.7
15,Alexander Mattison,MIN,23,rb,5,2,65,258,11,121,1.9,137,2.1,6,10.8
16,James Conner,ARI,26,,5,0,63,201,17,86,1.4,115,1.8,5,12.6
17,Damien Harris,NWE,24,rb,5,5,63,230,13,89,1.4,141,2.2,4,15.8
18,Mike Davis,ATL,28,rb,5,4,62,204,10,99,1.6,105,1.7,4,15.5
19,Melvin Gordon,DEN,28,rb,5,5,60,282,12,179,3,103,1.7,7,8.6
20,Darrell Henderson,LAR,24,rb,4,4,60,294,17,186,3.1,108,1.8,3,20
21,Leonard Fournette,TAM,26,rb,5,4,56,251,11,134,2.4,117,2.1,5,11.2
22,Chuba Hubbard,CAR,22,rb,5,2,56,220,10,105,1.9,115,2.1,5,11.2
23,Lamar Jackson,BAL,24,qb,5,5,56,341,20,203,3.6,138,2.5,8,7
24,Kareem Hunt,CLE,26,,5,0,55,295,17,120,2.2,175,3.2,7,7.9
25,Devin Singletary,BUF,24,rb,5,4,55,284,10,174,3.2,110,2,2,27.5
26,Jamaal Williams,DET,26,rb,5,5,55,244,17,177,3.2,67,1.2,4,13.8
27,Saquon Barkley,NYG,24,rb,5,5,54,195,9,93,1.7,102,1.9,3,18
28,Chris Carson,SEA,27,rb,4,4,54,232,11,104,1.9,128,2.4,8,6.8
29,Javonte Williams,DEN,21,,5,0,54,247,13,117,2.2,130,2.4,9,6
30,Christian McCaffrey,CAR,25,rb,3,3,52,201,7,89,1.7,112,2.2,9,5.8
31,D'Andre Swift,DET,22,,5,0,52,190,12,156,3,34,0.7,1,52
