Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
1,Davante Adams,GNB,29,wr,5,5,61,42,579,2,28,422,10,157,3.7,12.1,1,42,1,1.6,2,96.3
2,Tyreek Hill,KAN,27,wr,5,5,51,37,516,4,25,347,9.4,169,4.6,11.3,4,9.3,2,3.9,1,122.7
3,Cooper Kupp,LAR,28,wr,5,5,56,37,523,5,22,320,8.6,203,5.5,9.1,5,7.4,3,5.4,1,118.4
4,D.J. Moore,CAR,24,wr,5,5,50,35,440,3,24,270,7.7,170,4.9,10.1,3,11.7,2,4,3,92.1
5,Keenan Allen,LAC,29,wr,5,5,53,34,369,1,20,259,7.6,110,3.2,8.4,1,34,5,9.4,2,75.1
6,Justin Jefferson,MIN,22,wr,5,5,45,33,462,3,24,315,9.5,147,4.5,11.5,1,33,3,6.7,0,128.2
7,Brandin Cooks,HOU,28,wr,5,5,44,31,392,1,16,318,10.3,74,2.4,13.1,1,31,2,4.5,1,96
8,Jakobi Meyers,NWE,25,wr,5,5,46,31,302,0,12,207,6.7,95,3.1,9,0,,2,4.3,0,85.6
9,Deebo Samuel,SFO,25,wr,5,5,52,31,548,3,20,258,8.3,290,9.4,7.7,4,7.8,6,11.5,0,114.9
10,Mike Williams,LAC,27,wr,5,4,51,31,471,6,22,301,9.7,170,5.5,11.5,1,31,3,5.9,0,130.4
11,Travis Kelce,KAN,32,te,5,5,42,30,369,4,23,182,6.1,187,6.2,8.4,6,5,2,4.8,3,100.2
12,Mark Andrews,BAL,26,te,5,4,38,29,400,2,20,282,9.7,118,4.1,9.3,1,29,1,2.6,0,127.1
13,Mike Evans,TAM,28,wr,5,5,45,29,393,4,21,315,10.9,78,2.7,14.1,0,,1,2.2,0,121.8
14,Chris Godwin,TAM,25,wr,5,5,41,29,366,2,21,181,6.2,185,6.4,9.2,3,9.7,2,4.9,0,114.5
15,Terry McLaurin,WAS,26,wr,5,5,49,29,400,3,19,296,10.2,104,3.6,12,2,14.5,1,2,2,88.8
16,Michael Pittman Jr.,IND,24,wr,5,5,43,29,368,1,17,245,8.4,123,4.2,10,0,,0,0,0,101.7
17,D'Andre Swift,DET,22,,5,0,35,29,252,1,11,-30,-1,282,9.7,-0.5,5,5.8,2,5.7,0,106.2
18,Marquise Brown,BAL,24,wr,5,5,38,28,451,5,18,299,10.7,152,5.4,14.4,2,14,2,5.3,2,130.6
19,Stefon Diggs,BUF,28,wr,5,5,47,28,374,1,17,291,10.4,83,3,13,1,28,1,2.1,2,74.2
20,Najee Harris,PIT,23,rb,5,5,39,28,198,1,10,-12,-0.4,210,7.5,0.1,7,4,4,10.3,0,91.6
21,Hunter Renfrow,LVR,26,wr,5,2,38,28,305,2,13,169,6,136,4.9,7.2,2,14,2,5.3,0,114.5
22,Darren Waller,LVR,29,te,5,5,48,28,319,2,15,205,7.3,114,4.1,10.3,1,28,4,8.3,1,83.6
23,Tyler Boyd,CIN,27,wr,5,4,35,27,283,1,16,123,4.6,160,5.9,6.4,2,13.5,0,0,4,70
24,Calvin Ridley,ATL,27,wr,4,4,42,27,255,1,14,173,6.4,82,3,10.8,0,,1,2.4,0,88.9
25,Jaylen Waddle,MIA,23,wr,5,5,36,27,231,1,11,102,3.8,129,4.8,4.3,4,6.8,4,11.1,1,89
26,Robert Woods,LAR,29,wr,5,5,39,27,322,2,20,231,8.6,91,3.4,9.8,0,,2,5.1,0,111.3
27,Cole Beasley,BUF,32,wr,5,2,34,26,215,0,9,100,3.8,115,4.4,5.4,0,,1,2.9,0,92.2
28,Dalton Schultz,DAL,25,te,5,5,31,26,280,3,15,133,5.1,147,5.7,5.7,2,13,1,3.2,0,136.6
