player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Joe Mixon,11803,HB,CIN,1,24,1,0,0.0,0,0,59,0,1,1,50,13.9,0,2,7,0,8,78.9,64.6,78.1,,48.8,87.2,56.2,60.0,7,0,35,6,19,26,0,0,7,30,0,59,50,2.08,2.5,1.84,16
Josh Jacobs,45953,HB,LV,1,23,3,0,0.0,0,0,77,1,1,3,61,42.4,0,4,23,0,4,78.4,71.4,74.2,,27.6,39.6,76.7,60.0,7,0,8,2,13,26,0,0,3,25,2,77,61,2.65,3.3,0.62,19
Alexander Mattison,45817,HB,MIN,1,20,3,2,40.2,45,0,112,0,0,3,72,47.0,4,7,18,0,5,77.6,67.9,74.9,,76.4,63.5,67.2,60.0,25,0,24,3,18,23,0,0,3,23,0,112,72,3.6,5.6,1.33,14
Kareem Hunt,11841,HB,CLV,1,20,2,0,0.0,0,0,72,1,2,2,54,47.0,1,4,8,0,10,77.6,67.1,76.0,,59.6,60.5,67.9,60.0,10,0,21,3,23,23,0,0,4,23,0,72,54,2.7,3.6,0.91,10
Ezekiel Elliott,10638,HB,DAL,1,19,4,0,0.0,0,0,91,0,0,4,65,68.4,1,7,9,0,7,77.3,70.5,76.3,,37.6,58.2,73.3,57.4,12,0,14,1,27,25,0,0,2,20,2,91,65,3.42,4.8,0.52,12
Derrick Henry,10679,HB,TEN,1,19,3,0,0.0,0,0,57,0,1,3,54,56.8,1,4,31,0,7,77.3,68.4,73.9,,75.5,55.2,68.2,,12,0,6,1,11,20,0,0,1,20,2,57,54,2.84,3.0,0.55,12
Kenyan Drake,10707,HB,ARZ,1,18,1,0,0.0,0,0,60,0,0,1,38,11.1,1,3,1,0,6,77.3,50.9,77.6,,63.3,54.8,51.2,59.7,10,0,2,1,16,26,0,0,1,19,1,60,38,2.11,3.3,0.13,12
David Johnson,9519,HB,HST,1,17,3,1,30.2,29,0,96,0,0,3,55,51.1,3,6,13,0,3,76.9,70.1,79.2,,81.4,57.0,71.5,,29,0,7,2,23,18,0,0,4,19,0,96,55,3.24,5.6,0.3,14
Devonta Freeman,8738,HB,NYG,1,17,2,0,0.0,0,0,60,1,0,2,38,23.5,0,3,21,0,16,77.0,65.0,75.6,,74.9,56.4,65.7,60.0,9,0,27,2,13,20,0,0,3,19,1,60,38,2.24,3.5,2.08,1
Dalvin Cook,11796,HB,MIN,1,17,4,0,0.0,0,0,65,0,1,4,55,73.5,2,4,18,0,4,77.1,67.9,75.2,,15.6,78.5,66.3,,10,0,24,5,17,17,0,0,5,22,1,65,55,3.24,3.8,1.41,10
Ronald Jones,34001,HB,TB,1,17,5,1,34.9,37,0,106,0,1,5,90,158.8,3,3,30,0,6,77.2,74.8,75.1,,75.8,64.3,75.4,60.0,37,0,19,3,20,20,0,0,5,20,0,106,90,5.29,6.2,0.95,9
Mike Davis,9559,HB,CAR,1,16,5,1,16.9,15,0,89,0,4,5,74,166.5,2,3,5,0,5,77.7,78.8,78.3,,78.2,86.1,73.4,60.0,15,0,60,9,30,20,0,0,9,25,0,89,74,4.63,5.6,2.0,11
Myles Gaskin,45914,HB,MIA,1,16,2,1,36.8,21,0,57,0,0,2,34,20.2,1,2,17,0,8,77.3,65.4,75.5,,55.8,73.4,62.5,60.0,21,0,34,5,14,20,0,0,5,21,1,57,34,2.13,3.6,2.43,8
James Conner,11860,HB,PIT,1,15,2,1,56.8,25,0,44,0,0,2,31,23.0,1,3,25,0,5,76.4,63.2,77.7,,77.4,61.8,59.7,77.3,25,0,19,3,20,19,0,0,3,18,1,44,31,2.07,2.9,0.95,10
Darrell Henderson,41193,HB,LA,1,15,1,0,0.0,0,0,38,0,0,1,22,8.1,0,3,26,0,5,76.1,74.7,73.1,,74.4,75.1,71.5,,7,0,30,3,12,15,0,0,4,18,1,38,22,1.47,2.5,2.5,10
Justin Jackson,29539,HB,LAC,1,15,4,1,50.7,36,0,71,1,1,4,41,68.3,2,4,27,0,5,76.6,69.9,75.8,,79.0,52.8,74.2,60.0,36,0,23,5,19,17,0,0,6,20,0,71,41,2.73,4.7,1.21,8
Todd Gurley II,9443,HB,ATL,1,14,5,2,48.8,59,0,121,0,2,5,103,286.1,4,6,2,0,7,76.0,79.5,75.0,,6.1,77.7,80.0,60.0,35,0,29,4,20,15,0,0,5,18,1,121,103,7.36,8.6,1.45,7
Le'Veon Bell,7829,HB,NYJ,1,13,4,0,0.0,0,0,60,0,0,4,43,94.5,1,2,22,0,7,74.9,68.4,77.2,,22.1,58.2,73.4,72.4,13,1,7,1,25,13,0,0,1,14,0,60,43,3.31,4.6,0.28,5
James Robinson,22425,HB,JAX,1,13,1,0,0.0,0,0,48,0,0,1,32,13.7,2,3,15,1,5,22.8,54.8,76.6,60.0,84.5,63.3,64.5,,14,0,22,5,21,13,0,0,6,18,0,48,32,2.46,3.7,1.05,7
Jonathan Taylor,57488,HB,IND,1,12,0,0,0.0,0,0,57,0,1,0,26,15.5,1,4,14,0,4,75.2,69.6,75.6,,33.2,68.1,69.6,60.0,10,0,17,2,13,15,0,0,2,14,1,57,26,2.17,4.8,1.31,8
Devin Singletary,40485,HB,BUF,1,11,3,0,0.0,0,1,25,0,0,3,31,70.5,0,2,4,0,4,74.1,54.5,0.0,,76.7,52.1,60.2,60.0,6,1,8,1,28,14,0,0,1,12,0,25,31,2.82,2.3,0.29,5
Joshua Kelley,13750,HB,LAC,1,11,2,0,0.0,0,0,29,0,0,2,25,37.9,0,1,27,0,3,74.1,65.0,75.9,,,65.1,63.9,59.7,9,0,9,1,11,13,0,0,1,12,0,29,25,2.27,2.6,0.82,6
Alvin Kamara,11822,HB,NO,1,11,0,0,0.0,0,0,45,2,1,0,25,12.0,2,3,20,0,3,76.2,73.2,79.8,,79.2,73.6,72.5,58.0,10,0,74,8,39,15,0,0,10,19,0,45,25,2.27,4.1,1.9,7
Mark Ingram II,6180,HB,BLT,1,11,1,1,35.1,20,0,57,0,0,1,40,33.1,2,2,3,0,6,73.8,49.7,71.0,,73.8,55.4,50.8,60.0,20,0,0,0,5,12,0,0,0,11,0,57,40,3.64,5.2,0.0,5
Raheem Mostert,9783,HB,SF,1,11,5,1,41.1,37,0,90,0,0,5,49,159.1,2,3,28,0,5,74.6,90.0,74.8,,78.1,77.9,88.7,60.0,37,0,29,3,14,14,0,0,3,14,0,90,49,4.45,8.2,2.07,6
Miles Sanders,40555,HB,PHI,1,11,3,1,92.5,74,0,80,1,1,3,88,246.2,1,3,24,0,4,74.4,68.7,79.1,,61.3,44.2,84.4,60.0,74,0,19,2,32,13,0,0,4,13,2,80,88,8.0,7.3,0.59,6
Antonio Gibson,78050,HB,WAS,1,11,2,0,0.0,0,0,27,0,3,2,19,54.0,0,0,32,0,8,75.1,59.8,76.1,,17.1,71.0,58.8,58.4,6,0,24,5,16,12,0,0,5,16,0,27,19,1.73,2.5,1.5,3
David Montgomery,45719,HB,CHI,1,10,1,0,0.0,0,0,29,0,2,1,23,40.6,0,1,6,0,3,75.2,63.0,78.9,,78.5,64.9,57.4,60.0,7,0,30,7,31,13,0,0,8,17,1,29,23,2.3,2.9,0.97,6
Clyde Edwards-Helaire,57279,HB,KC,1,10,0,0,0.0,0,0,40,0,3,0,32,73.8,0,1,16,0,4,74.4,65.9,79.4,,13.4,76.0,64.3,60.0,9,0,40,3,26,12,0,0,6,13,0,40,32,3.2,4.0,1.54,6
