player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Derrick Henry,10679,HB,TEN,1,23,6,0,0.0,0,0,98,0,0,6,68,77.1,2,5,31,0,7,77.9,74.2,74.5,,72.4,52.8,74.0,60.0,10,0,0,0,14,24,0,0,0,23,0,98,68,2.96,4.3,0.0,16
David Montgomery,45719,HB,CHI,1,23,5,1,27.4,26,0,95,0,1,5,70,73.0,3,5,6,0,3,78.2,66.9,78.5,,51.9,60.2,68.0,60.0,26,0,26,2,28,26,0,0,2,25,1,95,70,3.04,4.1,0.93,20
Alvin Kamara,11822,HB,NO,1,22,7,2,36.8,57,0,155,0,1,7,94,136.7,4,9,20,0,4,78.3,83.5,76.8,,25.3,61.9,84.7,58.6,40,0,17,3,16,28,0,0,5,25,6,155,94,4.27,7.0,1.06,17
Jeff Wilson Jr.,29413,HB,SF,1,22,2,4,53.0,97,0,183,1,0,2,119,47.0,7,8,28,0,15,77.8,77.8,75.7,,78.8,43.8,78.0,60.0,34,0,21,1,8,26,0,0,2,23,0,183,119,5.41,8.3,2.63,7
A.J. Dillon,57165,HB,GB,1,21,9,1,24.2,30,0,124,0,0,9,93,181.2,2,7,12,0,5,77.8,82.8,74.1,,56.4,61.9,82.8,,30,0,5,1,11,21,0,0,1,22,2,124,93,4.43,5.9,0.45,15
Ezekiel Elliott,10638,HB,DAL,1,19,11,1,29.5,31,0,105,0,2,11,93,276.7,2,4,9,0,4,77.5,78.0,76.4,,56.6,66.8,77.3,60.0,31,0,34,4,13,21,0,0,4,23,0,105,93,4.89,5.5,2.62,14
Jonathan Taylor,57488,HB,IND,1,18,6,1,24.3,18,0,74,0,0,6,54,100.0,2,6,14,0,6,76.5,67.6,76.7,,14.9,52.5,72.5,60.0,18,0,0,0,16,20,0,0,0,18,2,74,54,3.0,4.1,0.0,11
Kenyan Drake,10707,HB,ARZ,1,18,2,0,0.0,0,0,45,0,0,2,28,15.6,1,5,1,0,10,76.9,56.1,79.4,,12.2,55.0,61.2,60.0,10,0,5,2,28,21,0,0,2,20,1,45,28,1.56,2.5,0.18,6
Giovani Bernard,7818,HB,CIN,1,16,6,0,0.0,0,0,65,0,0,6,46,75.0,2,3,7,0,1,77.4,60.5,76.7,,82.9,73.1,53.7,,11,0,66,7,20,17,0,0,8,23,0,65,46,2.88,4.1,3.3,14
Chris Carson,12004,HB,SEA,1,16,1,1,21.7,15,0,69,0,0,1,37,12.2,3,3,29,0,5,76.7,51.4,77.0,,,58.7,50.7,60.0,15,0,10,3,21,18,0,0,3,19,0,69,37,2.31,4.3,0.48,11
Melvin Gordon III,9448,HB,DEN,1,16,4,1,21.5,17,0,79,0,0,4,38,59.4,2,4,10,0,9,75.8,73.1,78.1,,78.5,49.9,77.4,60.0,17,0,0,0,28,20,0,0,0,16,0,79,38,2.38,4.9,0.0,7
Miles Sanders,40555,HB,PHI,1,15,2,0,0.0,0,0,57,0,1,2,40,42.1,0,4,24,1,5,24.8,64.3,80.6,,56.9,66.0,63.6,59.4,7,0,27,4,31,18,0,0,5,19,1,57,40,2.67,3.8,0.87,9
Dalvin Cook,11796,HB,MIN,1,15,5,2,41.1,30,0,73,0,0,5,43,84.3,3,4,18,1,2,75.5,74.5,74.4,,17.1,56.5,79.9,60.0,15,0,12,2,18,16,0,0,2,17,1,73,43,2.87,4.9,0.67,11
Gus Edwards,46027,HB,BLT,1,15,4,1,37.6,32,0,85,0,1,4,54,105.9,1,7,3,0,14,76.2,89.2,75.0,,71.8,87.3,85.1,54.4,32,0,37,2,10,22,0,0,2,17,0,85,54,3.6,5.7,3.7,1
Ke'Shawn Vaughn,45866,HB,TB,1,15,3,0,0.0,0,0,62,0,0,3,40,50.0,2,3,30,0,10,76.0,75.6,73.6,,77.7,54.9,77.1,60.0,14,0,7,1,15,17,0,0,1,16,0,62,40,2.67,4.1,0.47,5
Myles Gaskin,45914,HB,MIA,1,14,4,1,27.6,24,0,87,0,3,4,47,123.7,2,3,17,0,3,76.5,90.4,77.5,,83.5,87.0,82.3,60.0,24,0,82,5,22,17,0,0,5,19,0,87,47,3.36,6.2,3.73,10
Mike Davis,9559,HB,CAR,1,14,4,0,0.0,0,0,28,0,0,4,32,65.3,0,2,5,0,12,75.1,48.3,77.0,,69.4,50.7,49.8,60.0,7,0,0,0,17,22,0,0,0,14,1,28,32,2.29,2.0,0.0,2
Dare Ogunbowale,12329,HB,JAX,1,14,5,1,35.2,25,0,71,0,0,5,54,113.4,3,3,15,0,5,76.0,64.5,77.7,,29.0,63.3,66.5,,25,0,7,3,19,14,0,0,4,17,0,71,54,3.86,5.1,0.37,9
Frank Gore,2282,HB,NYJ,1,14,2,0,0.0,0,0,48,0,0,2,36,34.3,0,0,22,0,4,75.3,63.2,74.2,,73.5,64.4,61.9,60.0,7,0,5,1,14,16,0,0,1,15,0,48,36,2.57,3.4,0.36,10
Josh Jacobs,45953,HB,LV,1,13,2,1,21.7,15,0,69,0,0,2,47,55.6,3,3,23,0,8,75.1,66.0,77.1,,72.4,51.2,68.7,60.0,15,0,0,0,15,16,0,0,1,13,0,69,47,3.62,5.3,0.0,5
Lamar Jackson,46416,QB,BLT,1,10,3,1,25.0,20,0,53,0,0,2,26,52.0,2,4,3,1,9,29.1,73.6,0.0,77.1,,,61.7,60.0,20,1,0,0,0,39,27,3,0,10,0,80,52,4.0,6.2,,0
Samaje Perine,11869,HB,CIN,1,13,4,1,48.4,46,0,95,0,1,4,70,158.4,2,4,7,0,2,75.6,89.3,76.0,,74.6,79.5,86.2,60.0,46,0,41,4,12,16,0,0,4,17,2,95,70,5.38,7.3,3.42,11
Zack Moss,40341,HB,BUF,1,12,0,0,0.0,0,0,57,0,0,0,37,0.0,2,6,4,0,3,74.8,70.3,77.0,,79.4,56.5,71.2,60.0,12,0,0,1,11,18,0,0,1,13,1,57,37,3.08,4.8,0.0,8
