player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Gus Edwards,46027,HB,BLT,1,9,2,0,0.0,0,0,42,0,0,2,29,58.6,0,2,3,0,7,73.4,84.3,72.8,,72.1,70.6,84.2,56.8,7,0,36,2,10,15,0,0,2,11,0,42,29,3.22,4.7,3.6,2
Marcus Mariota,9435,QB,LV,1,5,1,2,48.9,43,0,70,0,0,1,27,108.0,4,8,23,0,0,79.1,82.1,78.9,77.4,,,74.1,60.0,26,0,0,0,0,32,18,4,0,5,1,88,33,3.67,9.8,,4
Wayne Gallman,11895,HB,NYG,1,9,1,0,0.0,0,0,29,0,0,1,19,23.5,0,0,21,0,5,72.7,64.6,72.2,,73.4,54.0,65.2,60.0,9,0,0,0,10,11,0,0,0,9,0,29,19,2.11,3.2,0.0,4
Cam Newton,6153,QB,NE,1,7,1,0,0.0,0,0,24,0,0,1,13,26.5,1,3,19,1,6,29.2,44.7,78.4,47.3,,,49.6,60.0,11,0,0,0,0,20,14,2,0,7,0,38,16,1.78,4.2,,1
Darrynton Evans,40692,HB,TEN,1,8,1,0,0.0,0,0,30,0,2,1,21,78.8,0,2,31,0,3,74.3,65.6,71.2,,69.7,81.3,60.0,,9,0,27,2,4,8,0,0,2,10,0,30,21,2.63,3.8,6.75,5
Devin Singletary,40485,HB,BUF,1,8,3,1,75.0,51,0,68,0,0,3,70,238.6,1,2,4,0,2,73.7,67.5,79.7,,26.7,55.5,76.6,60.0,51,0,16,3,23,10,0,0,3,11,1,68,70,8.75,8.5,0.7,5
Kalen Ballage,45741,HB,LAC,1,8,1,0,0.0,0,0,11,0,0,1,13,20.3,0,2,27,0,4,72.1,56.2,72.7,,19.1,55.3,60.8,60.0,9,0,0,0,6,13,0,0,0,8,1,11,13,1.63,1.4,0.0,4
Kyler Murray,38334,QB,ARZ,1,6,1,0,0.0,0,0,21,0,0,1,14,38.9,0,2,1,2,3,29.8,77.5,79.5,80.9,,,52.7,60.2,9,0,0,0,0,27,11,2,0,6,1,32,14,1.75,4.0,,3
David Johnson,9519,HB,HST,1,8,1,0,0.0,0,0,27,0,6,1,14,64.5,0,1,13,1,2,24.8,63.2,77.9,,60.6,61.1,65.6,60.0,8,0,106,11,37,12,0,0,11,19,0,27,14,1.75,3.4,2.86,6
Mitchell Trubisky,11757,QB,CHI,1,4,0,0,0.0,0,0,12,0,0,0,11,0.0,0,3,6,0,1,77.7,69.2,79.0,64.8,,,68.8,60.0,8,1,0,0,0,38,22,4,0,4,0,34,19,2.38,4.3,,1
Alfred Morris,7165,HB,NYG,1,7,0,0,0.0,0,0,39,0,0,0,17,0.0,2,3,21,0,3,71.4,60.3,73.9,,,55.8,60.8,60.0,14,0,0,0,4,8,0,0,0,7,0,39,17,2.43,5.6,0.0,2
Patrick Mahomes,11765,QB,KC,1,4,0,0,0.0,0,0,-2,0,0,0,-5,0.0,2,3,16,2,1,25.2,66.7,80.5,62.4,,,74.5,60.0,24,0,0,0,0,38,39,3,0,4,0,37,1,0.14,5.3,,0
Kareem Hunt,11841,HB,CLV,1,7,0,0,0.0,0,0,21,0,0,0,13,0.0,1,1,8,0,2,72.7,65.4,74.4,,75.0,64.9,63.9,60.0,14,0,7,3,12,8,0,0,3,10,0,21,13,1.86,3.0,0.58,5
Russell Wilson,7077,QB,SEA,1,3,0,0,0.0,0,0,-3,0,0,0,0,0.0,2,2,29,0,0,78.6,76.7,78.5,71.2,,,75.8,60.0,38,0,0,0,0,24,55,3,0,3,0,52,0,0.0,8.7,,0
Deshaun Watson,11767,QB,HST,1,3,0,0,0.0,0,0,9,0,0,0,2,0.0,0,3,13,1,0,33.7,90.1,79.4,86.3,,,73.7,60.0,9,0,0,0,0,19,16,3,0,3,0,25,9,1.5,4.2,,2
Ito Smith,45932,HB,ATL,1,6,1,0,0.0,0,0,24,0,0,1,14,29.2,0,1,2,0,3,71.6,61.1,76.7,,77.2,60.9,59.4,,7,0,9,2,21,6,0,0,2,8,0,24,14,2.33,4.0,0.43,3
Adrian Peterson,3623,HB,DET,1,6,1,0,0.0,0,0,23,0,0,1,13,36.1,0,1,11,0,4,70.6,60.4,72.7,,72.4,54.3,61.1,60.0,8,0,0,0,7,8,0,0,0,6,0,23,13,2.17,3.8,0.0,2
Nyheim Hines,48103,HB,IND,1,5,1,1,53.5,23,0,43,1,0,1,28,80.0,2,2,14,0,3,73.1,66.5,73.7,,,44.2,75.2,60.0,23,0,11,2,10,6,0,0,3,7,0,43,28,5.6,8.6,1.1,2
Brian Hill,11911,HB,ATL,1,5,2,0,0.0,0,0,-2,0,0,2,10,57.1,0,0,2,0,1,70.9,55.9,72.0,,69.2,62.7,53.8,,3,0,9,2,9,5,0,0,2,7,0,-2,10,2.0,-0.4,1.0,4
Buddy Howell,12888,HB,HST,1,5,0,0,0.0,0,0,22,0,0,0,11,0.0,0,0,13,0,1,69.7,67.0,69.6,,,55.4,67.8,,7,0,0,0,5,5,0,0,0,5,0,22,11,2.2,4.4,0.0,4
Drew Lock,39517,QB,DEN,1,1,1,0,0.0,0,0,14,0,0,0,0,0.0,2,2,10,1,0,28.5,43.6,78.9,40.7,,,62.8,60.0,14,0,0,0,0,24,23,4,0,1,0,37,11,2.2,7.4,,1
Sam Darnold,29048,QB,NYJ,1,3,0,0,0.0,0,0,-3,0,0,0,0,0.0,1,1,22,1,0,78.9,80.0,78.9,73.8,,,78.1,60.0,12,0,0,0,0,29,21,2,0,3,0,18,1,0.2,3.6,,0
Aaron Rodgers,2241,QB,GB,1,2,0,0,0.0,0,0,5,0,0,0,2,0.0,1,2,12,0,0,79.2,66.5,78.8,64.7,,,63.7,60.0,10,0,0,0,0,24,21,3,0,2,1,26,19,3.8,5.2,,1
Rodney Smith,26306,HB,CAR,1,4,0,0,0.0,0,0,23,0,0,0,8,0.0,1,2,5,0,1,70.6,72.3,73.5,,75.2,62.5,70.8,72.1,12,0,24,3,14,6,0,0,3,7,0,23,8,2.0,5.8,1.71,3
Teddy Bridgewater,8667,QB,CAR,1,1,0,0,0.0,0,0,-4,0,0,0,-4,0.0,2,3,5,1,0,22.1,49.3,79.2,57.7,,58.4,30.9,60.0,13,1,0,0,1,24,30,3,0,1,1,26,4,1.0,6.5,0.0,0
Peyton Barber,10927,HB,WAS,1,4,0,0,0.0,0,0,5,1,0,0,6,0.0,0,2,32,0,1,69.7,47.9,72.5,,,30.3,59.9,,4,0,0,0,8,5,0,0,1,4,1,5,6,1.5,1.3,0.0,3
Baker Mayfield,46518,QB,CLV,1,2,0,0,0.0,0,0,2,0,0,0,1,0.0,0,2,8,0,0,78.7,92.2,78.9,92.4,,,56.7,60.0,5,0,0,0,0,29,9,2,0,2,0,11,12,3.0,2.8,,0
Latavius Murray,7962,HB,NO,1,4,0,0,0.0,0,0,3,0,0,0,5,0.0,0,0,20,0,0,70.0,63.9,71.5,,75.7,70.2,54.9,72.4,3,0,26,2,10,4,0,0,3,6,0,3,5,1.25,0.8,2.6,3
Samaje Perine,11869,HB,CIN,1,4,4,0,0.0,0,0,14,0,0,4,15,375.0,0,0,7,0,1,68.6,66.4,75.6,,,55.2,67.9,60.0,8,0,0,0,5,7,0,0,0,4,0,14,15,3.75,3.5,0.0,3
D'Ernest Johnson,45734,HB,CLV,1,4,0,1,87.5,21,0,24,0,0,0,9,0.0,1,1,8,0,2,70.1,67.3,66.9,,,60.0,66.0,,21,0,0,0,1,4,0,0,0,4,0,24,9,2.25,6.0,0.0,2
Rico Dowdle,40693,HB,DAL,1,4,0,0,0.0,0,0,11,0,0,0,9,0.0,0,0,9,0,4,72.3,52.6,70.7,,68.8,56.9,54.5,60.0,5,0,0,0,2,5,0,0,0,4,0,11,9,2.25,2.8,0.0,0
Justin Herbert,28237,QB,LAC,1,3,0,0,0.0,0,0,13,0,0,0,1,0.0,1,2,27,1,0,28.9,84.9,79.1,89.9,,,42.8,60.3,12,1,0,0,0,28,1,1,0,3,1,14,1,0.25,3.5,,1
Tyler Huntley,46448,QB,BLT,1,4,0,1,105.6,19,0,18,0,0,0,0,0.0,1,1,3,0,1,71.3,81.3,72.9,67.9,,,75.7,60.0,19,0,0,0,0,7,0,0,0,4,0,18,0,0.0,4.5,,0
Kirk Cousins,7102,QB,MIN,1,0,0,0,0.0,0,0,0,0,0,0,,100.0,1,1,18,1,0,28.8,64.1,79.1,63.4,,,60.2,60.0,10,0,0,0,0,25,25,3,0,0,0,25,4,1.33,8.3,,0
Dwayne Haskins,41897,QB,WAS,1,0,0,0,0.0,0,0,0,0,0,0,,100.0,1,3,32,1,0,81.6,69.0,79.7,63.6,,,81.6,60.0,12,0,0,0,0,18,28,3,0,0,0,28,1,0.33,9.3,,0
Logan Woodside,46517,QB,TEN,1,3,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,31,0,0,67.2,61.2,68.2,,,,60.5,,-1,0,0,0,0,3,0,0,0,3,0,-3,0,0.0,-1.0,,0
Josh Allen,46601,QB,BUF,1,1,0,0,0.0,0,0,8,0,0,0,0,0.0,1,2,4,1,0,31.5,87.4,79.4,84.1,,,70.5,60.0,24,0,0,0,0,22,25,2,0,1,2,33,0,0.0,11.0,,0
Darrel Williams,13014,HB,KC,1,3,1,0,0.0,0,0,5,0,0,1,5,55.6,0,1,16,0,0,67.2,58.2,79.2,,75.9,53.6,58.9,60.0,3,0,0,0,13,6,0,0,0,3,0,5,5,1.67,1.7,0.0,3
Devontae Booker,10770,HB,LV,1,3,0,0,0.0,0,0,12,0,0,0,6,0.0,0,0,23,0,0,67.2,60.3,71.6,,,56.1,61.2,60.0,7,0,0,0,4,5,0,0,0,3,0,12,6,2.0,4.0,0.0,3
