player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Kirk Cousins,7102,QB,MIN,1,66.7,51,54,9.0,2.7,2,1,1.7,63.0,34,0,17,0.0,62,0,22,18,82.4,60.8,61.5,53.8,0,2,67,0,41.2,99.3,11.3,7,1,0,1,4,1,1.5,460,8.5
Geno Smith,7820,QB,SEA,1,84.2,38,44,4.4,2.51,1,2,4.3,70.5,31,0,17,3.1,48,1,13,29,80.4,65.8,63.1,65.9,1,0,51,1,17.6,90.9,6.3,3,1,0,4,1,1,2.0,238,5.4
Tom Brady,698,QB,TB,1,78.0,41,44,7.5,2.54,0,0,0.0,68.2,30,0,9,6.3,46,2,19,30,22.7,50.3,56.9,29.5,0,2,48,0,11.1,93.1,2.2,1,1,0,3,3,4,8.3,321,7.3
Justin Herbert,28237,QB,LAC,1,78.9,38,42,8.2,2.54,0,3,7.0,66.7,28,0,15,6.7,45,2,13,27,80.2,73.5,73.5,62.6,0,2,47,1,20.0,68.8,6.7,3,0,2,2,0,1,2.1,313,7.5
Trevor Lawrence,77632,QB,JAX,1,72.5,40,42,10.0,2.62,0,4,9.5,64.3,27,0,20,6.9,45,2,13,15,29.5,79.9,79.0,60.1,0,1,45,0,5.0,109.0,2.2,1,2,0,2,4,2,4.4,318,7.6
Patrick Mahomes,11765,QB,KC,1,92.5,40,41,5.3,2.94,1,2,4.8,87.8,36,0,16,2.7,46,1,23,16,31.5,88.6,90.5,51.9,0,0,47,0,12.5,117.1,4.3,2,3,0,0,2,0,0.0,336,8.2
Josh Allen,46601,QB,BUF,1,75.7,37,40,11.8,2.78,1,5,11.1,62.5,25,0,17,10.7,46,3,16,4,24.6,81.1,78.6,69.7,0,0,51,0,11.8,119.2,4.3,2,3,0,2,4,2,3.9,304,7.6
Joe Burrow,28022,QB,CIN,1,76.3,38,39,6.0,2.17,0,2,4.9,69.2,27,0,10,6.9,42,2,15,7,29.7,75.2,71.9,69.4,0,1,45,0,20.0,104.5,4.8,2,1,1,0,4,3,6.7,199,5.1
Derek Carr,8671,QB,LV,1,65.6,32,38,13.8,3.31,0,0,0.0,52.6,20,0,15,4.8,41,1,10,23,29.0,47.6,50.9,,0,1,44,2,20.0,86.6,7.3,3,0,0,6,3,2,4.5,231,6.1
Jared Goff,10635,QB,DET,1,78.8,33,38,5.0,2.8,0,0,0.0,60.5,23,0,11,11.5,38,3,14,11,78.7,51.8,51.3,,2,0,38,0,0.0,88.9,0.0,0,0,0,3,1,1,2.6,252,6.6
Jalen Hurts,40291,QB,PHI,1,67.6,34,37,12.8,2.72,2,4,10.5,59.5,22,0,6,4.3,43,1,12,24,82.0,72.4,72.3,63.4,0,2,44,0,16.7,64.6,2.3,1,4,0,1,0,1,2.3,315,8.5
Zach Wilson,82096,QB,NYJ,1,54.5,33,35,15.0,2.94,0,5,13.9,51.4,18,0,19,0.0,40,0,14,22,79.6,58.9,59.2,57.0,1,1,41,1,21.1,89.8,10.0,4,1,0,1,2,2,4.9,317,9.1
Matt Ryan,4317,QB,IND,1,72.4,29,33,8.3,2.49,0,0,0.0,57.6,19,0,15,9.5,37,2,11,14,28.2,65.7,66.4,53.8,1,0,37,0,20.0,83.1,8.1,3,1,0,3,1,1,2.7,182,5.5
Daniel Jones,39395,QB,NYG,1,75.9,29,32,3.9,2.55,1,0,0.0,65.6,21,0,13,4.5,34,1,8,21,80.0,75.8,69.0,76.9,0,0,35,0,0.0,77.6,0.0,0,2,0,2,0,0,0.0,160,5.0
Mac Jones,60323,QB,NE,1,53.6,28,31,10.0,2.57,1,2,6.1,41.9,13,0,7,13.3,33,2,7,19,78.7,65.6,67.5,58.0,1,0,35,1,0.0,52.1,0.0,0,2,0,1,0,0,0.0,112,3.6
Tyler Huntley,46448,QB,BLT,1,60.7,28,30,6.3,2.69,0,0,0.0,56.7,17,0,9,0.0,35,0,7,3,79.2,51.2,51.1,56.9,0,1,37,1,33.3,54.6,8.6,3,2,0,2,0,1,2.7,138,4.6
Aaron Rodgers,2241,QB,GB,1,85.2,27,30,4.8,2.94,0,0,0.0,73.3,22,0,9,4.3,33,1,15,12,79.1,67.7,66.4,60.5,0,1,36,0,33.3,92.2,9.1,3,0,0,3,1,2,5.6,229,7.6
Tua Tagovailoa,60326,QB,MIA,1,67.9,28,30,9.1,2.4,1,1,3.1,56.7,17,0,10,10.5,33,2,9,17,27.1,49.7,46.9,65.9,0,0,35,0,20.0,104.0,6.1,2,1,0,1,2,2,5.7,234,7.8
Dak Prescott,10769,QB,DAL,1,80.0,30,30,8.5,3.03,0,1,3.2,76.7,23,0,14,4.2,34,1,14,9,79.2,74.0,72.8,63.1,0,2,35,1,21.4,107.1,8.8,3,1,0,0,3,1,2.9,256,8.5
Taylor Heinicke,9896,QB,WAS,1,69.2,26,29,13.2,2.96,0,2,6.5,58.6,17,0,12,5.6,34,1,11,32,27.5,58.4,58.1,65.1,1,0,36,1,25.0,98.2,8.8,3,2,0,2,1,2,5.6,249,8.6
Deshaun Watson,11767,QB,CLV,1,76.0,25,28,4.6,2.86,0,1,3.6,64.3,18,0,10,5.3,33,1,11,8,79.2,70.1,68.7,63.0,1,0,34,0,30.0,91.5,9.1,3,1,0,2,1,0,0.0,161,5.8
Desmond Ridder,55086,QB,ATL,1,56.0,25,26,9.4,3.33,0,0,0.0,50.0,13,0,11,7.1,36,1,8,2,79.3,43.4,43.1,55.9,1,0,40,0,36.4,59.3,11.1,4,5,0,0,0,2,5.0,97,3.7
Brett Rypien,46487,QB,DEN,1,88.0,25,26,4.9,2.46,1,1,3.8,80.8,21,0,12,4.5,33,1,10,10,78.2,60.4,59.2,60.0,0,1,33,0,58.3,95.0,21.2,7,0,0,0,1,1,3.0,197,7.6
Brock Purdy,77672,QB,SF,1,75.0,24,26,6.5,2.9,1,0,0.0,65.4,17,0,7,5.6,28,1,9,28,78.3,70.3,69.0,62.0,0,0,31,0,14.3,117.0,3.6,1,1,0,1,2,1,3.2,217,8.3
Davis Mills,52269,QB,HST,1,54.5,22,24,11.2,2.92,1,2,7.4,50.0,12,0,11,0.0,27,0,8,13,26.9,46.2,51.3,42.8,0,0,31,0,0.0,92.5,0.0,0,3,0,1,2,2,6.5,121,5.0
Sam Darnold,29048,QB,CAR,1,73.7,19,23,11.3,3.04,0,2,8.0,60.9,14,0,12,0.0,28,0,10,5,26.5,71.4,72.4,54.8,0,0,31,0,33.3,108.1,14.3,4,1,1,3,1,1,3.2,225,9.8
Mitchell Trubisky,11757,QB,PIT,1,89.5,19,22,7.0,2.4,1,1,4.5,77.3,17,0,5,0.0,23,0,9,25,77.7,82.5,76.7,75.8,0,0,23,0,20.0,100.4,4.3,1,0,0,2,0,1,4.3,179,8.1
Ryan Tannehill,7014,QB,TEN,1,72.7,22,22,6.7,2.74,0,0,0.0,68.2,15,0,8,6.3,27,1,7,31,77.3,56.7,54.8,62.5,0,1,27,0,50.0,71.2,14.8,4,1,0,0,0,1,3.7,165,7.5
Baker Mayfield,46518,QB,LA,1,65.0,20,21,5.0,3.38,0,0,0.0,57.1,12,0,11,7.7,27,1,6,26,25.5,41.7,42.4,57.9,0,1,28,0,45.5,67.8,18.5,5,1,0,1,1,2,7.1,111,5.3
Colt McCoy,5609,QB,ARZ,1,70.0,20,21,6.5,2.75,1,0,0.0,61.9,13,0,8,7.1,24,1,4,1,76.6,36.5,36.9,57.8,0,1,25,0,25.0,49.3,8.3,2,1,0,0,0,2,8.0,78,3.7
Justin Fields,82118,QB,CHI,1,73.7,19,21,7.1,3.26,0,0,0.0,66.7,14,0,12,0.0,32,0,11,6,29.3,58.4,49.6,69.2,1,0,33,0,50.0,119.5,18.8,6,5,0,1,2,1,3.0,152,7.2
Andy Dalton,6187,QB,NO,1,64.7,17,17,9.4,2.81,0,1,5.9,64.7,11,0,4,0.0,19,0,8,20,75.6,71.1,71.6,64.7,0,0,19,1,50.0,132.2,10.5,2,0,0,0,2,0,0.0,151,8.9
Trace McSorley,32819,QB,ARZ,1,61.5,13,15,9.1,2.63,1,1,5.6,46.7,7,0,6,12.5,16,1,4,1,75.5,38.4,38.1,58.9,0,2,20,1,16.7,27.8,6.3,1,0,0,1,0,3,15.0,95,6.3
Jeff Driskel,10841,QB,HST,1,100.0,2,4,-2.0,2.18,2,0,0.0,50.0,2,0,1,0.0,5,0,1,13,71.8,51.8,48.8,59.4,0,0,5,0,100.0,56.3,20.0,1,0,0,0,0,0,0.0,8,2.0
Malik Willis,60341,QB,TEN,1,100.0,3,4,6.0,3.06,1,0,0.0,75.0,3,1,2,0.0,5,0,2,31,69.6,69.4,66.4,64.2,0,0,7,1,0.0,85.4,0.0,0,1,0,0,0,0,0.0,20,5.0
Taysom Hill,12112,TE,NO,1,100.0,2,2,23.0,3.0,0,1,50.0,100.0,2,0,0,0.0,2,0,2,20,19.9,55.3,80.2,46.8,0,0,2,0,,158.3,0.0,0,0,0,0,1,0,0.0,80,40.0
Nathan Peterman,11926,QB,CHI,1,0.0,1,1,12.0,2.9,0,0,0.0,0.0,0,0,0,,1,0,0,6,60.4,60.1,60.0,,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Phillip Dorsett,9462,WR,HST,1,,0,1,,5.3,0,0,0.0,0.0,0,0,1,,1,0,0,13,60.4,47.5,60.0,,0,0,1,0,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Ryan Wright,77591,P,MIN,1,0.0,1,1,8.0,2.2,0,0,0.0,0.0,0,0,0,,1,0,0,18,60.4,47.8,51.7,,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
