player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Kirk Cousins,7102,QB,MIN,1,69.6,46,50,9.1,2.95,2,2,3.7,60.0,30,0,23,6.3,56,2,15,18,40.3,49.8,54.3,39.4,1,2,60,0,17.4,71.8,7.1,4,2,0,1,1,4,6.7,357,7.1
Dak Prescott,10769,QB,DAL,1,74.4,39,46,7.6,2.64,1,2,4.2,58.7,27,0,13,6.9,48,2,13,9,81.1,72.1,66.3,80.0,2,2,50,1,15.4,78.6,4.2,2,0,0,4,3,2,4.0,265,5.8
Josh Allen,46601,QB,BUF,1,77.5,40,43,9.5,2.89,1,3,6.8,67.4,29,0,21,6.5,50,2,21,4,34.3,77.7,68.6,89.3,0,2,52,0,9.5,78.6,4.0,2,5,0,2,1,2,3.8,330,7.7
Russell Wilson,7077,QB,DEN,1,63.9,36,42,10.7,3.33,1,1,2.2,50.0,21,0,24,8.7,49,2,11,10,37.9,42.5,47.0,42.4,1,1,55,0,25.0,70.1,12.2,6,1,0,4,1,3,5.5,286,6.8
Trevor Lawrence,77632,QB,JAX,1,86.1,36,40,7.4,2.43,3,3,7.0,72.5,29,0,13,6.5,48,2,15,15,80.7,83.1,82.7,60.0,0,0,51,0,38.5,106.1,10.4,5,3,0,1,2,0,0.0,259,6.5
Derek Carr,8671,QB,LV,1,70.3,37,38,8.6,2.67,1,0,0.0,63.2,24,0,10,7.7,40,2,11,23,79.6,50.2,50.1,,0,0,44,0,20.0,99.5,5.0,2,0,0,0,2,1,2.3,248,6.5
Davis Mills,52269,QB,HST,1,64.7,34,37,8.4,2.62,1,3,7.3,59.5,22,0,18,0.0,41,0,15,13,79.8,55.9,57.3,,2,1,45,1,22.2,85.3,9.8,4,0,0,0,1,2,4.4,319,8.6
Colt McCoy,5609,QB,ARZ,1,80.0,35,37,6.1,2.16,0,2,5.1,70.3,26,0,10,7.1,40,2,12,1,29.7,73.0,76.6,44.6,0,0,42,1,20.0,96.5,5.0,2,1,0,2,1,0,0.0,238,6.4
John Wolford,46454,QB,LA,1,70.6,34,36,6.8,2.81,2,1,2.7,66.7,24,0,20,0.0,39,0,12,26,79.3,45.0,44.2,62.8,0,1,40,0,15.0,79.9,7.7,3,0,0,0,1,1,2.5,212,5.9
Ryan Tannehill,7014,QB,TEN,1,64.7,34,36,7.7,2.41,2,0,0.0,52.8,19,0,11,13.6,38,3,12,31,79.3,56.0,54.0,65.6,0,0,40,0,9.1,94.1,2.6,1,1,0,0,2,2,5.0,255,7.1
Jacoby Brissett,10725,QB,CLV,1,67.6,34,35,9.4,3.02,0,0,0.0,62.9,22,0,20,4.3,42,1,12,8,80.4,66.2,58.7,79.1,0,0,46,0,15.0,89.2,7.1,3,4,0,1,1,1,2.2,212,6.1
Justin Herbert,28237,QB,LAC,1,79.3,29,35,6.7,2.84,1,3,8.3,60.0,21,0,15,8.7,40,2,7,27,79.5,87.1,81.1,78.3,2,1,41,0,13.3,73.0,5.0,2,3,0,3,1,0,0.0,196,5.6
