player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Anthony Brown,40316,QB,BLT,1,61.5,39,44,9.3,2.49,3,0,0.0,43.2,19,0,15,20.8,48,5,12,3,31.7,35.8,36.5,,0,2,50,0,26.7,46.2,8.3,4,0,2,0,0,3,6.0,286,6.5
Joe Burrow,28022,QB,CIN,1,69.2,39,42,9.2,2.68,1,3,7.0,59.5,25,0,14,7.4,45,2,12,7,29.9,71.3,69.6,63.9,0,0,46,0,14.3,81.0,4.4,2,1,0,2,1,2,4.3,215,5.1
Mac Jones,60323,QB,NE,1,74.4,39,40,8.0,2.67,0,1,2.3,65.0,26,0,10,10.3,42,3,13,19,80.4,67.7,68.1,55.7,0,3,46,0,10.0,75.4,2.4,1,1,0,1,3,1,2.2,244,6.1
Davis Webb,11842,QB,NYG,1,63.9,36,40,6.6,2.87,2,0,0.0,57.5,23,0,19,0.0,42,0,11,21,80.2,33.8,33.8,64.6,0,0,43,3,0.0,75.8,0.0,0,2,0,2,1,3,7.0,168,4.2
Davis Mills,52269,QB,HST,1,68.8,32,38,11.2,3.05,1,3,7.7,57.9,22,0,18,0.0,41,0,14,13,79.3,69.6,69.5,57.9,2,2,42,0,5.6,87.4,2.4,1,1,0,3,3,2,4.8,298,7.8
Justin Herbert,28237,QB,LAC,1,75.7,37,37,6.5,2.59,0,1,2.7,67.6,25,0,6,10.7,38,3,14,27,28.7,77.9,81.8,42.8,0,0,38,0,16.7,107.2,2.6,1,0,0,0,2,0,0.0,273,7.4
Dak Prescott,10769,QB,DAL,1,52.9,34,37,11.6,2.91,0,2,5.3,37.8,14,0,10,22.2,41,4,6,9,79.9,45.0,43.5,61.9,1,1,42,0,10.0,45.8,2.4,1,3,0,2,1,3,7.1,128,3.5
Jarrett Stidham,13725,QB,LV,1,75.0,32,36,9.6,3.33,1,1,2.6,61.1,22,0,25,8.3,49,2,16,23,23.2,48.3,44.3,72.6,1,1,52,2,24.0,76.0,12.2,6,7,0,2,1,4,7.7,219,6.1
Jalen Hurts,40291,QB,PHI,1,73.3,30,35,8.1,2.87,1,0,0.0,57.1,20,0,12,9.1,42,2,13,24,80.4,49.8,44.4,70.0,0,1,43,0,25.0,65.1,7.1,3,4,0,4,0,2,4.7,229,6.5
Sam Ehlinger,60555,QB,IND,1,71.4,35,35,8.4,3.14,0,1,2.8,65.7,23,0,14,8.0,40,2,14,14,79.3,63.5,67.7,43.7,0,2,42,0,14.3,77.0,5.0,2,3,0,0,2,1,2.4,209,6.0
Jared Goff,10635,QB,DET,1,78.1,32,34,6.0,2.48,0,2,5.6,67.6,23,0,9,8.0,36,2,12,11,28.1,79.3,78.9,57.9,1,0,38,0,11.1,85.9,2.8,1,1,0,1,0,1,2.6,224,6.6
Joe Flacco,4332,QB,NYJ,1,62.1,29,33,8.5,2.36,2,0,0.0,54.5,18,0,15,0.0,33,0,9,22,78.3,62.9,62.1,,1,0,35,1,0.0,66.4,0.0,0,0,0,1,0,0,0.0,149,4.5
Trevor Lawrence,77632,QB,JAX,1,77.8,27,32,8.6,2.85,2,2,6.1,62.5,20,0,11,4.8,33,1,10,15,78.8,67.2,66.5,60.9,0,0,34,1,9.1,92.2,3.0,1,0,0,3,1,0,0.0,212,6.6
Skylar Thompson,60417,QB,MIA,1,76.9,26,31,6.7,3.04,0,0,0.0,64.5,20,0,18,0.0,33,0,7,17,78.6,73.4,77.4,52.6,0,0,34,1,5.6,76.3,3.0,1,1,0,5,0,0,0.0,152,4.9
Geno Smith,7820,QB,SEA,1,74.1,27,31,9.4,2.98,0,1,3.2,61.3,19,0,14,5.0,38,1,12,29,78.7,53.5,44.9,89.6,1,2,38,1,21.4,65.7,7.9,3,4,1,2,1,3,7.9,213,6.9
Josh Allen,46601,QB,BUF,1,71.0,31,31,14.9,3.49,0,3,9.4,61.3,19,0,16,13.6,36,3,11,4,79.8,93.5,93.2,66.5,0,1,37,0,12.5,106.0,5.6,2,3,0,0,3,0,0.0,253,8.2
Desmond Ridder,55086,QB,ATL,1,67.9,28,30,12.5,3.07,0,2,6.5,63.3,19,0,13,0.0,34,0,11,2,78.1,75.7,74.6,61.8,0,0,35,1,15.4,108.2,5.9,2,2,0,2,2,0,0.0,224,7.5
Joshua Dobbs,11890,QB,TEN,1,76.9,26,29,6.1,2.98,0,1,3.4,69.0,20,0,18,0.0,35,0,15,31,78.8,76.1,69.2,78.2,1,1,36,0,22.2,82.4,11.4,4,2,0,2,1,0,0.0,179,6.2
Deshaun Watson,11767,QB,CLV,1,76.0,25,29,7.4,3.76,1,0,0.0,65.5,19,0,19,0.0,41,0,12,8,22.6,38.7,37.3,59.0,1,2,47,0,36.8,84.0,17.1,7,5,1,1,2,4,8.5,230,7.9
Kenny Pickett,60515,QB,PIT,1,61.5,26,29,11.8,2.91,2,3,8.8,44.8,13,0,11,18.8,31,3,10,25,78.8,70.7,73.5,52.8,0,0,37,1,9.1,79.0,3.2,1,1,0,1,1,0,0.0,195,6.7
Aaron Rodgers,2241,QB,GB,1,80.8,26,27,10.5,3.02,0,3,10.3,63.0,17,0,12,19.0,31,4,9,12,78.2,56.0,61.3,48.0,0,1,33,1,16.7,83.1,6.5,2,2,0,1,1,3,9.1,205,7.6
Baker Mayfield,46518,QB,LA,1,56.5,23,26,9.7,3.17,1,1,3.6,50.0,13,0,15,0.0,32,0,8,26,79.0,43.0,38.4,68.9,0,1,34,0,33.3,51.3,15.6,5,1,0,2,0,2,5.9,147,5.7
Patrick Mahomes,11765,QB,KC,1,75.0,24,26,9.6,2.95,0,1,3.7,69.2,18,0,11,0.0,31,0,12,16,77.7,81.1,76.0,74.4,0,0,32,0,18.2,105.0,6.5,2,3,0,2,1,1,3.1,202,7.8
Russell Wilson,7077,QB,DEN,1,60.9,23,25,14.2,3.12,0,3,10.7,56.0,14,0,11,0.0,32,0,9,10,79.4,71.7,72.3,60.2,0,1,35,0,18.2,121.3,6.3,2,3,0,2,3,0,0.0,298,11.9
Andy Dalton,6187,QB,NO,1,66.7,24,25,10.5,2.26,1,0,0.0,60.0,15,0,6,6.3,26,1,7,20,76.9,50.7,48.3,62.6,0,0,26,0,16.7,94.3,3.8,1,0,0,0,1,1,3.8,173,6.9
Brock Purdy,77672,QB,SF,1,78.9,19,20,6.4,2.8,1,0,0.0,75.0,15,0,10,0.0,27,0,11,28,77.3,76.1,76.2,59.7,0,0,27,0,40.0,141.3,14.8,4,2,0,0,3,0,0.0,178,8.9
Kirk Cousins,7102,QB,MIN,1,89.5,19,20,8.1,2.82,0,2,10.0,85.0,17,0,4,0.0,20,0,10,18,75.1,85.9,87.1,,0,0,20,1,0.0,130.2,0.0,0,0,0,1,1,0,0.0,225,11.3
Sam Howell,97599,QB,WAS,1,70.6,17,19,9.7,2.86,1,1,4.5,57.9,11,0,12,8.3,25,1,9,32,77.5,68.5,61.5,75.6,0,1,28,0,25.0,82.8,12.0,3,3,0,1,1,1,3.6,168,8.8
Nathan Peterman,11926,QB,CHI,1,66.7,18,19,8.8,2.72,0,1,5.3,57.9,11,1,3,8.3,22,1,7,6,75.6,64.6,66.4,54.5,1,0,22,1,33.3,92.9,4.5,1,2,0,0,1,0,0.0,114,6.0
David Blough,46508,QB,ARZ,1,83.3,18,18,5.3,2.55,0,0,0.0,77.8,14,0,8,6.7,21,1,5,1,24.8,27.3,27.7,54.7,0,2,22,0,37.5,87.3,14.3,3,0,0,0,1,3,13.6,180,10.0
Tom Brady,698,QB,TB,1,76.5,17,17,4.3,1.83,0,0,0.0,76.5,13,0,5,0.0,17,0,5,30,74.2,70.3,69.2,,0,0,17,0,0.0,106.0,0.0,0,0,0,0,1,0,0.0,84,4.9
Sam Darnold,29048,QB,CAR,1,50.0,10,15,14.5,4.41,1,0,0.0,33.3,5,0,14,0.0,20,0,6,5,24.3,34.9,34.8,49.4,0,2,21,0,14.3,2.8,10.0,2,3,0,4,0,2,9.5,43,2.9
