"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"217","Kendrick Bourne","NE","wr","11","17","97.1","0","0","0","0","0","0","0","7.9729","44.96","0.3922","46.4827","33.7803","428.1335","2.2999","0.5832","0.2916","0.0608","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"218","Braxton Berrios","MIA","wr","10","17","97","0","0","0","0","0","0","0","0","0","0","69.8312","50.8002","371.4039","1.6203","1.7564","0.8782","0.1076","1203.5004","0.8016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"219","Matt Breida","NYG","rb","13","17","81.8","0","0","0","0","0","0","0","68.3847","308.4837","1.6159","24.3133","19.2035","159.2597","1.0574","0.6736","0.3368","0.0391","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"220","Jelani Woods","IND","te","11","14","76.5","0","0","0","0","0","0","0","0","0","0","42.8664","30.2609","322.2683","2.339","0.4413","0.2206","0.1169","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"221","Terrace Marshall Jr.","CAR","wr","7","17","94.6","0","0","0","0","0","0","0","0","0","0","55.6159","34.8896","459.9791","2.2755","0.4082","0.2041","0.1219","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"222","Kendre Miller","NO","rb","11","17","79.4","0","0","0","0","0","0","0","70.7155","308.4304","1.9114","23.0862","18.6904","142.9284","0.7233","0.6316","0.3158","0.058","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"223","Allen Robinson II","PIT","wr","6","17","93.8","0","0","0","0","0","0","0","0","0","0","58.0828","37.4242","413.2712","2.4909","0.2723","0.1362","0.1142","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"224","Joshua Palmer","LAC","wr","5","17","92.7","0","0","0","0","0","0","0","3.8418","23.4819","0.1927","51.6041","35.9641","403.2306","2.143","0.3887","0.1944","0.101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"225","Trey McBride","ARZ","te","14","17","72.7","0","0","0","0","0","0","0","0","0","0","42.2531","30.4888","312.0995","1.8455","0.4275","0.2137","0.0865","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"226","Chase Claypool","CHI","wr","13","17","91.5","0","0","0","0","0","0","0","11.7089","65.1286","0.5897","53.2782","32.7605","390.0704","1.6243","0.4334","0.2167","0.0523","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
