"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Justin Jefferson","MIN","wr","13","GB","20.4","8800","0","0","0","0","0","0","0","0","0","9.6931","6.6741","93.9318","0.4969","0.0398","0.0199","0.0168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Christian McCaffrey","SF","rb","9","@WAS","19.2","9600","0","0","0","0","0","0","15.5944","71.4343","0.4851","5.1197","4.1106","32.3194","0.1852","0.0997","0.0499","0.0047","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Stefon Diggs","BUF","wr","13","NE","20.2","8200","0","0","0","0","0","0","0","0","0","9.8544","6.8755","87.6095","0.5843","0.0612","0.0306","0.0155","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Ja'Marr Chase","CIN","wr","7","@KC","20","7600","0","0","0","0","0","0","0","0","0","9.7159","6.5995","90.239","0.5357","0.1014","0.0507","0.006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Tony Pollard","DAL","rb","7","DET","18.4","6400","0","0","0","0","0","0","16.8993","83.1362","0.554","3.5026","2.8463","22.1806","0.1234","0.0753","0.0377","0.0058","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Breece Hall","NYJ","rb","7","@CLV","18","0","0","0","0","0","0","0","14.3664","69.6633","0.4693","4.5676","3.4952","31.9322","0.1577","0.1072","0.0536","0.0103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Tyreek Hill","MIA","wr","10","@BLT","19","9300","0","0","0","0","0","0","0.2013","0.9069","0.0112","10.0788","6.8443","85.297","0.41","0.0783","0.0392","0.0129","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","A.J. Brown","PHI","wr","10","ARZ","18.7","8600","0","0","0","0","0","0","0","0","0","9.1647","5.7165","86.7129","0.549","0.0614","0.0307","0.0026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Davante Adams","LV","wr","13","@IND","18.5","7400","0","0","0","0","0","0","0","0","0","9.4431","6.3615","81.1361","0.527","0.037","0.0185","0.0037","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Zamir White","LV","rb","13","@IND","17.4","5100","0","0","0","0","0","0","16.0423","69.5566","0.4329","4.4697","3.6093","27.1544","0.1474","0.1332","0.0666","0.0116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Bijan Robinson","ATL","rb","11","@CHI","17.4","6600","0","0","0","0","0","0","13.5589","62.8405","0.4661","4.9667","3.9155","30.0891","0.1543","0.1244","0.0622","0.0101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Saquon Barkley","NYG","rb","13","LA","17.1","6900","0","0","0","0","0","0","15.9482","71.8445","0.5096","4.183","3.4159","21.9536","0.1043","0.1086","0.0543","0.0146","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","CeeDee Lamb","DAL","wr","7","DET","18.2","9100","0","0","0","0","0","0","0.4768","2.8483","0.0254","8.8555","6.1438","80.0853","0.4505","0.0284","0.0142","0.0074","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
