"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Christian McCaffrey","SF","rb","9","@ARZ","19.3","0","0","0","0","0","0","15.573","73.0164","0.5402","5.2063","4.2302","33.168","0.2101","0.1001","0.05","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Ja'Marr Chase","CIN","wr","7","MIN","20","0","0","0","0","0","0","0","0","0","9.5309","6.7146","93.1759","0.6645","0.1032","0.0516","0.0052","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Zack Moss","IND","rb","11","PIT","19.1","0","0","0","0","0","0","18.7657","83.8572","0.632","4.3468","3.531","26.1047","0.1485","0.1764","0.0882","0.0113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Stefon Diggs","BUF","wr","13","DAL","18.7","0","0","0","0","0","0","0","0","0","9.8598","6.8197","86.401","0.538","0.0607","0.0304","0.0165","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Justin Jefferson","MIN","wr","13","@CIN","18.6","0","0","0","0","0","0","0","0","0","10.1606","6.7245","93.6295","0.4086","0.0401","0.0201","0.0161","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Tyreek Hill","MIA","wr","10","NYJ","18.4","0","0","0","0","0","0","0.2162","0.9815","0.0153","10.0166","6.8175","84.8788","0.4869","0.0782","0.0391","0.0165","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Alvin Kamara","NO","rb","11","NYG","17.2","0","0","0","0","0","0","13.9471","59.8176","0.4241","5.1603","4.17","32.5875","0.2143","0.1261","0.0631","0.0028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Davante Adams","LV","wr","13","LAC","17.9","0","0","0","0","0","0","0","0","0","9.5909","6.4445","81.9298","0.5511","0.0375","0.0187","0.0043","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Cooper Kupp","LA","wr","10","WAS","17.7","0","0","0","0","0","0","0","0","0","8.8344","6.6202","81.0692","0.4941","0.0756","0.0378","0.0172","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Austin Ekeler","LAC","rb","5","@LV","16.9","0","0","0","0","0","0","11.6496","51.0938","0.4095","5.6821","4.7269","33.606","0.2157","0.2239","0.1119","0.0258","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Derrick Henry","TEN","rb","7","HST","16.7","0","0","0","0","0","0","19.0919","85.3494","0.8021","2.1054","1.7057","13.3503","0.0633","0.191","0.0955","0.0188","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Breece Hall","NYJ","rb","7","@MIA","16.5","0","0","0","0","0","0","14.4828","67.0079","0.4154","4.3541","3.3354","30.4777","0.152","0.1063","0.0532","0.0112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","A.J. Brown","PHI","wr","10","@SEA","17.2","0","0","0","0","0","0","0","0","0","9.3454","5.7098","85.9781","0.4787","0.0613","0.0307","0.0034","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Bijan Robinson","ATL","rb","11","@CAR","16.3","0","0","0","0","0","0","13.6222","61.6483","0.4106","4.8899","3.8615","29.8275","0.146","0.1243","0.0621","0.0097","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Saquon Barkley","NYG","rb","13","@NO","15.6","0","0","0","0","0","0","15.1606","65.7928","0.4427","4.437","3.5958","21.7115","0.0973","0.1067","0.0533","0.0163","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Travis Kelce","KC","te","10","@NE","15.5","0","0","0","0","0","0","0","0","0","7.4448","5.6","67.2107","0.5246","0.0672","0.0336","0.0119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Tony Pollard","DAL","rb","7","@BUF","15.4","0","0","0","0","0","0","15.8206","75.0404","0.4317","3.4739","2.7434","20.5541","0.092","0.0718","0.0359","0.0058","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Aaron Jones","GB","rb","6","TB","15.3","0","0","0","0","0","0","13.0145","61.9603","0.404","4.2197","3.3866","23.4694","0.1647","0.1848","0.0924","0.0121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Travis Etienne Jr.","JAX","rb","9","BLT","15.3","0","0","0","0","0","0","15.6609","77.901","0.4848","2.882","2.3678","18.0063","0.0863","0.1767","0.0884","0.0177","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Ezekiel Elliott","NE","rb","11","KC","15","0","0","0","0","0","0","15.4543","65.004","0.5303","3.5264","2.7946","19.0242","0.0936","0.0472","0.0236","0.037","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Zamir White","LV","rb","13","LAC","14.8","0","0","0","0","0","0","15.9927","73.6293","0.5624","2.5256","2.0518","15.4523","0.0877","0.1174","0.0587","0.0117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Rachaad White","TB","rb","5","@GB","14.8","0","0","0","0","0","0","14.4309","61.802","0.3476","4.3811","3.5385","23.1831","0.1218","0.1135","0.0568","0.0096","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Puka Nacua","LA","wr","10","WAS","15.5","0","0","0","0","0","0","0","0","0","8.699","5.7548","73.5568","0.3903","0.0547","0.0273","0.0129","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Kyren Williams","LA","rb","10","WAS","14.7","0","0","0","0","0","0","14.4103","64.0879","0.4322","3.4864","2.854","21.8119","0.1161","0.1787","0.0894","0.011","45.8871","0.0344","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","Joe Mixon","CIN","rb","7","MIN","14.6","0","0","0","0","0","0","15.203","62.9728","0.4916","3.1442","2.6588","19.6011","0.1315","0.048","0.024","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Antonio Gibson","WAS","rb","14","@LA","14.3","0","0","0","0","0","0","16.6199","68.9603","0.4148","3.2154","2.5662","18.7045","0.0973","0.2607","0.1304","0.0216","24.8816","0.0148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","D'Andre Swift","PHI","rb","10","@SEA","14.2","0","0","0","0","0","0","14.3124","66.6759","0.5055","3.027","2.463","15.7242","0.0797","0.0851","0.0425","0.0148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","Jerome Ford","CLV","rb","5","CHI","14.2","0","0","0","0","0","0","15.2613","68.5466","0.5169","2.6613","2.125","16.4915","0.0795","0.1156","0.0578","0.0095","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","CeeDee Lamb","DAL","wr","7","@BUF","14.7","0","0","0","0","0","0","0.4463","2.6511","0.0211","8.1276","5.3769","69.0149","0.337","0.0252","0.0126","0.0069","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","Chris Olave","NO","wr","11","NYG","14.7","0","0","0","0","0","0","0","0","0","7.7561","4.9304","74.5112","0.3865","0.0688","0.0344","0.0218","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","Patrick Mahomes","KC","qb","10","@NE","21.9","24.4682","37.7696","277.8819","1.9639","0.5203","1.6462","3.726","22.7112","0.2084","0","0","0","0","0.4101","0.2051","0.0755","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
