"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Ja'Marr Chase","CIN","wr","7","@TEN","22.6","7800","0","0","0","0","0","0","0","0","0","10.0883","7.0691","97.6611","0.7321","0.1086","0.0543","0.0072","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Christian McCaffrey","SF","rb","9","ARZ","21.4","9200","0","0","0","0","0","0","16.0389","75.6948","0.6677","5.11","4.1835","33.7038","0.2423","0.1024","0.0512","0.0043","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Keenan Allen","LAC","wr","5","LV","21","7900","0","0","0","0","0","0","0.2319","1.037","0.013","10.5786","7.8647","85.9375","0.5546","0.0848","0.0424","0.0097","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Stefon Diggs","BUF","wr","13","MIA","20.7","8100","0","0","0","0","0","0","0","0","0","9.9094","6.9475","88.3492","0.6256","0.0619","0.0309","0.0186","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Justin Jefferson","MIN","wr","13","@CAR","19.9","9600","0","0","0","0","0","0","0","0","0","9.5634","6.5254","91.8546","0.488","0.0389","0.0195","0.0165","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Tyreek Hill","MIA","wr","10","@BUF","19.3","9200","0","0","0","0","0","0","0.6394","2.88","0.0415","9.9097","6.7231","83.332","0.4601","0.0814","0.0407","0.0222","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Davante Adams","LV","wr","13","@LAC","19","8000","0","0","0","0","0","0","0","0","0","9.9315","6.583","83.0384","0.5357","0.0383","0.0191","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Tony Pollard","DAL","rb","7","NE","17.3","7800","0","0","0","0","0","0","16.7359","77.6046","0.4874","3.488","2.847","22.1097","0.1288","0.075","0.0375","0.0059","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Bijan Robinson","ATL","rb","11","@JAX","17.1","0","0","0","0","0","0","0","13.2863","61.3109","0.4631","4.9878","3.9209","29.7419","0.1473","0.1227","0.0614","0.0116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Zack Moss","IND","rb","11","LA","17","6000","0","0","0","0","0","0","16.7395","74.6049","0.5068","3.5749","2.92","21.9234","0.1179","0.1532","0.0766","0.0097","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
