,,,,,Games,,Rushing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Derrick Henry,BAL,30,RB,6,6,119,704,8,36,460,3.9,244,2.1,11,10.8
2,Jordan Mason,SFO,25,RB,6,5,114,609,3,27,349,3.1,260,2.3,6,19
3,Josh Jacobs,GNB,26,RB,6,6,108,464,1,22,280,2.6,184,1.7,4,27
4,Alvin Kamara,NOR,29,RB,6,6,104,428,6,28,295,2.8,133,1.3,6,17.3
5,Najee Harris,PIT,26,RB,6,6,96,376,1,18,218,2.3,158,1.6,2,48
6,Kyren Williams,LAR,24,RB,5,5,95,360,6,29,214,2.3,146,1.5,5,19
7,Saquon Barkley,PHI,27,RB,5,5,91,482,4,19,358,3.9,124,1.4,1,91
8,D'Andre Swift,CHI,25,RB,6,6,91,325,3,13,233,2.6,92,1,2,45.5
9,James Conner,ARI,29,RB,6,6,90,403,3,28,186,2.1,217,2.4,10,9
10,Chuba Hubbard,CAR,25,RB,6,6,86,485,2,26,337,3.9,148,1.7,2,43
11,Breece Hall,NYJ,23,RB,6,6,83,310,2,15,179,2.2,131,1.6,2,41.5
12,Bijan Robinson,ATL,22,RB,6,6,82,380,3,19,222,2.7,158,1.9,6,13.7
13,J.K. Dobbins,LAC,26,RB,5,4,81,438,3,20,234,2.9,204,2.5,7,11.6
14,Tony Pollard,TEN,27,RB,5,5,78,339,3,17,211,2.7,128,1.6,10,7.8
15,Rhamondre Stevenson,NWE,26,RB,5,4,77,356,3,15,162,2.1,194,2.5,5,15.4
16,David Montgomery,DET,27,RB,5,5,75,351,6,23,205,2.7,146,1.9,6,12.5
17,Brian Robinson Jr.,WAS,25,RB,5,5,73,325,5,19,126,1.7,199,2.7,6,12.2
18,Jonathan Taylor,IND,25,RB,4,4,72,349,4,20,246,3.4,103,1.4,2,36
19,Aaron Jones,MIN,30,RB,5,5,71,350,1,16,168,2.4,182,2.6,4,17.8
20,James Cook,BUF,25,RB,5,5,70,309,4,16,142,2,167,2.4,3,23.3
21,Jahmyr Gibbs,DET,22,RB,5,1,66,348,3,20,219,3.3,129,2,6,11
22,Lamar Jackson,BAL,27,QB,6,6,64,403,2,20,310,4.8,93,1.5,5,12.8
23,Jayden Daniels,WAS,24,QB,6,6,63,322,4,23,241,3.8,81,1.3,5,12.6
24,Zack Moss,CIN,27,RB,6,5,63,224,2,13,156,2.5,68,1.1,4,15.8
25,Rico Dowdle,DAL,26,RB,6,5,59,246,0,15,149,2.5,97,1.6,4,14.8
26,Javonte Williams,DEN,24,RB,6,6,59,213,0,13,112,1.9,101,1.7,3,19.7
27,Bucky Irving,TAM,22,RB,6,1,58,328,2,15,216,3.7,112,1.9,3,19.3
28,De'Von Achane,MIA,23,RB,5,4,56,183,1,8,112,2,71,1.3,2,28
29,Travis Etienne,JAX,25,RB,6,6,56,230,2,14,132,2.4,98,1.8,1,56
30,Jalen Hurts,PHI,26,QB,5,5,56,196,2,21,133,2.4,63,1.1,4,14
31,Devin Singletary,NYG,27,RB,4,4,56,221,2,12,79,1.4,142,2.5,5,11.2
32,Justin Fields,PIT,25,QB,6,6,55,231,5,17,167,3,64,1.2,1,55
33,Joe Mixon,HOU,28,RB,3,3,52,286,2,13,223,4.3,63,1.2,2,26
34,Tyler Allgeier,ATL,24,RB,6,0,51,283,1,18,202,4,81,1.6,1,51
35,Chase Brown,CIN,24,RB,6,1,51,283,3,13,185,3.6,98,1.9,6,8.5
36,Kenneth Walker III,SEA,24,RB,4,4,51,234,5,11,110,2.2,124,2.4,4,12.8
37,Rachaad White,TAM,25,RB,5,5,51,187,0,8,48,0.9,139,2.7,2,25.5
38,Jerome Ford,CLE,25,RB,6,4,50,264,1,17,142,2.8,122,2.4,4,12.5
39,Zach Charbonnet,SEA,23,RB,6,2,49,187,3,11,76,1.6,111,2.3,4,12.3
40,Zamir White,LVR,25,RB,4,4,49,152,0,3,80,1.6,72,1.5,4,12.3
41,Antonio Gibson,NWE,26,RB,6,2,48,226,0,9,102,2.1,124,2.6,3,16
42,Tyrone Tracy,NYG,25,RB,6,2,47,208,1,11,163,3.5,45,1,0,
43,Ray Davis,BUF,25,RB,6,0,46,172,1,10,127,2.8,45,1,0,
44,Alexander Mattison,LVR,26,RB,6,2,46,158,3,11,94,2,64,1.4,4,11.5
45,Daniel Jones,NYG,27,QB,6,6,45,164,0,14,121,2.7,43,1,3,15
46,Ty Chandler,MIN,26,RB,5,0,42,147,0,6,111,2.6,36,0.9,0,
47,Emanuel Wilson,GNB,25,RB,6,0,42,210,0,9,129,3.1,81,1.9,5,8.4
48,Tank Bigsby,JAX,23,RB,6,0,41,297,2,9,131,3.2,166,4,5,8.2
49,Kareem Hunt,KAN,29,RB,2,1,41,171,1,7,84,2,87,2.1,4,10.3
50,Cam Akers,HOU,25,RB,5,2,40,147,1,5,85,2.1,62,1.6,2,20
51,D'Onta Foreman,CLE,28,RB,6,2,39,124,0,4,83,2.1,41,1.1,0,
52,Gus Edwards,LAC,29,RB,4,1,38,113,0,3,39,1,74,1.9,2,19
53,Ezekiel Elliott,DAL,29,RB,6,1,38,115,1,6,75,2,40,1.1,0,
54,Bo Nix,DEN,24,QB,6,6,37,180,3,18,172,4.6,8,0.2,0,
55,Trey Sermon,IND,25,RB,6,2,37,91,2,9,63,1.7,28,0.8,0,
56,Jaleel McLaughlin,DEN,24,RB,6,0,36,116,1,5,63,1.8,53,1.5,5,7.2
57,Braelon Allen,NYJ,20,RB,6,0,35,151,1,9,67,1.9,84,2.4,2,17.5
58,Josh Allen,BUF,28,QB,6,6,35,178,3,17,141,4,37,1.1,0,
59,Isiah Pacheco,KAN,25,RB,2,2,34,135,1,6,82,2.4,53,1.6,0,
60,Tyjae Spears,TEN,23,RB,5,0,33,114,1,8,57,1.7,57,1.7,3,11
61,Carson Steele,KAN,22,RB,5,2,33,117,0,12,55,1.7,62,1.9,1,33
62,Trey Benson,ARI,21,RB,5,1,30,107,0,6,72,2.4,35,1.2,2,15
63,Roschon Johnson,CHI,23,RB,5,0,30,89,3,10,63,2.1,26,0.9,0,
64,Kyler Murray,ARI,27,QB,6,6,30,261,1,10,194,6.5,67,2.2,0,
65,Miles Sanders,CAR,27,RB,6,0,30,98,1,6,55,1.8,43,1.4,2,15
66,Deshaun Watson,CLE,29,QB,6,6,29,148,1,7,110,3.8,38,1.3,1,29
67,Jaylen Wright,MIA,21,RB,4,1,29,139,0,6,82,2.8,57,2,2,14.5
68,Austin Ekeler,WAS,29,RB,5,2,28,171,1,5,125,4.5,46,1.6,1,28
69,Jamaal Williams,NOR,29,RB,6,0,27,103,1,6,60,2.2,43,1.6,0,
70,Brock Purdy,SFO,25,QB,6,6,26,127,0,13,105,4,22,0.8,1,26
71,Raheem Mostert,MIA,32,RB,2,1,25,89,0,3,39,1.6,50,2,0,
72,Caleb Williams,CHI,23,QB,6,6,25,169,0,10,145,5.8,24,1,0,
73,Patrick Mahomes,KAN,29,QB,5,5,23,83,0,7,75,3.3,8,0.3,0,
74,Isaac Guerendo,SFO,24,RB,6,0,22,140,0,4,28,1.3,112,5.1,0,
75,Baker Mayfield,TAM,29,QB,6,6,21,136,2,9,120,5.7,16,0.8,0,
76,Dare Ogunbowale,HOU,30,RB,6,1,21,48,0,1,23,1.1,25,1.2,0,
77,Anthony Richardson,IND,22,QB,4,4,21,141,1,10,113,5.4,28,1.3,1,21
78,Geno Smith,SEA,34,QB,6,6,21,146,1,10,133,6.3,13,0.6,0,
79,Sam Darnold,MIN,27,QB,5,5,20,61,0,7,57,2.9,4,0.2,0,
80,Justice Hill,BAL,27,RB,6,0,20,95,0,8,53,2.7,42,2.1,3,6.7
