Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
1,Rashee Rice,KAN,24,WR,3,3,29,24,288,2,15,102,4.3,186,7.8,5.2,1,24,0,0,1,116.7
2,Malik Nabers,NYG,21,WR,3,2,37,23,271,3,14,144,6.3,127,5.5,8.5,2,11.5,3,8.1,0,111.4
3,Chris Godwin,TAM,28,WR,3,3,25,21,253,3,17,115,5.5,138,6.6,6.7,0,,1,4,0,148.4
4,DeVonta Smith,PHI,26,WR,3,3,28,21,239,1,13,162,7.7,77,3.7,10.8,0,,0,0,3,72.5
5,Amon-Ra St. Brown,DET,25,WR,3,3,32,21,207,1,13,155,7.4,52,2.5,8.2,1,21,2,6.3,1,81.1
6,Stefon Diggs,HOU,31,WR,3,3,24,20,164,2,10,94,4.7,70,3.5,6.9,0,,0,0,0,122.9
7,D.J. Moore,CHI,27,WR,3,3,28,19,167,0,8,87,4.6,80,4.2,8.8,2,9.5,0,0,1,68.6
8,Davante Adams,LVR,32,WR,3,3,27,18,209,1,10,164,9.1,45,2.5,9.6,0,,1,3.7,1,86.8
9,Brock Bowers,LVR,22,TE,3,2,21,18,197,0,10,116,6.4,81,4.5,5.6,0,,0,0,0,105.8
10,Nico Collins,HOU,25,WR,3,3,28,18,338,1,16,231,12.8,107,5.9,12.1,1,18,1,3.6,1,103
11,Jauan Jennings,SFO,27,WR,3,1,21,18,276,3,12,234,13,42,2.3,12.3,0,,0,0,0,158.3
12,Cooper Kupp,LAR,31,WR,2,2,27,18,147,1,7,82,4.6,65,3.6,7.2,2,9,1,3.7,0,92.7
13,De'Von Achane,MIA,23,RB,3,2,19,17,173,1,8,-10,-0.6,183,10.8,-0.6,1,17,0,0,0,122.1
14,Dallas Goedert,PHI,29,TE,3,3,20,17,239,0,7,81,4.8,158,9.3,5.2,0,,0,0,0,116.5
15,D.K. Metcalf,SEA,27,WR,3,3,24,17,262,2,7,157,9.2,105,6.2,12.8,0,,2,8.3,0,134.4
16,Jaxon Smith-Njigba,SEA,22,WR,3,3,21,17,175,0,9,94,5.5,81,4.8,9.1,1,17,1,4.8,0,101.4
17,Ja'Marr Chase,CIN,24,WR,3,3,18,16,215,2,9,143,8.9,72,4.5,8.5,2,8,1,5.6,0,153.5
18,Zay Flowers,BAL,24,WR,3,2,25,16,148,1,6,81,5.1,67,4.2,5.6,1,16,0,0,0,93.4
19,Breece Hall,NYJ,23,RB,3,3,19,16,120,1,4,19,1.2,101,6.3,1.3,1,16,1,5.3,0,110.5
