,,,,,,,Receiving,,,,,,,,,,,,,,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1,Ja'Marr Chase,24,CIN,WR,15,14,146,108,1510,67,788,7.3,722,6.7,9.1,11,9.8,7,4.8,6,126.2,
2,Brock Bowers,22,LVR,TE,15,14,137,101,1067,53,518,5.1,549,5.4,5.7,5,20.2,5,3.6,5,90.5,
3,CeeDee Lamb,25,DAL,WR,15,15,152,101,1194,54,657,6.5,537,5.3,7.6,11,9.2,7,4.6,6,86.9,
4,Amon-Ra St. Brown,25,DET,WR,15,15,124,101,1126,64,746,7.4,380,3.8,7.8,2,50.5,4,3.2,1,130.7,
5,Malik Nabers,21,NYG,WR,13,12,154,97,969,49,642,6.6,327,3.4,9.2,5,19.4,9,5.8,2,84,
6,Jaxon Smith-Njigba,22,SEA,WR,15,14,126,93,1089,54,642,6.9,447,4.8,9.1,4,23.3,5,4,4,102.2,
7,Justin Jefferson,25,MIN,WR,15,15,134,92,1387,59,991,10.8,396,4.3,11.6,5,18.4,4,3,5,111.8,
8,Trey McBride,25,ARI,TE,14,14,120,92,958,51,547,5.9,411,4.5,6.1,4,23,3,2.5,0,99.2,
9,Garrett Wilson,24,NYJ,WR,15,15,141,90,987,53,610,6.8,377,4.2,9.4,6,15,6,4.3,5,83.9,
10,Travis Kelce,35,KAN,TE,15,15,122,89,739,43,451,5.1,288,3.2,6.6,3,29.7,6,4.9,4,79.9,
11,Drake London,23,ATL,WR,15,15,127,83,978,55,712,8.6,266,3.2,10.1,4,20.8,4,3.1,8,80.8,
12,D.J. Moore,27,CHI,WR,15,15,122,83,826,35,358,4.3,468,5.6,8,4,20.8,3,2.5,2,93.8,
13,Wan'Dale Robinson,23,NYG,WR,15,7,123,78,585,30,284,3.6,301,3.9,4.9,5,15.6,5,4.1,2,73.4,
14,De'Von Achane,23,MIA,RB,15,14,85,76,579,30,-69,-0.9,648,8.5,-0.4,5,15.2,2,2.4,0,118.6,
15,Jonnu Smith,29,MIA,TE,15,5,95,76,802,49,345,4.5,457,6,5,8,9.5,6,6.3,0,122.9,
16,Davante Adams,32,2TM,WR,12,12,121,74,928,44,519,7,409,5.5,8.6,6,12.3,6,5,1,100.8,
16,Davante Adams,32,LVR,WR,3,3,27,18,209,10,164,9.1,45,2.5,9.6,0,,1,3.7,1,86.8,
16,Davante Adams,32,NYJ,WR,9,9,94,56,719,34,355,6.3,364,6.5,8.3,6,9.3,5,5.3,0,104.9,
17,Terry McLaurin,29,WAS,WR,15,15,98,73,1029,52,750,10.3,279,3.8,13.8,2,36.5,2,2,1,143.2,
18,Jakobi Meyers,28,LVR,WR,13,13,110,73,843,44,575,7.9,268,3.7,9.1,3,24.3,1,0.9,3,84,
19,Khalil Shakir,24,BUF,WR,14,8,94,73,796,34,220,3,576,7.9,5.6,6,12.2,1,1.1,1,111.7,
20,Brian Thomas,22,JAX,WR,15,14,112,73,1088,46,598,8.2,490,6.7,11.4,0,,6,5.4,4,108.8,
21,Jerry Jeudy,25,CLE,WR,15,14,114,72,1072,49,764,10.6,308,4.3,12.2,0,,5,4.4,2,98.3,
22,Zay Flowers,24,BAL,WR,15,13,109,71,1016,46,577,8.1,439,6.2,9.9,6,11.8,5,4.6,0,107.4,
23,Courtland Sutton,29,DEN,WR,15,11,119,71,928,49,766,10.8,162,2.3,13,1,71,9,7.6,5,83.6,
24,Tyreek Hill,30,MIA,WR,15,15,111,70,834,47,565,8.1,269,3.8,11.5,1,70,2,1.8,3,92.7,
25,Ladd McConkey,23,LAC,WR,14,12,94,69,960,45,634,9.2,326,4.7,9.8,8,8.6,4,4.3,1,119.1,
26,Puka Nacua,23,LAR,WR,10,10,92,69,861,42,414,6,447,6.5,8.2,9,7.7,1,1.1,1,109.9,
27,Alvin Kamara,29,NOR,RB,14,14,89,68,543,18,1,0,542,8,0.9,2,34,8,9,1,94,
28,George Kittle,31,SFO,TE,13,13,83,68,967,44,511,7.5,456,6.7,8,3,22.7,2,2.4,2,137.3,
29,Hunter Henry,30,NWE,TE,15,15,96,66,674,40,406,6.2,268,4.1,6.9,2,33,2,2.1,1,91.2,
30,Cooper Kupp,31,LAR,WR,11,10,97,66,681,27,421,6.4,260,3.9,7.5,2,33,2,2.1,0,108.7,
31,A.J. Brown,27,PHI,WR,12,12,92,64,1043,50,691,10.8,352,5.5,12.1,9,7.1,0,0,2,120,
32,David Njoku,28,CLE,TE,11,11,97,64,505,23,254,4,251,3.9,5.2,4,16,7,7.2,3,83.1,
33,Jauan Jennings,27,SFO,WR,13,9,93,63,856,43,645,10.2,211,3.3,10.3,4,15.8,5,5.4,2,109.4,
34,Keenan Allen,32,CHI,WR,13,13,110,62,694,39,474,7.6,220,3.5,9.4,0,,5,4.5,0,96.6,
35,Darnell Mooney,27,ATL,WR,15,15,101,62,955,46,687,11.1,268,4.3,12.2,6,10.3,6,5.9,2,100.9,
36,DeVonta Smith,26,PHI,WR,12,12,82,62,713,38,451,7.3,262,4.2,8.9,0,,2,2.4,3,110.5,
37,Nico Collins,25,HOU,WR,10,10,88,60,909,42,577,9.6,332,5.5,10.4,2,30,3,3.4,5,101,
38,D.K. Metcalf,27,SEA,WR,13,11,100,60,897,31,653,10.9,244,4.1,12.8,3,20,4,4,2,94.5,
39,Demario Douglas,24,NWE,WR,15,6,78,59,541,26,195,3.3,346,5.9,5.6,2,29.5,6,7.7,2,91.9,
40,Josh Downs,23,IND,WR,12,7,90,59,687,34,355,6,332,5.6,7.2,2,29.5,5,5.6,3,93.1,
