,,,,,,,Receiving,,,,,,,,,,,,,,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1,Ja'Marr Chase,24,CIN,WR,13,13,127,93,1319,58,699,7.5,620,6.7,9.4,7,13.3,6,4.7,5,129.3,
2,Brock Bowers,22,LVR,TE,13,12,118,87,933,46,467,5.4,466,5.4,5.7,5,17.4,3,2.5,5,90.1,
3,CeeDee Lamb,25,DAL,WR,13,13,131,85,973,44,548,6.4,425,5,7.8,10,8.5,7,5.3,6,80.7,
4,Amon-Ra St. Brown,25,DET,WR,13,13,98,81,863,53,590,7.3,273,3.4,7.9,1,81,3,3.1,1,129.7,
5,Garrett Wilson,24,NYJ,WR,13,13,128,81,877,47,522,6.4,355,4.4,9.2,6,13.5,5,3.9,5,80.1,
6,Travis Kelce,35,KAN,TE,13,13,107,80,682,39,408,5.1,274,3.4,6.4,3,26.7,4,3.7,4,81.6,
7,Trey McBride,25,ARI,TE,12,12,106,80,851,46,480,6,371,4.6,6.2,4,20,2,1.9,0,98.4,
8,Malik Nabers,21,NYG,WR,11,10,126,80,819,43,567,7.1,252,3.2,9.7,4,20,9,7.1,0,90,
9,Justin Jefferson,25,MIN,WR,13,13,107,75,1170,50,841,11.2,329,4.4,11.7,5,15,3,2.8,4,112.3,
10,Drake London,23,ATL,WR,13,13,116,75,866,49,639,8.5,227,3,10.3,4,18.8,3,2.6,8,75.6,
11,Jaxon Smith-Njigba,22,SEA,WR,13,12,102,75,911,45,531,7.1,380,5.1,9.1,3,25,4,3.9,4,100.6,
12,D.J. Moore,27,CHI,WR,13,13,104,68,712,31,322,4.7,390,5.7,8.4,4,17,3,2.9,2,93.1,
13,Wan'Dale Robinson,23,NYG,WR,13,5,102,67,485,25,236,3.5,249,3.7,4.8,4,16.8,5,4.9,1,79.1,
14,Jakobi Meyers,28,LVR,WR,11,11,96,66,743,39,508,7.7,235,3.6,8.5,3,22,1,1,2,89.9,
15,Tyreek Hill,30,MIA,WR,13,13,97,65,769,42,512,7.9,257,4,11.1,1,65,1,1,0,108.1,
