Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
1,Cooper Kupp,LAR,31,WR,2,2,27,18,147,1,7,82,4.6,65,3.6,7.2,2,9,1,3.7,0,92.7
2,Brock Bowers,LVR,22,TE,2,1,17,15,156,0,8,98,6.5,58,3.9,5.6,0,,0,0,0,104.9
3,Chris Godwin,TAM,28,WR,2,2,16,15,200,2,12,91,6.1,109,7.3,6.9,0,,0,0,0,158.3
4,Malik Nabers,NYG,21,WR,2,2,25,15,193,1,9,85,5.7,108,7.2,7.6,2,7.5,2,8,0,97.6
5,De'Von Achane,MIA,23,RB,2,1,14,14,145,1,7,-18,-1.3,163,11.6,-1.3,1,14,0,0,0,133.6
6,Davante Adams,LVR,32,WR,2,2,18,14,169,1,8,133,9.5,36,2.6,10.9,0,,1,5.6,0,124.3
7,Nico Collins,HOU,25,WR,2,2,18,14,252,1,12,193,13.8,59,4.2,13.3,1,14,1,5.6,0,137.3
8,DeVonta Smith,PHI,26,WR,2,2,18,14,160,1,9,106,7.6,54,3.9,9.4,0,,0,0,2,82.6
9,Jaxon Smith-Njigba,SEA,22,WR,2,2,18,14,136,0,7,82,5.9,54,3.9,9.9,1,14,1,5.6,0,98.1
10,Amon-Ra St. Brown,DET,25,WR,2,2,25,14,132,0,7,96,6.9,36,2.6,8.7,1,14,2,8,2,37.4
11,Zay Flowers,BAL,24,WR,2,1,21,13,128,1,5,78,6,50,3.8,6.7,1,13,0,0,0,94.9
12,D.K. Metcalf,SEA,27,WR,2,2,18,13,158,1,5,92,7.1,66,5.1,11.7,0,,2,11.1,0,117.4
13,Deebo Samuel,SFO,28,WR,2,2,19,13,164,0,9,110,8.5,54,4.2,9,1,13,0,0,0,95.1
14,Breece Hall,NYJ,23,RB,2,2,14,12,91,1,3,7,0.6,84,7,0.9,1,12,1,7.1,0,117.6
