,,,,,Games,,Rushing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Josh Jacobs,GNB,26,RB,2,2,48,235,0,12,138,2.9,97,2,3,16
2,Jordan Mason,SFO,25,RB,2,2,48,247,2,12,141,2.9,106,2.2,1,48
3,Saquon Barkley,PHI,27,RB,2,2,46,204,2,9,173,3.8,31,0.7,0,
4,Rhamondre Stevenson,NWE,26,RB,2,2,46,201,2,11,84,1.8,117,2.5,3,15.3
5,Joe Mixon,HOU,28,RB,2,2,39,184,1,10,121,3.1,63,1.6,2,19.5
6,James Conner,ARI,29,RB,2,2,37,172,2,13,80,2.2,92,2.5,3,12.3
7,Najee Harris,PIT,26,RB,2,2,37,139,0,5,61,1.6,78,2.1,2,18.5
8,Alvin Kamara,NOR,29,RB,2,2,35,198,4,13,138,3.9,60,1.7,3,11.7
9,Isiah Pacheco,KAN,25,RB,2,2,34,135,1,6,82,2.4,53,1.6,0,
10,Tony Pollard,TEN,27,RB,2,2,33,144,1,8,59,1.8,85,2.6,6,5.5
11,De'Von Achane,MIA,23,RB,2,1,32,120,1,5,72,2.3,48,1.5,1,32
12,Bijan Robinson,ATL,22,RB,2,2,32,165,0,10,115,3.6,50,1.6,4,8
13,Derrick Henry,BAL,30,RB,2,2,31,130,2,8,45,1.5,85,2.7,3,10.3
14,James Cook,BUF,25,RB,2,2,30,149,2,8,63,2.1,86,2.9,2,15
15,Breece Hall,NYJ,23,RB,2,2,30,116,1,5,33,1.1,83,2.8,2,15
16,Kyren Williams,LAR,24,RB,2,2,30,75,2,7,33,1.1,42,1.4,0,
17,Gus Edwards,LAC,29,RB,2,1,29,85,0,2,32,1.1,53,1.8,1,29
18,Brian Robinson Jr.,WAS,25,RB,2,2,29,173,1,9,78,2.7,95,3.3,3,9.7
19,David Montgomery,DET,27,RB,2,2,28,126,2,8,56,2,70,2.5,3,9.3
20,Jonathan Taylor,IND,25,RB,2,2,28,151,1,10,107,3.8,44,1.6,1,28
21,J.K. Dobbins,LAC,26,RB,2,1,27,266,2,11,109,4,157,5.8,5,5.4
22,Jayden Daniels,WAS,24,QB,2,2,26,132,2,10,106,4.1,26,1,1,26
23,Jalen Hurts,PHI,26,QB,2,2,26,118,1,9,102,3.9,16,0.6,1,26
24,Devin Singletary,NYG,27,RB,2,2,26,132,1,5,65,2.5,67,2.6,3,8.7
25,Travis Etienne,JAX,25,RB,2,2,25,96,2,7,53,2.1,43,1.7,0,
26,Rachaad White,TAM,25,RB,2,2,25,49,0,1,0,0,49,2,1,25
27,Jahmyr Gibbs,DET,22,RB,2,1,24,124,1,6,49,2,75,3.1,5,4.8
28,D'Andre Swift,CHI,25,RB,2,2,24,48,0,1,27,1.1,21,0.9,0,
29,Aaron Jones,MIN,30,RB,2,2,23,126,1,7,70,3,56,2.4,1,23
30,Zach Charbonnet,SEA,23,RB,2,1,22,50,1,2,17,0.8,33,1.5,1,22
31,Justin Fields,PIT,25,QB,2,2,22,84,0,6,45,2,39,1.8,1,22
32,Zamir White,LVR,25,RB,2,2,22,68,0,1,27,1.2,41,1.9,3,7.3
