,,,,,Games,,Rushing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Saquon Barkley,PHI,27,RB,11,11,223,1392,10,53,929,4.2,463,2.1,10,22.3
2,Derrick Henry,BAL,30,RB,12,12,221,1325,13,61,787,3.6,538,2.4,17,13
3,Kyren Williams,LAR,24,RB,11,11,207,822,9,56,458,2.2,364,1.8,12,17.3
4,Josh Jacobs,GNB,26,RB,11,11,202,944,7,47,404,2,540,2.7,24,8.4
5,Najee Harris,PIT,26,RB,11,11,191,749,3,36,366,1.9,383,2,18,10.6
6,Joe Mixon,HOU,28,RB,9,9,185,786,10,37,429,2.3,357,1.9,16,11.6
7,Tony Pollard,TEN,27,RB,11,11,184,800,4,37,396,2.2,404,2.2,19,9.7
8,Alvin Kamara,NOR,29,RB,11,11,183,782,6,45,451,2.5,331,1.8,12,15.3
9,Aaron Jones,MIN,30,RB,11,11,179,798,3,33,488,2.7,310,1.7,6,29.8
10,Chuba Hubbard,CAR,25,RB,11,11,177,876,7,45,495,2.8,381,2.2,7,25.3
11,D'Andre Swift,CHI,25,RB,11,11,168,665,5,26,380,2.3,285,1.7,5,33.6
12,Bijan Robinson,ATL,22,RB,11,11,167,783,6,38,412,2.5,371,2.2,13,12.8
13,James Conner,ARI,29,RB,11,11,166,705,5,47,303,1.8,402,2.4,18,9.2
14,Rhamondre Stevenson,NWE,26,RB,11,10,162,598,6,30,283,1.7,315,1.9,8,20.3
15,Jonathan Taylor,IND,25,RB,9,9,161,708,5,34,431,2.7,277,1.7,8,20.1
16,J.K. Dobbins,LAC,26,RB,11,9,158,766,8,39,344,2.2,422,2.7,18,8.8
17,Kareem Hunt,KAN,29,RB,8,7,155,577,5,31,307,2,270,1.7,7,22.1
18,Jahmyr Gibbs,DET,22,RB,11,1,154,886,10,41,599,3.9,287,1.9,10,15.4
19,Breece Hall,NYJ,23,RB,11,11,152,632,4,27,296,1.9,336,2.2,6,25.3
20,David Montgomery,DET,27,RB,11,11,145,632,11,43,287,2,345,2.4,18,8.1
21,Chase Brown,CIN,24,RB,11,5,140,607,5,25,365,2.6,242,1.7,16,8.8
22,Jordan Mason,SFO,25,RB,11,6,140,711,3,32,408,2.9,303,2.2,8,17.5
23,James Cook,BUF,25,RB,10,10,137,596,10,33,283,2.1,313,2.3,13,10.5
24,De'Von Achane,MIA,23,RB,11,10,132,562,3,24,289,2.2,273,2.1,5,26.4
25,Kenneth Walker III,SEA,24,RB,9,9,129,493,7,24,246,1.9,247,1.9,9,14.3
26,Brian Robinson Jr.,WAS,25,RB,9,8,122,537,7,32,220,1.8,317,2.6,7,17.4
27,Javonte Williams,DEN,24,RB,12,10,120,445,3,25,227,1.9,218,1.8,4,30
28,Tyrone Tracy,NYG,25,RB,11,7,116,587,3,28,353,3,234,2,6,19.3
