,,,,,,,Receiving,,,,,,,,,,,,,,,
30,George Kittle,31,SFO,TE,12,12,74,60,861,40,477,8,384,6.4,8.5,3,20,2,2.7,2,139.9,
31,Jauan Jennings,27,SFO,WR,12,8,87,59,805,40,596,10.1,209,3.5,10.1,4,14.8,5,5.7,1,115.3,
32,Cade Otton,25,TAM,TE,14,14,87,59,600,31,289,4.9,311,5.3,5.5,6,9.8,8,9.2,3,88.3,
33,D.K. Metcalf,27,SEA,WR,12,10,93,57,840,29,599,10.5,241,4.2,12.6,3,19,4,4.3,1,97.1,
34,Darnell Mooney,27,ATL,WR,14,14,95,57,873,42,629,11,244,4.3,12.2,6,9.5,6,6.3,2,99.1,
35,A.J. Brown,27,PHI,WR,11,11,77,56,946,46,617,11,329,5.9,12.4,9,6.2,0,0,1,130.1,
36,Josh Downs,23,IND,WR,11,7,86,56,626,32,362,6.5,264,4.7,7.6,1,56,4,4.7,3,87.6,
37,David Njoku,28,CLE,TE,10,10,87,56,439,20,230,4.1,209,3.7,5.2,3,18.7,7,8,1,91.1,
38,DeVonta Smith,26,PHI,WR,11,11,74,56,662,33,409,7.3,253,4.5,9.2,0,,1,1.4,3,112.6,
39,Demario Douglas,24,NWE,WR,14,5,73,55,508,25,196,3.6,312,5.7,6,2,27.5,5,6.8,2,91.6,
40,Elijah Moore,24,CLE,WR,14,10,87,55,480,22,363,6.6,117,2.1,9.3,1,55,4,4.6,7,48.1,
41,George Pickens,23,PIT,WR,12,10,90,55,850,35,651,11.8,199,3.6,13.1,4,13.8,5,5.6,2,94.2,
42,Zach Ertz,34,WAS,TE,14,14,77,54,526,30,390,7.2,136,2.5,7.5,0,,3,3.9,2,95.5,
43,Ray-Ray McCloud,28,ATL,WR,14,11,75,54,588,25,285,5.3,303,5.6,6.3,1,54,2,2.7,2,88.1,
44,Bijan Robinson,22,ATL,RB,14,14,60,54,411,19,-84,-1.6,495,9.2,-1.2,5,10.8,1,1.7,0,100.8,
45,Jaylen Waddle,26,MIA,WR,14,14,74,54,700,36,468,8.7,232,4.3,9.6,0,,7,9.5,1,105.7,
46,Keenan Allen,32,CHI,WR,12,12,97,53,553,32,384,7.2,169,3.2,9.4,0,,5,5.2,0,92,
47,Nico Collins,25,HOU,WR,9,9,78,53,849,39,535,10.1,314,5.9,10.5,2,26.5,3,3.8,3,113.7,
48,Calvin Ridley,30,TEN,WR,14,11,104,53,779,31,596,11.2,183,3.5,14.9,2,26.5,5,4.8,3,73.4,
49,Mike Evans,31,TAM,WR,11,11,79,52,749,39,559,10.8,190,3.7,11.4,2,26,3,3.8,4,113.3,
50,Michael Pittman Jr.,27,IND,WR,13,11,88,52,608,24,402,7.7,206,4,11.2,3,17.3,1,1.1,4,68.7,
51,Jordan Addison,22,MIN,WR,12,12,77,51,771,33,599,11.7,172,3.4,13.3,3,17,2,2.6,2,118.5,
52,Chris Godwin,28,TAM,WR,7,7,62,50,576,33,226,4.5,350,7,5.7,4,12.5,2,3.2,1,125.5,
53,Tee Higgins,25,CIN,WR,9,7,81,50,669,35,477,9.5,192,3.8,10.2,6,8.3,3,3.7,1,107.5,
54,DeAndre Hopkins,32,2TM,WR,14,8,72,50,566,32,468,9.4,98,2,10.7,3,16.7,2,2.8,2,104.3,
54,DeAndre Hopkins,32,TEN,WR,6,3,21,15,173,10,172,11.5,1,0.1,10.2,2,7.5,1,4.8,2,72.2,
54,DeAndre Hopkins,32,KAN,WR,8,5,51,35,393,22,296,8.5,97,2.8,10.9,1,35,1,2,0,117.5,
55,Jayden Reed,24,GNB,WR,14,8,65,49,727,25,364,7.4,363,7.4,7.8,3,16.3,8,12.3,0,142.3,
56,Jake Ferguson,25,DAL,TE,11,11,68,48,424,16,164,3.4,260,5.4,4.5,6,8,2,2.9,0,86.9,
57,Breece Hall,23,NYJ,RB,13,13,64,48,422,12,26,0.5,396,8.3,0.9,4,12,7,10.9,0,102.5,
58,Chase Brown,24,CIN,RB,14,8,58,47,318,19,26,0.6,292,6.2,0.8,2,23.5,2,3.4,0,112.5,
59,Stefon Diggs,31,HOU,WR,8,8,64,47,496,31,311,6.6,185,3.9,8.7,3,15.7,3,4.7,1,104.7,
60,Evan Engram,30,JAX,TE,9,9,64,47,365,17,215,4.6,150,3.2,5.4,0,,4,6.3,0,92.3,
61,Pat Freiermuth,26,PIT,TE,14,8,56,47,492,25,270,5.7,222,4.7,6,4,11.8,3,5.4,0,139,
62,Marvin Harrison Jr.,22,ARI,WR,14,14,92,47,687,34,564,12,123,2.6,13.5,0,,4,4.3,3,87.5,
63,Rome Odunze,22,CHI,WR,14,9,88,47,624,32,404,8.6,220,4.7,13.8,4,11.8,5,5.7,1,82.8,
64,Mark Andrews,29,BAL,TE,14,10,53,45,514,31,384,8.5,130,2.9,9.7,0,,3,5.7,1,138.8,
65,Tank Dell,25,HOU,WR,13,9,74,45,569,29,415,9.2,154,3.4,11.9,3,15,6,8.1,3,76.9,
66,Mike Gesicki,29,CIN,TE,14,3,59,45,497,27,312,6.9,185,4.1,8.2,0,,3,5.1,0,112,
67,Xavier Worthy,21,KAN,WR,14,11,78,44,494,27,212,4.8,282,6.4,10.7,0,,6,7.7,2,81.9,
68,Will Dissly,28,LAC,TE,13,7,55,43,418,19,162,3.8,256,6,5,4,10.8,4,7.3,0,104.4,
69,Cole Kmet,25,CHI,TE,14,13,51,43,462,24,284,6.6,178,4.1,7.5,1,43,1,2,1,115.8,
70,Sam LaPorta,23,DET,TE,13,13,61,43,556,30,283,6.6,273,6.3,7.5,3,14.3,1,1.6,2,112.5,
71,Deebo Samuel,28,SFO,WR,13,13,71,43,569,22,250,5.8,319,7.4,7.3,3,14.3,6,8.5,1,84.8,
72,Dalton Schultz,28,HOU,TE,14,10,68,43,437,22,264,6.1,173,4,8.4,0,,2,2.9,1,80.3,
73,Rachaad White,25,TAM,RB,13,13,48,43,339,17,-109,-2.5,448,10.4,-2,3,14.3,0,0,0,135.7,
74,Justice Hill,27,BAL,RB,14,0,50,42,383,17,-55,-1.3,438,10.4,-0.6,5,8.4,1,2,1,110.2,
75,Tyler Lockett,32,SEA,WR,14,12,64,42,533,32,424,10.1,109,2.6,10.7,1,42,4,6.3,4,75.8,
76,Jameson Williams,23,DET,WR,12,8,68,42,747,30,392,9.3,355,8.5,12.3,2,21,2,2.9,2,111.6,
77,James Conner,29,ARI,RB,14,14,48,41,361,15,-60,-1.5,421,10.3,-1.6,10,4.1,2,4.2,2,87.6,
78,Tucker Kraft,24,GNB,TE,14,14,56,41,555,24,190,4.6,365,8.9,5.1,8,5.1,5,8.9,1,136.5,
79,Xavier Legette,23,CAR,WR,14,11,70,41,439,23,344,8.4,95,2.3,12.2,1,41,7,10,1,90.1,
80,Michael Wilson,24,ARI,WR,14,12,60,41,482,23,381,9.3,101,2.5,11.3,1,41,2,3.3,2,100.8,
81,Kyle Pitts,24,ATL,TE,14,14,64,40,536,18,290,7.3,246,6.2,8.8,4,10,4,6.3,3,85.2,
82,Jalen Tolbert,25,DAL,WR,14,13,66,40,462,22,379,9.5,83,2.1,12,0,,3,4.5,2,94.4,
83,Tre Tucker,23,LVR,WR,14,12,65,40,450,20,257,6.4,193,4.8,11.7,3,13.3,1,1.5,1,86.1,
84,Javonte Williams,24,DEN,RB,14,11,53,40,267,10,-24,-0.6,291,7.3,0,3,13.3,4,7.5,0,86,
85,Amari Cooper,30,2TM,WR,12,10,80,40,481,23,380,9.5,101,2.5,12.3,1,40,11,13.8,2,70.9,
85,Amari Cooper,30,CLE,WR,6,6,53,24,250,11,193,8,57,2.4,12.1,1,24,10,18.9,1,64.2,
85,Amari Cooper,30,BUF,WR,6,4,27,16,231,12,187,11.7,44,2.8,12.6,0,,1,3.7,1,84,
86,Jahmyr Gibbs,22,DET,RB,14,1,49,39,395,19,-69,-1.8,464,11.9,0.1,2,19.5,1,2,1,112.2,
87,Chuba Hubbard,25,CAR,RB,14,14,49,39,158,10,-59,-1.5,217,5.6,-0.9,7,5.6,2,4.1,0,86.9,
88,Aaron Jones,30,MIN,RB,14,14,46,39,322,14,0,0,322,8.3,1.1,1,39,1,2.2,1,101.3,
89,Tony Pollard,27,TEN,RB,14,14,53,39,233,9,26,0.7,207,5.3,0.4,2,19.5,6,11.3,0,81.7,
90,Rashod Bateman,25,BAL,WR,14,11,60,38,654,29,505,13.3,149,3.9,14.2,0,,4,6.7,1,132.2,
91,Dallas Goedert,29,PHI,TE,9,9,46,38,441,16,210,5.5,231,6.1,6.7,2,19,1,2.2,1,112,
92,Bucky Irving,22,TAM,RB,14,1,40,38,296,12,-98,-2.6,394,10.4,-2.3,6,6.3,1,2.5,0,97.5,
93,Dalton Kincaid,25,BUF,TE,11,8,66,38,409,20,175,4.6,234,6.2,7.7,3,12.7,6,9.1,0,86,
94,Chigoziem Okonkwo,25,TEN,TE,14,8,52,38,356,14,165,4.3,191,5,5.6,2,19,3,5.8,4,72.3,
95,Kenneth Walker III,24,SEA,RB,10,10,45,38,271,18,-40,-1.1,311,8.2,-0.9,5,7.6,2,4.4,1,89.9,
96,Zach Charbonnet,23,SEA,RB,14,4,47,37,275,5,-23,-0.6,298,8.1,-0.7,0,,0,0,1,89.3,
97,Romeo Doubs,24,GNB,WR,11,10,58,37,523,27,420,11.4,103,2.8,12.9,4,9.3,6,10.3,2,101.4,
98,Noah Gray,25,KAN,TE,14,10,46,37,420,25,221,6,199,5.4,6.5,0,,2,4.3,2,122.8,
99,Darius Slayton,27,NYG,WR,13,10,65,37,520,28,427,11.5,93,2.5,13.1,3,12.3,4,6.2,2,75.2,
100,Tutu Atwell,25,LAR,WR,14,4,52,36,513,26,400,11.1,113,3.1,11.6,0,,2,3.8,2,84.9,
101,Tyler Conklin,29,NYJ,TE,13,13,54,36,317,16,140,3.9,177,4.9,4.9,0,,1,1.9,0,94.4,
102,Noah Fant,27,SEA,TE,11,8,47,36,344,17,180,5,164,4.6,5.8,2,18,1,2.1,2,78.7,
103,Juwan Johnson,28,NOR,TE,14,3,47,36,375,18,239,6.6,136,3.8,7.9,3,12,2,4.3,0,120.4,
104,David Montgomery,27,DET,RB,14,14,38,36,341,16,-24,-0.7,365,10.1,-0.5,11,3.3,0,0,0,104.1,
105,Tyler Boyd,30,TEN,WR,14,8,50,35,356,18,184,5.3,172,4.9,7.5,1,35,3,6,2,73.4,
106,Noah Brown,28,WAS,WR,11,9,56,35,453,21,370,10.6,83,2.4,11.4,0,,4,7.1,1,86.4,
107,Isaiah Likely,24,BAL,TE,13,7,49,35,401,21,165,4.7,236,6.7,7.9,3,11.7,2,4.1,0,122.9,
108,D'Andre Swift,25,CHI,RB,14,14,42,35,325,10,0,0,325,9.3,0.1,1,35,2,4.8,0,98.9,
109,Austin Hooper,30,NWE,TE,14,7,45,34,375,19,185,5.4,190,5.6,5.7,3,11.3,1,2.2,1,112.7,
110,Quentin Johnston,23,LAC,WR,12,9,63,34,459,21,241,7.1,218,6.4,12,8,4.3,5,7.9,1,110.4,
111,Brenton Strange,24,JAX,TE,14,7,44,34,329,16,183,5.4,146,4.3,6.5,2,17,3,6.8,0,112.8,
112,Rico Dowdle,26,DAL,RB,13,12,42,33,205,12,-5,-0.2,210,6.4,0.3,3,11,2,4.8,0,110.8,
113,Austin Ekeler,29,WAS,RB,11,6,39,33,346,13,-57,-1.7,403,12.2,-1.5,3,11,2,5.1,0,103.6,
114,Travis Etienne,25,JAX,RB,12,12,42,33,184,9,-32,-1,216,6.5,0.4,2,16.5,2,4.8,1,75,
115,Adam Thielen,34,CAR,WR,7,7,44,33,418,19,296,9,122,3.7,10.4,1,33,2,4.5,4,81.4,
116,Devaughn Vele,27,DEN,WR,10,6,46,33,377,19,267,8.1,110,3.3,8.2,0,,2,4.3,0,103.3,
117,Ameer Abdullah,31,LVR,RB,14,2,37,32,182,12,-19,-0.6,201,6.3,0,2,16,0,0,0,114.2,
118,Jerome Ford,25,CLE,RB,12,4,38,32,186,7,-59,-1.8,245,7.7,-0.1,7,4.6,1,2.6,0,87.1,
119,T.J. Hockenson,27,MIN,TE,7,6,43,32,351,23,232,7.3,119,3.7,7.7,1,32,1,2.3,1,88.4,
120,Joe Mixon,28,HOU,RB,11,11,46,32,277,11,-31,-1,308,9.6,-0.1,5,6.4,3,6.5,0,92.4,
121,Chris Olave,24,NOR,WR,8,8,44,32,400,22,279,8.7,121,3.8,10.3,1,32,2,4.5,2,89.2,
122,Josh Palmer,25,LAC,WR,13,6,53,32,502,24,419,13.1,83,2.6,15.3,0,,4,7.5,0,98.2,
123,Rhamondre Stevenson,26,NWE,RB,13,12,39,32,155,7,-64,-2,219,6.8,-0.9,3,10.7,1,2.6,0,91.8,
124,Saquon Barkley,27,PHI,RB,14,14,40,31,276,12,32,1,244,7.9,1.4,6,5.2,2,5,0,112.1,
125,Josh Jacobs,26,GNB,RB,14,14,38,31,302,13,-52,-1.7,354,11.4,-0.8,10,3.1,0,0,1,97.6,
126,Allen Lazard,29,NYJ,WR,9,9,49,31,430,24,307,9.9,123,4,11.1,0,,3,6.1,1,116.9,
127,Tim Patrick,31,DET,WR,13,7,41,31,379,20,245,7.9,134,4.3,10,2,15.5,1,2.4,2,107.7,
128,Diontae Johnson,28,2TM,WR,11,8,63,31,363,20,276,8.9,87,2.8,11,1,31,3,4.8,5,49.9,
128,Diontae Johnson,28,CAR,WR,7,7,58,30,357,20,271,9,86,2.9,9.8,1,30,2,3.4,5,52.2,
128,Diontae Johnson,28,BAL,WR,4,1,5,1,6,0,5,5,1,1,24.2,0,,1,20,0,39.6,
129,Najee Harris,26,PIT,RB,14,14,38,30,256,11,-38,-1.3,294,9.8,-1.3,6,5,3,7.9,0,94.7,
130,Sterling Shepard,31,TAM,WR,12,4,46,30,303,14,204,6.8,99,3.3,9,0,,2,4.3,0,91.1,
131,Tyrone Tracy Jr.,25,NYG,RB,14,9,44,30,220,10,12,0.4,208,6.9,0.5,5,6,5,11.4,1,70.3,
132,Kyren Williams,24,LAR,RB,14,14,36,30,159,6,-15,-0.5,174,5.8,-0.8,2,15,1,2.8,0,103.6,
133,Olamide Zaccheaus,27,WAS,WR,14,3,42,30,300,16,115,3.8,185,6.2,4.7,4,7.5,3,7.1,0,91.4,
134,James Cook,25,BUF,RB,13,13,35,29,232,11,2,0.1,230,7.9,1.1,0,,2,5.7,0,103.8,
135,Greg Dortch,26,ARI,WR,14,2,42,29,258,12,42,1.4,216,7.4,4.8,4,7.3,3,7.1,0,93.2,
136,Lil'Jordan Humphrey,26,DEN,WR,14,5,43,29,267,10,80,2.8,187,6.4,6.3,3,9.7,3,7,2,72.5,
137,Theo Johnson,23,NYG,TE,12,11,43,29,331,16,182,6.3,149,5.1,6.7,1,29,5,11.6,1,88.4,
138,Colby Parkinson,25,LAR,TE,14,9,46,29,288,15,134,4.6,154,5.3,5.5,1,29,2,4.3,0,88,
139,Alec Pierce,24,IND,WR,14,11,58,29,645,25,547,18.9,98,3.4,21.4,0,,3,5.2,4,90.1,
140,Ja'Tavion Sanders,21,CAR,TE,13,6,37,29,302,11,133,4.6,169,5.8,6.1,1,29,2,5.4,0,109.7,
141,Cedric Tillman,24,CLE,WR,11,6,49,29,339,15,235,8.1,104,3.6,11.1,4,7.3,3,6.1,2,83.6,
142,Christian Watson,25,GNB,WR,13,13,51,29,620,21,471,16.2,149,5.1,17.6,0,,1,2,2,96.9,
143,Calvin Austin III,25,PIT,WR,14,6,47,28,452,15,314,11.2,138,4.9,12.3,1,28,2,4.3,0,120.2,
144,J.K. Dobbins,26,LAC,RB,11,9,34,28,134,6,-41,-1.5,175,6.3,-1,1,28,2,5.9,0,83.1,
145,Andrei Iosivas,25,CIN,WR,14,7,51,28,355,20,312,11.1,43,1.5,11.2,0,,4,7.8,1,101.3,
146,David Moore,29,CAR,WR,14,5,50,28,286,14,230,8.2,56,2,10.1,1,28,3,6,0,79.2,
147,Demarcus Robinson,30,LAR,WR,14,14,55,28,433,24,379,13.5,54,1.9,14.1,1,28,1,1.8,3,94.2,
148,Jaylen Warren,26,PIT,RB,12,0,35,28,225,10,-16,-0.6,241,8.6,-0.3,3,9.3,0,0,0,93.5,
149,Jordan Akins,32,CLE,TE,14,4,40,27,273,15,158,5.9,115,4.3,5.7,1,27,1,2.5,1,84.7,
150,Kayshon Boutte,22,NWE,WR,12,10,49,27,349,17,271,10,78,2.9,15.1,1,27,3,6.1,2,67.5,
151,Christian Kirk,28,JAX,WR,8,7,47,27,379,18,266,9.9,113,4.2,13.7,1,27,1,2.1,2,72.9,
152,Alexander Mattison,26,LVR,RB,11,5,33,27,248,10,-11,-0.4,259,9.6,-0.3,5,5.4,1,3,1,95.5,
153,Dontayvion Wicks,23,GNB,WR,14,3,58,27,310,19,189,7,121,4.5,11.1,3,9,8,13.8,2,71.8,
154,KaVontae Turpin,28,DAL,WR,14,1,42,26,344,15,137,5.3,207,8,8.2,2,13,2,4.8,2,83.8,
155,Brandon Aiyuk,26,SFO,WR,7,7,47,25,374,19,267,10.7,107,4.3,11.9,2,12.5,4,8.5,2,61.8,
156,Mack Hollins,31,BUF,WR,14,10,41,24,295,19,226,9.4,69,2.9,11.4,0,,3,7.3,0,120.4,
157,Rashee Rice,24,KAN,WR,4,4,29,24,288,15,102,4.3,186,7.8,5.2,4,6,1,3.4,1,116.7,
158,Curtis Samuel,28,BUF,WR,13,1,38,24,201,8,101,4.2,100,4.2,5.5,1,24,1,2.6,1,74.6,
159,Luke Schoonmaker,26,DAL,TE,14,5,33,24,222,10,136,5.7,86,3.6,5.8,0,,0,0,0,100.8,
160,Tyjae Spears,23,TEN,RB,10,0,27,24,177,7,-33,-1.4,210,8.8,-1.3,1,24,1,3.7,0,106.3,
161,AJ Barner,22,SEA,TE,14,5,31,23,198,13,70,3,128,5.6,4,1,23,3,9.7,1,98.6,
162,Dyami Brown,25,WAS,WR,14,1,31,23,236,11,60,2.6,176,7.7,5.8,3,7.7,2,6.5,0,106.4,
163,Keon Coleman,21,BUF,WR,10,9,38,23,481,17,276,12,205,8.9,14.4,4,5.8,3,7.9,1,120,
164,Troy Franklin,21,DEN,WR,13,6,46,23,227,9,101,4.4,126,5.5,14,1,23,2,4.3,1,69.7,
165,Taysom Hill,34,NOR,TE,8,8,31,23,187,8,50,2.2,137,6,3.5,2,11.5,2,6.5,0,89,
166,Marvin Mims,22,DEN,WR,14,1,34,23,287,7,-5,-0.2,292,12.7,8.3,0,,2,5.9,2,88.7,
167,Foster Moreau,27,NOR,TE,14,14,31,23,302,16,189,8.2,113,4.9,9.6,2,11.5,0,0,0,144.1,
168,Zack Moss,27,CIN,RB,8,6,27,23,187,11,-7,-0.3,194,8.4,0.1,3,7.7,1,3.7,0,107.9,
169,Nick Westbrook-Ikhine,27,TEN,WR,14,7,43,23,393,19,287,12.5,106,4.6,11.9,1,23,4,9.3,3,95.3,
170,Josh Whyle,25,TEN,TE,14,4,29,23,219,13,89,3.9,130,5.7,5.4,1,23,1,3.4,0,109.6,
171,Kendrick Bourne,29,NWE,WR,9,6,30,22,253,11,172,7.8,81,3.7,9.6,0,,4,13.3,0,109.4,
172,Tyler Johnson,26,LAR,WR,14,2,34,22,256,7,102,4.6,154,7,5.7,0,,1,2.9,1,75.1,
173,Jalen McMillan,23,TAM,WR,10,9,40,22,279,13,187,8.5,92,4.2,12.4,0,,4,10,5,70.7,
174,Samaje Perine,29,KAN,RB,14,0,29,22,239,11,-3,-0.1,242,11,0,3,7.3,1,3.4,0,111.1,
175,Grant Calcaterra,26,PHI,TE,14,10,24,21,254,14,132,6.3,122,5.8,7.2,0,,0,0,0,124.7,
176,Jalen Coker,23,CAR,WR,8,2,32,21,373,16,224,10.7,149,7.1,12.8,2,10.5,0,0,1,113.2,
177,Kareem Hunt,29,KAN,RB,11,8,29,21,152,9,-37,-1.8,189,9,-2.1,4,5.3,0,0,0,84.3,
178,Miles Sanders,27,CAR,RB,10,1,26,21,98,3,-39,-1.9,137,6.5,-0.6,0,,0,0,1,66.3,
179,Parker Washington,22,JAX,WR,14,4,38,21,290,14,209,10,81,3.9,12,2,10.5,1,2.6,1,77.7,
180,Erick All,24,CIN,TE,9,6,22,20,158,8,71,3.6,87,4.4,3.4,1,20,1,4.5,0,96.6,
181,Gabriel Davis,25,JAX,WR,10,9,42,20,239,13,200,10,39,2,13.2,0,,0,0,2,61.5,
182,Jaleel McLaughlin,24,DEN,RB,14,3,23,20,60,3,-75,-3.8,135,6.8,-3.7,1,20,0,0,0,108.2,
183,Adonai Mitchell,22,IND,WR,14,7,49,20,254,13,175,8.8,79,4,14,0,,3,6.1,0,57.7,
184,Josh Oliver,27,MIN,TE,12,10,24,20,242,13,123,6.2,119,6,8.1,0,,1,4.2,0,148.3,
185,Rashid Shaheed,26,NOR,WR,6,5,41,20,349,12,243,12.2,106,5.3,17.6,0,,0,0,4,63,
186,Van Jefferson,28,PIT,WR,14,11,32,19,231,10,158,8.3,73,3.8,12.8,0,,0,0,0,102.5,
187,Dawson Knox,28,BUF,TE,14,11,28,19,285,11,194,10.2,91,4.8,9.7,0,,1,3.6,1,98.1,
188,Jalen Nailor,25,MIN,WR,14,6,32,19,275,16,201,10.6,74,3.9,10.9,0,,4,12.5,0,127,
189,Devin Singletary,27,NYG,RB,12,5,22,19,115,4,-56,-2.9,171,9,-3,1,19,1,4.5,2,50.6,
190,Justin Watson,29,KAN,WR,14,5,26,19,224,11,165,8.7,59,3.1,13.8,0,,2,7.7,0,111.7,
191,Elijah Higgins,24,ARI,TE,14,4,20,18,149,8,80,4.4,69,3.8,4.5,1,18,1,5,0,131,
192,Tanner Hudson,30,CIN,TE,10,0,22,18,143,8,54,3,89,4.9,4.3,0,,1,4.5,0,108.9,
193,Johnny Mundt,30,MIN,TE,14,3,26,18,135,7,57,3.2,78,4.3,4.2,1,18,2,7.7,0,107.1,
194,Tommy Tremble,24,CAR,TE,9,8,26,18,172,8,88,4.9,84,4.7,5.7,0,,1,3.8,1,84.1,
195,Darnell Washington,23,PIT,TE,14,8,24,18,192,9,69,3.8,123,6.8,4.3,2,9,0,0,1,94.4,
196,Jordan Whittington,24,LAR,WR,12,2,23,18,201,10,75,4.2,126,7,3.9,1,18,0,0,0,103.1,
197,Antonio Gibson,26,NWE,RB,14,2,20,17,178,9,-8,-0.5,186,10.9,-0.2,0,,1,5,2,64.2,
198,Luke McCaffrey,23,WAS,WR,14,4,21,17,155,7,73,4.3,82,4.8,6.4,1,17,1,4.8,0,97.4,
199,John Metchie,24,HOU,WR,11,2,25,17,182,9,120,7.1,62,3.6,9.2,0,,0,0,1,85.7,
200,Mike Williams,30,2TM,WR,15,4,28,17,249,11,224,13.2,25,1.5,15.4,0,,2,7.1,2,71.9,
200,Mike Williams,30,NYJ,WR,9,3,21,12,166,9,142,11.8,24,2,14.5,0,,2,9.5,2,43.1,
200,Mike Williams,30,PIT,WR,6,1,7,5,83,2,82,16.4,1,0.2,18,0,,0,0,0,150.6,
201,Braelon Allen,20,NYJ,RB,14,2,23,16,135,8,-18,-1.1,153,9.6,-0.5,2,8,3,13,0,99,
202,Brandin Cooks,31,DAL,WR,7,6,34,16,144,12,125,7.8,19,1.2,12,0,,1,2.9,0,88.4,
203,Emari Demercado,25,ARI,RB,13,0,20,16,104,3,9,0.6,95,5.9,1.3,1,16,0,0,0,88.3,
204,Ty Johnson,27,BUF,RB,14,1,21,16,275,13,119,7.4,156,9.8,7.5,1,16,0,0,0,157.2,
