,,,,,,,Rushing,,,,,,,,,
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1,Saquon Barkley,27,PHI,RB,14,14,285,1688,68,1079,3.8,609,2.1,17,16.8,
2,Kyren Williams,24,LAR,RB,14,14,280,1121,75,604,2.2,517,1.8,16,17.5,
3,Josh Jacobs,26,GNB,RB,14,14,265,1147,60,517,2,630,2.4,28,9.5,
4,Derrick Henry,30,BAL,RB,14,14,254,1474,70,766,3,708,2.8,31,8.2,
5,Bijan Robinson,22,ATL,RB,14,14,237,1102,53,555,2.3,547,2.3,19,12.5,
6,Tony Pollard,27,TEN,RB,14,14,230,982,49,472,2.1,510,2.2,20,11.5,
7,Najee Harris,26,PIT,RB,14,14,229,891,42,426,1.9,465,2,20,11.5,
8,Alvin Kamara,29,NOR,RB,14,14,228,950,52,548,2.4,402,1.8,13,17.5,
9,Chuba Hubbard,25,CAR,RB,14,14,225,1043,54,583,2.6,460,2,11,20.5,
10,James Conner,29,ARI,RB,14,14,217,973,62,500,2.3,473,2.2,18,12.1,
11,Joe Mixon,28,HOU,RB,11,11,217,910,46,486,2.2,424,2,18,12.1,
12,Aaron Jones,30,MIN,RB,14,14,215,979,42,531,2.5,448,2.1,10,21.5,
13,D'Andre Swift,25,CHI,RB,14,14,212,821,36,445,2.1,376,1.8,5,42.4,
14,Jonathan Taylor,25,IND,RB,11,10,208,911,46,560,2.7,351,1.7,12,17.3,
15,Rhamondre Stevenson,26,NWE,RB,13,12,193,740,37,384,2,356,1.8,9,21.4,
16,Chase Brown,24,CIN,RB,14,8,191,832,41,501,2.6,331,1.7,21,9.1,
17,Jahmyr Gibbs,22,DET,RB,14,1,186,1047,49,625,3.4,422,2.3,16,11.6,
18,David Montgomery,27,DET,RB,14,14,185,775,50,347,1.9,428,2.3,19,9.7,
19,Kareem Hunt,29,KAN,RB,11,8,180,653,34,349,1.9,304,1.7,7,25.7,
20,Rico Dowdle,26,DAL,RB,13,12,177,880,43,459,2.6,421,2.4,9,19.7,
21,Breece Hall,23,NYJ,RB,13,13,173,722,31,356,2.1,366,2.1,6,28.8,
22,James Cook,25,BUF,RB,13,13,171,828,40,443,2.6,385,2.3,13,13.2,
23,De'Von Achane,23,MIA,RB,14,13,165,641,29,324,2,317,1.9,6,27.5,
24,Brian Robinson Jr.,25,WAS,RB,11,10,159,705,41,312,2,393,2.5,10,15.9,
25,J.K. Dobbins,26,LAC,RB,11,9,158,766,39,338,2.1,428,2.7,18,8.8,
26,Jordan Mason,25,SFO,RB,12,6,153,789,37,441,2.9,348,2.3,13,11.8,
27,Bucky Irving,22,TAM,RB,14,1,152,852,38,383,2.5,469,3.1,10,15.2,
28,Tyrone Tracy Jr.,25,NYG,RB,14,9,151,695,33,411,2.7,284,1.9,6,25.2,
29,Jalen Hurts,26,PHI,QB,14,14,147,589,61,410,2.8,179,1.2,11,13.4,
30,Kenneth Walker III,24,SEA,RB,10,10,145,542,26,247,1.7,295,2,13,11.2,
31,Rachaad White,25,TAM,RB,13,13,135,573,30,213,1.6,360,2.7,8,16.9,
32,Tank Bigsby,23,JAX,RB,13,1,131,644,30,231,1.8,413,3.2,12,10.9,
33,Javonte Williams,24,DEN,RB,14,11,130,461,26,227,1.7,234,1.8,4,32.5,
34,Jayden Daniels,24,WAS,QB,14,14,119,656,42,503,4.2,153,1.3,8,14.9,
35,Lamar Jackson,27,BAL,QB,14,14,117,743,40,534,4.6,209,1.8,6,19.5,
36,Tyler Allgeier,24,ATL,RB,14,0,114,551,35,240,2.1,311,2.7,6,19,
37,Travis Etienne,25,JAX,RB,12,12,113,456,25,248,2.2,208,1.8,2,56.5,
38,Zach Charbonnet,23,SEA,RB,14,4,105,454,27,191,1.8,263,2.5,10,10.5,
39,Alexander Mattison,26,LVR,RB,11,5,104,341,22,167,1.6,174,1.7,7,14.9,
40,Nick Chubb,29,CLE,RB,8,8,102,332,17,170,1.7,162,1.6,4,25.5,
41,Devin Singletary,27,NYG,RB,12,5,97,382,21,173,1.8,209,2.2,7,13.9,
42,Josh Allen,28,BUF,QB,14,14,91,484,46,314,3.5,170,1.9,6,15.2,
43,Jaylen Warren,26,PIT,RB,12,0,91,371,20,211,2.3,160,1.8,7,13,
44,Cam Akers,25,2TM,RB,14,2,91,358,19,178,2,180,2,6,15.2,
44,Cam Akers,25,HOU,RB,5,2,40,147,5,84,2.1,63,1.6,2,20,
44,Cam Akers,25,MIN,RB,9,0,51,211,14,94,1.8,117,2.3,4,12.8,
45,Ray Davis,25,BUF,RB,14,0,87,357,21,174,2,183,2.1,4,21.8,
46,Gus Edwards,29,LAC,RB,10,5,87,297,14,114,1.3,183,2.1,9,9.7,
47,Jerome Ford,25,CLE,RB,12,4,87,451,21,254,2.9,197,2.3,5,17.4,
48,Jaleel McLaughlin,24,DEN,RB,14,3,87,388,18,243,2.8,145,1.7,6,14.5,
49,Antonio Gibson,26,NWE,RB,14,2,86,406,19,181,2.1,225,2.6,8,10.8,
50,Braelon Allen,20,NYJ,RB,14,2,80,288,18,120,1.5,168,2.1,4,20,
51,Anthony Richardson,22,IND,QB,10,10,77,429,30,311,4,118,1.5,8,9.6,
52,Bo Nix,24,DEN,QB,14,14,75,327,31,262,3.5,65,0.9,3,25,
53,Austin Ekeler,29,WAS,RB,11,6,74,355,18,226,3.1,129,1.7,3,24.7,
54,Zack Moss,27,CIN,RB,8,6,74,242,13,166,2.2,76,1,4,18.5,
55,Isaac Guerendo,24,SFO,RB,14,2,73,381,15,163,2.2,218,3,2,36.5,
56,Emanuel Wilson,25,GNB,RB,14,0,72,348,18,185,2.6,163,2.3,7,10.3,
57,Raheem Mostert,32,MIA,RB,10,1,71,244,12,129,1.8,115,1.6,1,71,
58,Ezekiel Elliott,29,DAL,RB,13,2,70,223,13,117,1.7,106,1.5,2,35,
59,Isiah Pacheco,25,KAN,RB,5,4,68,266,12,155,2.3,111,1.6,0,,
60,Daniel Jones,27,NYG,QB,10,10,67,265,26,186,2.8,79,1.2,5,13.4,
61,Caleb Williams,23,CHI,QB,14,14,67,408,24,327,4.9,81,1.2,3,22.3,
