,,,,,Games,,Rushing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Joe Mixon,HOU,28,RB,1,1,30,159,1,9,101,3.4,58,1.9,2,15
2,Jordan Mason,SFO,25,RB,1,1,28,147,1,8,147,5.3,0,0,0,
3,Rhamondre Stevenson,NWE,26,RB,1,1,25,120,1,8,45,1.8,75,3,2,12.5
4,Saquon Barkley,PHI,27,RB,1,1,24,109,2,6,100,4.2,9,0.4,0,
5,Najee Harris,PIT,26,RB,1,1,20,70,0,3,22,1.1,48,2.4,2,10
6,Kenneth Walker III,SEA,24,RB,1,1,20,103,1,4,52,2.6,51,2.6,2,10
7,James Cook,BUF,25,RB,1,1,19,71,0,3,71,3.7,0,0,0,
8,Bijan Robinson,ATL,22,RB,1,1,18,68,0,5,18,1,50,2.8,4,4.5
9,Kyren Williams,LAR,24,RB,1,1,18,50,1,5,50,2.8,0,0,0,
10,David Montgomery,DET,27,RB,1,1,17,91,1,6,91,5.4,0,0,0,
11,James Conner,ARI,29,RB,1,1,16,50,1,3,50,3.1,0,0,0,
12,Jayden Daniels,WAS,24,QB,1,1,16,88,2,8,88,5.5,0,0,0,
13,Breece Hall,NYJ,23,RB,1,1,16,54,1,2,54,3.4,0,0,0,
14,Lamar Jackson,BAL,27,QB,1,1,16,122,0,7,122,7.6,0,0,0,
15,Josh Jacobs,GNB,26,RB,1,1,16,84,0,4,79,4.9,5,0.3,0,
16,Tony Pollard,TEN,27,RB,1,1,16,82,1,5,79,4.9,3,0.2,0,
17,Jonathan Taylor,IND,25,RB,1,1,16,48,1,4,29,1.8,19,1.2,1,16
18,Alvin Kamara,NOR,29,RB,1,1,15,83,1,5,83,5.5,0,0,0,
19,Isiah Pacheco,KAN,25,RB,1,1,15,45,1,2,45,3,0,0,0,
20,Rachaad White,TAM,25,RB,1,1,15,31,0,1,31,2.1,0,0,0,
21,Justin Fields,PIT,25,QB,1,1,14,57,0,5,20,1.4,37,2.6,1,14
22,Aaron Jones,MIN,30,RB,1,1,14,94,1,6,53,3.8,41,2.9,1,14
23,Derrick Henry,BAL,30,RB,1,1,13,46,1,5,46,3.5,0,0,0,
24,Jalen Hurts,PHI,26,QB,1,1,13,33,0,2,27,2.1,6,0.5,0,
25,Zamir White,LVR,25,RB,1,1,13,44,0,1,44,3.4,0,0,0,
26,Tank Bigsby,JAX,23,RB,1,0,12,73,0,2,73,6.1,0,0,0,
27,Travis Etienne,JAX,25,RB,1,1,12,44,1,3,44,3.7,0,0,0,
28,Jerome Ford,CLE,25,RB,1,1,12,44,1,2,44,3.7,0,0,0,
29,Brian Robinson Jr.,WAS,25,RB,1,1,12,40,1,3,40,3.3,0,0,0,
30,Gus Edwards,LAC,29,RB,1,1,11,26,0,1,22,2,4,0.4,0,
31,Jahmyr Gibbs,DET,22,RB,1,0,11,40,1,3,40,3.6,0,0,0,
32,Jamaal Williams,NOR,29,RB,1,0,11,38,1,3,38,3.5,0,0,0,
33,De'Von Achane,MIA,23,RB,1,0,10,24,1,1,24,2.4,0,0,0,
34,J.K. Dobbins,LAC,26,RB,1,0,10,135,1,4,135,13.5,0,0,0,
35,Ezekiel Elliott,DAL,29,RB,1,1,10,40,1,2,40,4,0,0,0,
36,Jaleel McLaughlin,DEN,24,RB,1,0,10,27,0,2,15,1.5,12,1.2,1,10
37,Devin Singletary,NYG,27,RB,1,1,10,37,0,1,17,1.7,20,2,0,
38,D'Andre Swift,CHI,25,RB,1,1,10,30,0,1,27,2.7,3,0.3,0,
39,Josh Allen,BUF,28,QB,1,1,9,39,2,4,39,4.3,0,0,0,
40,Bucky Irving,TAM,22,RB,1,0,9,62,0,2,62,6.9,0,0,0,
41,Zack Moss,CIN,27,RB,1,1,9,44,1,4,27,3,17,1.9,0,
42,Ty Chandler,MIN,26,RB,1,0,8,17,0,0,11,1.4,6,0.8,0,
43,Zach Charbonnet,SEA,23,RB,1,0,8,12,0,0,-5,-0.6,17,2.1,0,
44,Rico Dowdle,DAL,26,RB,1,0,8,26,0,2,26,3.3,0,0,0,
45,Deebo Samuel,SFO,28,WR,1,1,8,23,1,1,23,2.9,0,0,0,
