,,,,,,,Rushing,,,,,,,,,
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1,Saquon Barkley,27,PHI,RB,15,15,314,1838,73,1201,3.8,637,2,18,17.4,
2,Kyren Williams,24,LAR,RB,15,15,303,1243,84,661,2.2,582,1.9,26,11.7,
3,Derrick Henry,30,BAL,RB,15,15,278,1636,78,876,3.2,760,2.7,34,8.2,
4,Josh Jacobs,26,GNB,RB,15,15,278,1216,65,554,2,662,2.4,30,9.3,
5,Bijan Robinson,22,ATL,RB,15,15,259,1196,61,598,2.3,598,2.3,19,13.6,
6,Chuba Hubbard,25,CAR,RB,15,15,250,1195,62,656,2.6,539,2.2,14,17.9,
7,Najee Harris,26,PIT,RB,15,15,238,933,43,445,1.9,488,2.1,22,10.8,
8,Tony Pollard,27,TEN,RB,15,15,238,1017,50,475,2,542,2.3,22,10.8,
9,Jonathan Taylor,25,IND,RB,12,11,237,1129,52,683,2.9,446,1.9,14,16.9,
10,Aaron Jones,30,MIN,RB,15,15,233,1046,46,565,2.4,481,2.1,10,23.3,
11,James Conner,29,ARI,RB,15,15,232,1090,66,526,2.3,564,2.4,24,9.7,
12,Joe Mixon,28,HOU,RB,12,12,231,967,50,522,2.3,445,1.9,19,12.2,
13,Alvin Kamara,29,NOR,RB,14,14,228,950,52,548,2.4,402,1.8,13,17.5,
14,D'Andre Swift,25,CHI,RB,15,15,221,841,37,458,2.1,383,1.7,5,44.2,
15,Chase Brown,24,CIN,RB,15,9,209,923,46,570,2.7,353,1.7,22,9.5,
16,Jahmyr Gibbs,22,DET,RB,15,2,209,1156,57,672,3.2,484,2.3,18,11.6,
17,Rhamondre Stevenson,26,NWE,RB,14,13,205,800,40,371,1.8,429,2.1,14,14.6,
18,Kareem Hunt,29,KAN,RB,12,8,191,708,39,388,2,320,1.7,7,27.3,
19,Rico Dowdle,26,DAL,RB,14,13,190,903,43,473,2.5,430,2.3,9,21.1,
20,Breece Hall,23,NYJ,RB,14,14,187,774,33,384,2.1,390,2.1,7,26.7,
21,David Montgomery,27,DET,RB,14,14,185,775,50,347,1.9,428,2.3,19,9.7,
22,De'Von Achane,23,MIA,RB,15,14,182,761,32,420,2.3,341,1.9,6,30.3,
23,James Cook,25,BUF,RB,14,14,182,928,43,498,2.7,430,2.4,13,14,
24,Brian Robinson Jr.,25,WAS,RB,12,11,169,729,43,328,1.9,401,2.4,10,16.9,
25,Bucky Irving,22,TAM,RB,15,1,168,920,43,418,2.5,502,3,11,15.3,
26,J.K. Dobbins,26,LAC,RB,11,9,158,766,39,338,2.1,428,2.7,18,8.8,
27,Tyrone Tracy Jr.,25,NYG,RB,15,10,158,721,36,425,2.7,296,1.9,6,26.3,
28,Jordan Mason,25,SFO,RB,12,6,153,789,37,441,2.9,348,2.3,13,11.8,
29,Kenneth Walker III,24,SEA,RB,11,11,153,573,28,263,1.7,310,2,13,11.8,
30,Jalen Hurts,26,PHI,QB,15,15,150,630,62,449,3,181,1.2,11,13.6,
31,Tank Bigsby,23,JAX,RB,14,1,143,694,34,259,1.8,435,3,14,10.2,
32,Rachaad White,25,TAM,RB,14,14,138,583,32,217,1.6,366,2.7,8,17.3,
33,Javonte Williams,24,DEN,RB,15,11,134,485,28,243,1.8,242,1.8,4,33.5,
34,Jayden Daniels,24,WAS,QB,15,15,128,737,46,560,4.4,177,1.4,8,16,
35,Lamar Jackson,27,BAL,QB,15,15,126,765,41,553,4.4,212,1.7,6,21,
36,Tyler Allgeier,24,ATL,RB,15,0,125,573,38,254,2,319,2.6,6,20.8,
37,Travis Etienne,25,JAX,RB,13,13,122,478,26,261,2.1,217,1.8,2,61,
38,Alexander Mattison,26,LVR,RB,12,6,116,368,23,177,1.5,191,1.6,7,16.6,
39,Zach Charbonnet,23,SEA,RB,15,4,106,453,27,190,1.8,263,2.5,10,10.6,
40,Jaylen Warren,26,PIT,RB,13,0,103,419,24,236,2.3,183,1.8,9,11.4,
41,Nick Chubb,29,CLE,RB,8,8,102,332,17,170,1.7,162,1.6,4,25.5,
42,Gus Edwards,29,LAC,RB,11,6,101,365,17,125,1.2,240,2.4,9,11.2,
43,Devin Singletary,27,NYG,RB,13,5,101,394,21,181,1.8,213,2.1,7,14.4,
44,Jerome Ford,25,CLE,RB,13,5,98,543,24,337,3.4,206,2.1,5,19.6,
45,Josh Allen,28,BUF,QB,15,15,97,514,49,329,3.4,185,1.9,7,13.9,
46,Antonio Gibson,26,NWE,RB,15,2,96,434,20,159,1.7,275,2.9,11,8.7,
47,Ray Davis,25,BUF,RB,15,0,92,369,22,181,2,188,2,5,18.4,
48,Cam Akers,25,2TM,RB,15,2,92,361,19,180,2,181,2,6,15.3,
48,Cam Akers,25,HOU,RB,5,2,40,147,5,84,2.1,63,1.6,2,20,
48,Cam Akers,25,MIN,RB,10,0,52,214,14,96,1.8,118,2.3,4,13,
49,Jaleel McLaughlin,24,DEN,RB,14,3,87,388,18,243,2.8,145,1.7,6,14.5,
50,Anthony Richardson,22,IND,QB,11,11,86,499,34,363,4.2,136,1.6,9,9.6,
51,Emanuel Wilson,25,GNB,RB,15,0,83,400,21,217,2.6,183,2.2,8,10.4,
52,Braelon Allen,20,NYJ,RB,15,2,82,293,18,123,1.5,170,2.1,4,20.5,
53,Raheem Mostert,32,MIA,RB,11,1,79,275,13,144,1.8,131,1.7,1,79,
54,Bo Nix,24,DEN,QB,15,15,78,352,33,287,3.7,65,0.8,3,26,
55,Isiah Pacheco,25,KAN,RB,6,5,77,292,14,170,2.2,122,1.6,0,,
56,Austin Ekeler,29,WAS,RB,11,6,74,355,18,226,3.1,129,1.7,3,24.7,
57,Zack Moss,27,CIN,RB,8,6,74,242,13,166,2.2,76,1,4,18.5,
58,Isaac Guerendo,24,SFO,RB,14,2,73,381,15,163,2.2,218,3,2,36.5,
59,Caleb Williams,23,CHI,QB,15,15,73,442,25,344,4.7,98,1.3,3,24.3,
60,Ezekiel Elliott,29,DAL,RB,14,2,71,224,14,117,1.6,107,1.5,2,35.5,
61,Kyler Murray,27,ARI,QB,15,15,71,518,24,417,5.9,101,1.4,2,35.5,
