,,,,,,,Rushing,,,,,,,,,
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
62,Jaylen Wright,21,MIA,RB,12,1,61,250,10,132,2.2,118,1.9,3,20.3,
63,Trey Benson,21,ARI,RB,12,1,58,269,14,148,2.6,121,2.1,4,14.5,
64,Kyler Murray,27,ARI,QB,13,13,58,444,20,353,6.1,91,1.6,1,58,
65,Brock Purdy,25,SFO,QB,12,12,58,282,28,230,4,52,0.9,2,29,
66,Isaac Guerendo,24,SFO,RB,13,1,57,324,12,132,2.3,192,3.4,2,28.5,
67,Sam Darnold,27,MIN,QB,13,13,56,194,21,139,2.5,55,1,1,56,
68,Isiah Pacheco,25,KAN,RB,4,3,55,234,12,149,2.7,85,1.5,0,,
69,Justin Herbert,26,LAC,QB,13,13,54,224,16,167,3.1,57,1.1,1,54,
70,Ty Chandler,26,MIN,RB,13,0,50,171,8,124,2.5,47,0.9,0,,
71,Kenneth Gainwell,25,PHI,RB,13,0,50,245,11,143,2.9,102,2,3,16.7,
72,Patrick Mahomes,29,KAN,QB,13,13,50,248,19,198,4,50,1,0,,
73,Christian McCaffrey,28,SFO,RB,4,4,50,202,12,116,2.3,86,1.7,3,16.7,
74,Jeremy McNichols,29,WAS,RB,13,1,50,249,14,96,1.9,153,3.1,6,8.3,
75,Tyjae Spears,23,TEN,RB,9,0,50,185,10,80,1.6,105,2.1,6,8.3,
76,Roschon Johnson,23,CHI,RB,11,0,48,139,16,76,1.6,63,1.3,0,,
77,Carson Steele,22,KAN,RB,13,2,48,158,14,77,1.6,81,1.7,2,24,
78,Trey Sermon,25,IND,RB,13,3,47,131,13,67,1.4,64,1.4,1,47,
79,D'Onta Foreman,28,CLE,RB,8,2,46,155,6,101,2.2,54,1.2,0,,
80,Geno Smith,34,SEA,QB,13,13,46,226,14,209,4.5,17,0.4,0,,
81,Blake Corum,24,LAR,RB,13,0,45,182,12,108,2.4,74,1.6,0,,
82,Baker Mayfield,29,TAM,QB,13,13,45,241,17,187,4.2,54,1.2,1,45,
83,Justice Hill,27,BAL,RB,13,0,43,191,12,74,1.7,117,2.7,5,8.6,
84,C.J. Stroud,23,HOU,QB,13,13,43,199,11,157,3.7,42,1,3,14.3,
85,Audric Estime,21,DEN,RB,9,0,41,191,9,89,2.2,102,2.5,2,20.5,
86,Taysom Hill,34,NOR,TE,8,8,39,278,18,108,2.8,170,4.4,4,9.8,
87,Will Levis,25,TEN,QB,10,10,39,175,19,122,3.1,53,1.4,4,9.8,
88,Drake Maye,22,NWE,QB,9,8,38,345,17,261,6.9,84,2.2,2,19,
