,,,,,Games,,Rushing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Derrick Henry,BAL,30,RB,9,9,168,1052,11,46,575,3.4,477,2.8,16,10.5
2,Kyren Williams,LAR,24,RB,8,8,161,602,8,43,348,2.2,254,1.6,6,26.8
3,Josh Jacobs,GNB,26,RB,9,9,158,762,3,34,339,2.1,423,2.7,13,12.2
4,Saquon Barkley,PHI,27,RB,8,8,157,925,6,35,606,3.9,319,2,7,22.4
5,Alvin Kamara,NOR,29,RB,9,9,150,660,6,39,371,2.5,289,1.9,11,13.6
6,James Conner,ARI,29,RB,9,9,147,664,4,44,273,1.9,391,2.7,18,8.2
7,Tony Pollard,TEN,27,RB,8,8,142,622,3,29,317,2.2,305,2.1,15,9.5
8,Najee Harris,PIT,26,RB,8,8,136,592,2,26,265,1.9,327,2.4,12,11.3
9,Bijan Robinson,ATL,22,RB,9,9,135,632,4,31,341,2.5,291,2.2,10,13.5
10,Jordan Mason,SFO,25,RB,8,6,134,685,3,30,386,2.9,299,2.2,8,16.8
11,Chuba Hubbard,CAR,25,RB,9,9,133,665,5,33,356,2.7,309,2.3,6,22.2
12,J.K. Dobbins,LAC,26,RB,8,7,126,620,6,31,268,2.1,352,2.8,15,8.4
13,Breece Hall,NYJ,23,RB,9,9,126,502,3,22,231,1.8,271,2.2,4,31.5
14,Joe Mixon,HOU,28,RB,6,6,126,609,6,29,320,2.5,289,2.3,9,14
15,Aaron Jones,MIN,30,RB,8,8,125,565,2,25,307,2.5,258,2.1,6,20.8
16,D'Andre Swift,CHI,25,RB,8,8,125,505,4,22,272,2.2,233,1.9,4,31.3
17,Rhamondre Stevenson,NWE,26,RB,8,7,114,438,6,23,192,1.7,246,2.2,7,16.3
18,Kareem Hunt,KAN,29,RB,5,4,111,414,5,22,260,2.3,154,1.4,5,22.2
19,David Montgomery,DET,27,RB,8,8,110,488,7,31,221,2,267,2.4,14,7.9
20,James Cook,BUF,25,RB,8,8,109,496,7,27,236,2.2,260,2.4,8,13.6
21,Chase Brown,CIN,24,RB,9,3,105,479,4,20,312,3,167,1.6,11,9.5
22,Jonathan Taylor,IND,25,RB,6,6,105,502,5,28,311,3,191,1.8,5,21
23,Jahmyr Gibbs,DET,22,RB,8,1,103,656,7,28,450,4.4,206,2,7,14.7
24,Javonte Williams,DEN,24,RB,9,8,102,387,2,21,195,1.9,192,1.9,4,25.5
25,Brian Robinson Jr.,WAS,25,RB,7,6,101,461,6,27,194,1.9,267,2.6,7,14.4
26,Kenneth Walker III,SEA,24,RB,7,7,99,398,6,18,192,1.9,206,2.1,5,19.8
27,De'Von Achane,MIA,23,RB,8,7,93,420,2,18,216,2.3,204,2.2,4,23.3
28,Tank Bigsby,JAX,23,RB,9,1,93,515,4,21,186,2,329,3.5,11,8.5
29,Alexander Mattison,LVR,26,RB,9,5,92,301,3,19,149,1.6,152,1.7,6,15.3
30,Tyrone Tracy,NYG,25,RB,9,5,89,442,2,20,262,2.9,180,2,6,14.8
31,Jalen Hurts,PHI,26,QB,8,8,86,322,8,36,213,2.5,109,1.3,7,12.3
32,Lamar Jackson,BAL,27,QB,9,9,84,505,2,26,370,4.4,135,1.6,6,14
33,Bucky Irving,TAM,22,RB,9,1,83,419,3,22,222,2.7,197,2.4,7,11.9
34,Jayden Daniels,WAS,24,QB,9,9,82,459,4,29,337,4.1,122,1.5,7,11.7
35,Tyler Allgeier,ATL,24,RB,9,0,74,370,2,24,162,2.2,208,2.8,2,37
36,Zack Moss,CIN,27,RB,8,6,74,242,2,13,166,2.2,76,1,4,18.5
37,Rico Dowdle,DAL,26,RB,7,6,71,321,0,19,199,2.8,122,1.7,4,17.8
38,Devin Singletary,NYG,27,RB,7,4,70,283,2,15,110,1.6,173,2.5,6,11.7
39,Rachaad White,TAM,25,RB,8,8,70,275,1,13,102,1.5,173,2.5,2,35
40,Zach Charbonnet,SEA,23,RB,9,2,61,213,4,13,90,1.5,123,2,5,12.2
41,Ray Davis,BUF,25,RB,9,0,61,262,2,14,126,2.1,136,2.2,2,30.5
