Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
1,Garrett Wilson,NYJ,24,WR,9,9,94,60,663,5,35,397,6.6,266,4.4,9.2,3,20,4,4.3,4,84.7
2,Brock Bowers,LVR,22,TE,9,8,73,57,580,2,28,280,4.9,300,5.3,5.7,4,14.3,2,2.7,4,86.1
3,Ja'Marr Chase,CIN,24,WR,9,9,70,55,717,7,33,369,6.7,348,6.3,8,6,9.2,3,4.3,4,118.9
4,Malik Nabers,NYG,21,WR,7,6,84,55,557,3,31,366,6.7,191,3.5,9.8,2,27.5,6,7.1,0,96.2
5,CeeDee Lamb,DAL,25,WR,8,8,84,53,660,4,27,383,7.2,277,5.2,8.8,6,8.8,3,3.6,4,83.4
6,Travis Kelce,KAN,35,TE,8,8,64,52,435,1,24,265,5.1,170,3.3,6.3,1,52,2,3.1,3,80.7
7,Wan'Dale Robinson,NYG,23,WR,9,4,76,51,343,2,17,152,3,191,3.7,3.9,4,12.8,4,5.3,1,80.1
8,Chris Godwin,TAM,28,WR,7,7,62,50,576,5,33,226,4.5,350,7,5.7,4,12.5,2,3.2,1,125.5
9,Drake London,ATL,23,WR,9,9,70,50,552,6,30,406,8.1,146,2.9,9.9,2,25,3,4.3,2,111.1
10,Jaxon Smith-Njigba,SEA,22,WR,9,9,75,50,568,3,28,324,6.5,244,4.9,9.3,3,16.7,4,5.3,3,85.9
11,Justin Jefferson,MIN,25,WR,8,8,69,48,783,5,33,570,11.9,213,4.4,12.7,0,,3,4.3,1,125.5
12,Amon-Ra St. Brown,DET,25,WR,8,8,59,48,464,6,31,333,6.9,131,2.7,7.4,1,48,2,3.4,1,126.3
13,Stefon Diggs,HOU,31,WR,8,8,64,47,496,3,31,311,6.6,185,3.9,8.7,3,15.7,3,4.7,1,104.7
14,Zay Flowers,BAL,24,WR,9,7,67,46,654,3,30,340,7.4,314,6.8,8.6,4,11.5,2,3,0,114.9
15,Alvin Kamara,NOR,29,RB,9,9,63,46,367,1,12,7,0.2,360,7.8,0.5,1,46,5,7.9,0,92.5
16,Trey McBride,ARI,25,TE,8,8,60,45,481,0,23,302,6.7,179,4,7.4,1,45,1,1.7,0,98
17,Cade Otton,TAM,25,TE,9,9,62,44,421,4,22,211,4.8,210,4.8,5.1,3,14.7,3,4.8,1,104.3
