"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Christian McCaffrey","CAR","rb","13","ARZ","22.6","8700","0","0","0","0","0","0","17.8591","78.9343","0.5189","6.2704","5.1888","42.5594","0.2086","0.1434","0.0717","0.0109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Saquon Barkley","NYG","rb","9","CHI","20.9","8000","0","0","0","0","0","0","17.1562","76.5919","0.6288","5.4076","4.4751","31.4819","0.176","0.1897","0.0948","0.0163","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Austin Ekeler","LAC","rb","8","@HST","20","7700","0","0","0","0","0","0","13.3487","57.2546","0.4614","6.3305","5.3725","39.652","0.2908","0.1743","0.0871","0.0402","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Jonathan Taylor","IND","rb","14","TEN","18.8","8800","0","0","0","0","0","0","17.8031","83.2434","0.6991","3.2594","2.785","19.1156","0.1053","0.1394","0.0697","0.0024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Tyreek Hill","MIA","wr","11","@CIN","21.1","0","0","0","0","0","0","0","1.2907","6.1751","0.0745","9.8183","6.7336","87.9194","0.5759","0.0867","0.0434","0.0095","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Cooper Kupp","LA","wr","7","@SF","20.6","9900","0","0","0","0","0","0","0.5303","2.7932","0.0242","9.6292","7.0882","84.2426","0.6048","0.0856","0.0428","0.0182","9.9331","0.0135","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Justin Jefferson","MIN","wr","7","@NO","20.5","0","0","0","0","0","0","0","0.3097","1.8737","0.0103","9.3226","6.1899","93.241","0.5754","0.0664","0.0332","0.0126","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Leonard Fournette","TB","rb","11","KC","17.4","6800","0","0","0","0","0","0","15.4641","64.2073","0.5791","4.2432","3.5439","26.1608","0.1345","0.0481","0.0241","0.0056","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Stefon Diggs","BUF","wr","7","@BLT","19.5","8400","0","0","0","0","0","0","0.0874","0.4148","0.0025","9.2373","6.6427","81.7541","0.6091","0.0325","0.0162","0.0239","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Jamaal Williams","DET","rb","6","SEA","16.9","6100","0","0","0","0","0","0","17.3816","68.5647","0.5918","3.3871","2.8354","21.5058","0.1494","0.0982","0.0491","0.051","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
