"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Cooper Kupp","LA","wr","7","@ARZ","23.9","9900","0","0","0","0","0","0","0.5214","2.7767","0.016","10.1308","7.9188","96.7862","0.7455","0.1112","0.0556","0.0245","17.0062","0.0182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Dalvin Cook","MIN","rb","7","DET","20.4","7900","0","0","0","0","0","0","18.4349","84.9927","0.7618","3.8011","3.2933","22.221","0.1324","0.2549","0.1274","0.0494","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Justin Jefferson","MIN","wr","7","DET","23.2","9300","0","0","0","0","0","0","0.3107","1.8619","0.0127","9.601","6.6322","102.5537","0.7382","0.0706","0.0353","0.0156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Christian McCaffrey","CAR","rb","13","NO","19.3","8800","0","0","0","0","0","0","15.2427","64.7811","0.4082","5.9899","4.8996","38.9838","0.1687","0.1316","0.0658","0.0072","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Joe Mixon","CIN","rb","10","@NYJ","19.1","7600","0","0","0","0","0","0","18.8234","76.7825","0.6626","3.9851","3.369","23.5939","0.1556","0.1108","0.0554","0.0029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Leonard Fournette","TB","rb","11","GB","18.8","6500","0","0","0","0","0","0","14.5877","61.4441","0.648","5.0233","4.18","30.6088","0.1761","0.0559","0.0279","0.0057","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Jonathan Taylor","IND","rb","14","KC","17.9","9000","0","0","0","0","0","0","16.523","80.2205","0.6493","3.2715","2.7877","18.5305","0.0887","0.135","0.0675","0.0027","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Derrick Henry","TEN","rb","6","LV","17.7","8100","0","0","0","0","0","0","20.8988","88.4874","0.7897","1.9402","1.6196","11.2975","0.052","0.2067","0.1033","0.0298","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Austin Ekeler","LAC","rb","8","JAX","17.4","8000","0","0","0","0","0","0","13.0242","56.1806","0.4898","4.6408","3.9835","30.3043","0.2415","0.1433","0.0716","0.0339","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Saquon Barkley","NYG","rb","9","DAL","17.4","7500","0","0","0","0","0","0","16.7166","69.8825","0.4955","4.512","3.6767","24.7737","0.1253","0.1802","0.0901","0.0133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
