"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Derrick Henry","TEN","rb","6","@WAS","20.7","8200","0","0","0","0","0","0","23.5428","97.0899","0.8653","2.7805","2.2875","16.2453","0.0761","0.2228","0.1114","0.0347","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Justin Jefferson","MIN","wr","7","CHI","22.7","8900","0","0","0","0","0","0","0.3217","1.9102","0.0161","9.512","6.6117","100.6531","0.6989","0.0685","0.0343","0.0133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Dalvin Cook","MIN","rb","7","CHI","20","7300","0","0","0","0","0","0","19.0867","89.2115","0.7937","3.149","2.7306","18.4473","0.1066","0.2735","0.1367","0.0432","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Cooper Kupp","LA","wr","7","DAL","22","9600","0","0","0","0","0","0","0.5424","2.8404","0.0261","9.6978","7.4554","89.123","0.6563","0.0959","0.048","0.0172","13.0599","0.0161","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Christian McCaffrey","CAR","rb","13","SF","19.1","8500","0","0","0","0","0","0","14.0712","58.0939","0.3535","6.6823","5.4101","41.8051","0.1867","0.1208","0.0604","0.0085","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Austin Ekeler","LAC","rb","8","@CLV","18.8","7800","0","0","0","0","0","0","12.6542","56.1802","0.463","6.2421","5.1715","36.0691","0.2099","0.1888","0.0944","0.0371","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Tyreek Hill","MIA","wr","11","@NYJ","20.8","8000","0","0","0","0","0","0","1.39","6.6372","0.0932","9.1536","6.329","83.2744","0.6664","0.0808","0.0404","0.0072","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Leonard Fournette","TB","rb","11","ATL","17.6","6900","0","0","0","0","0","0","15.8805","66.9242","0.761","3.4163","2.8575","21.0301","0.1323","0.0425","0.0213","0.0044","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Saquon Barkley","NYG","rb","9","@GB","17.6","0","0","0","0","0","0","0","14.8616","64.1113","0.4829","5.3315","4.3421","27.4289","0.1294","0.1648","0.0824","0.0231","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Alvin Kamara","NO","rb","14","SEA","17.5","6600","0","0","0","0","0","0","13.8466","58.3241","0.6058","4.2898","3.5382","28.4686","0.2056","0.0949","0.0475","0.0014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Josh Allen","BUF","qb","7","PIT","27.3","8200","23.9947","35.659","277.443","2.1771","0.762","1.7665","9.1924","42.0781","0.4786","0","0","0","0","0.7016","0.3508","0.0631","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Deebo Samuel","SF","wr","9","@CAR","18.9","7700","0","0","0","0","0","0","4.5782","28.9108","0.2626","6.9629","4.9344","66.0212","0.4058","0.1276","0.0638","0.0075","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Stefon Diggs","BUF","wr","7","PIT","18.7","8400","0","0","0","0","0","0","0.1001","0.471","0.0037","8.7131","6.2955","77.694","0.6244","0.0304","0.0152","0.018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Travis Kelce","KC","te","8","LV","16.9","7700","0","0","0","0","0","0","0.1438","0.6092","0.0102","7.6204","5.6225","71.1354","0.5658","0.0499","0.025","0.0202","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Chris Olave","NO","wr","14","SEA","18.5","5700","0","0","0","0","0","0","0.0515","0.3291","0.0022","8.7057","5.7545","83.0319","0.5656","0.0741","0.037","0.0307","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Jalen Hurts","PHI","qb","7","@ARZ","26.7","8100","21.7992","33.8923","275.8686","1.7608","0.6432","2.1185","10.099","49.1764","0.5475","0","0","0","0","0.9219","0.461","0.0501","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","A.J. Brown","PHI","wr","7","@ARZ","18.4","7500","0","0","0","0","0","0","0.1209","0.813","0.0049","8.3936","5.5811","83.4762","0.5689","0.0306","0.0153","0.0057","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Ja'Marr Chase","CIN","wr","10","@BLT","18.4","7900","0","0","0","0","0","0","0.3642","2.204","0.0105","8.0597","5.5156","83.4784","0.5515","0.0875","0.0437","0.0113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Mike Evans","TB","wr","11","ATL","18.1","6900","0","0","0","0","0","0","0.0253","0.1184","0.0013","8.1324","5.3485","75.7537","0.7341","0.0251","0.0125","0.0099","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Joe Mixon","CIN","rb","10","@BLT","15.5","7100","0","0","0","0","0","0","16.3432","60.9523","0.4058","4.0129","3.3957","23.5192","0.1366","0.0964","0.0482","0.0029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Brandin Cooks","HST","wr","6","@JAX","17.4","6100","0","0","0","0","0","0","0.1091","0.4795","0.0048","9.2799","6.1416","78.2753","0.4248","0.0309","0.0155","0.0097","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Davante Adams","LV","wr","6","@KC","17.3","8500","0","0","0","0","0","0","0.1696","0.7886","0.0058","9.3422","6.5098","72.3867","0.4585","0.0331","0.0165","0.0061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Nyheim Hines","IND","rb","14","@DEN","14.9","0","0","0","0","0","0","0","11.704","50.4715","0.3665","4.6467","3.7293","27.486","0.1377","0.1301","0.065","0.0214","22.0198","0.0204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","D'Andre Swift","DET","rb","6","@NE","14.6","7000","0","0","0","0","0","0","13.5611","58.6115","0.489","3.5889","2.9344","19.2918","0.1003","0.1179","0.059","0.0055","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","Aaron Jones","GB","rb","14","NYG","14.4","0","0","0","0","0","0","0","11.3788","54.919","0.4561","3.3165","2.8063","21.7521","0.157","0.1345","0.0672","0.0027","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","D.K. Metcalf","SEA","wr","11","@NO","16.4","6800","0","0","0","0","0","0","0.0438","0.2524","0.0014","8.2274","5.2262","75.8508","0.4684","0.0742","0.0371","0.0066","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","Jaylen Waddle","MIA","wr","11","@NYJ","16.2","6700","0","0","0","0","0","0","0.556","3.3647","0.0285","8.3478","5.8608","63.7234","0.457","0.1257","0.0629","0.015","52.7876","0.0526","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","Nick Chubb","CLV","rb","9","LAC","13.9","8000","0","0","0","0","0","0","13.5666","69.1771","0.5559","1.8811","1.567","11.6871","0.0563","0.0626","0.0313","0.0018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","Antonio Gibson","WAS","rb","14","TEN","13.9","5900","0","0","0","0","0","0","13.7723","56.1178","0.4703","3.3091","2.7316","18.7988","0.0878","0.2023","0.1011","0.0247","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","Mark Andrews","BLT","te","10","CIN","14.3","6900","0","0","0","0","0","0","0.0521","0.2842","0.0021","7.6406","5.1798","63.5046","0.3829","0.074","0.037","0.0277","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","Tyler Lockett","SEA","wr","11","@NO","16","5600","0","0","0","0","0","0","0.1094","0.5567","0.0037","7.774","5.6799","72.9025","0.3723","0.0429","0.0214","0.0224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","Tom Brady","TB","qb","11","ATL","24.2","6000","26.4661","38.7027","304.8055","2.5543","0.5525","1.1585","1.8308","1.3837","0.1052","0","0","0","0","0.3225","0.1612","0.0706","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","DeVonta Smith","PHI","wr","7","@ARZ","15.8","6000","0","0","0","0","0","0","0.0967","0.6017","0.0031","7.5763","5.0263","73.0412","0.4528","0.0546","0.0273","0.0163","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","Jeff Wilson Jr.","SF","rb","9","@CAR","13.4","5500","0","0","0","0","0","0","17.8171","70.5299","0.6017","1.2982","1.0345","8.1748","0.0635","0.1794","0.0897","0.006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","Aaron Rodgers","GB","qb","14","NYG","23.9","0","25.3402","35.4969","294.0236","2.2759","0.3606","1.8391","3.4322","6.3041","0.2191","0","0","0","0","0.2878","0.1439","0.0828","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","Patrick Mahomes","KC","qb","8","LV","23.9","7900","24.5985","37.0994","278.8765","2.1697","0.5129","1.6132","5.5982","20.9641","0.2173","0","0","0","0","0.53","0.265","0.0783","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","Devin Singletary","BUF","rb","7","PIT","13.3","6100","0","0","0","0","0","0","12.8425","56.4092","0.376","3.0732","2.5864","19.2809","0.1059","0.1681","0.084","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","Mike Williams","LAC","wr","8","@CLV","15.4","7100","0","0","0","0","0","0","0","0","0","8.1434","4.839","72.9877","0.4313","0.0259","0.0129","0.0168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","Chris Godwin","TB","wr","11","ATL","15.2","5900","0","0","0","0","0","0","0.0253","0.1377","0.0014","7.204","5.4811","63.5418","0.4849","0.074","0.037","0.0116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","Marquise Brown","ARZ","wr","13","PHI","15.2","7200","0","0","0","0","0","0","0.0467","0.2692","0.0019","8.0563","5.5737","66.1145","0.412","0.0592","0.0296","0.0062","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","Kyle Pitts","ATL","te","14","@TB","13.4","4400","0","0","0","0","0","0","0.2571","1.5799","0.0076","7.493","4.5652","67.9533","0.2213","0.0479","0.024","0.0132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","Melvin Gordon III","DEN","rb","9","IND","12.7","0","0","0","0","0","0","0","12.2298","50.1275","0.43","3.0197","2.5011","17.7858","0.1115","0.2615","0.1308","0.0029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","A.J. Dillon","GB","rb","14","NYG","12.7","0","0","0","0","0","0","0","10.8548","47.3745","0.3803","3.012","2.5634","21.3673","0.1326","0.1059","0.053","0.0077","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","J.K. Dobbins","BLT","rb","10","CIN","12.6","5600","0","0","0","0","0","0","11.9553","54.8194","0.527","2.2595","1.8364","14.0954","0.0683","0.1172","0.0586","0.0279","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","CeeDee Lamb","DAL","wr","9","@LA","14.8","7000","0","0","0","0","0","0","0.4546","2.8054","0.019","7.9777","5.0624","65.9752","0.3571","0.0677","0.0338","0.0081","9.2759","0.0118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","Drake London","ATL","wr","14","@TB","14.7","5900","0","0","0","0","0","0","0","0","0","8.998","5.5571","66.9792","0.3157","0.0533","0.0267","0.03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
