CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,RB,Saquon Barkley (24308224),Saquon Barkley,24308224,CPT,17700,DAL@NYG 09/26/2022 09:45PM ET,NYG,24.1
,,,,,,,WR,CeeDee Lamb (24308225),CeeDee Lamb,24308225,CPT,15300,DAL@NYG 09/26/2022 09:45PM ET,DAL,10
,,,,,,,QB,Cooper Rush (24308226),Cooper Rush,24308226,CPT,14400,DAL@NYG 09/26/2022 09:45PM ET,DAL,8.08
,,,,,,,QB,Daniel Jones (24308227),Daniel Jones,24308227,CPT,14100,DAL@NYG 09/26/2022 09:45PM ET,NYG,15.58
,,,,,,,RB,Ezekiel Elliott (24308228),Ezekiel Elliott,24308228,CPT,12600,DAL@NYG 09/26/2022 09:45PM ET,DAL,5.9
,,,,,,,RB,Tony Pollard (24308229),Tony Pollard,24308229,CPT,12300,DAL@NYG 09/26/2022 09:45PM ET,DAL,12
,,,,,,,RB,Saquon Barkley (24308273),Saquon Barkley,24308273,FLEX,11800,DAL@NYG 09/26/2022 09:45PM ET,NYG,24.1
,,,,,,,WR,Sterling Shepard (24308230),Sterling Shepard,24308230,CPT,11400,DAL@NYG 09/26/2022 09:45PM ET,NYG,12.25
,,,,,,,WR,Michael Gallup (24308231),Michael Gallup,24308231,CPT,11100,DAL@NYG 09/26/2022 09:45PM ET,DAL,0
,,,,,,,WR,CeeDee Lamb (24308274),CeeDee Lamb,24308274,FLEX,10200,DAL@NYG 09/26/2022 09:45PM ET,DAL,10
,,,,,,,WR,Noah Brown (24308232),Noah Brown,24308232,CPT,10200,DAL@NYG 09/26/2022 09:45PM ET,DAL,15.95
,,,,,,,QB,Cooper Rush (24308275),Cooper Rush,24308275,FLEX,9600,DAL@NYG 09/26/2022 09:45PM ET,DAL,8.08
,,,,,,,TE,Dalton Schultz (24308233),Dalton Schultz,24308233,CPT,9600,DAL@NYG 09/26/2022 09:45PM ET,DAL,8
,,,,,,,QB,Daniel Jones (24308276),Daniel Jones,24308276,FLEX,9400,DAL@NYG 09/26/2022 09:45PM ET,NYG,15.58
,,,,,,,WR,Kenny Golladay (24308234),Kenny Golladay,24308234,CPT,9300,DAL@NYG 09/26/2022 09:45PM ET,NYG,2.1
,,,,,,,QB,Tyrod Taylor (24308235),Tyrod Taylor,24308235,CPT,9000,DAL@NYG 09/26/2022 09:45PM ET,NYG,0
,,,,,,,QB,Will Grier (24308236),Will Grier,24308236,CPT,9000,DAL@NYG 09/26/2022 09:45PM ET,DAL,0
,,,,,,,QB,Dak Prescott (24308237),Dak Prescott,24308237,CPT,9000,DAL@NYG 09/26/2022 09:45PM ET,DAL,5.46
,,,,,,,QB,Davis Webb (24308238),Davis Webb,24308238,CPT,9000,DAL@NYG 09/26/2022 09:45PM ET,NYG,0
,,,,,,,RB,Ezekiel Elliott (24308277),Ezekiel Elliott,24308277,FLEX,8400,DAL@NYG 09/26/2022 09:45PM ET,DAL,5.9
,,,,,,,RB,Tony Pollard (24308278),Tony Pollard,24308278,FLEX,8200,DAL@NYG 09/26/2022 09:45PM ET,DAL,12
,,,,,,,WR,Richie James Jr. (24308239),Richie James Jr.,24308239,CPT,8100,DAL@NYG 09/26/2022 09:45PM ET,NYG,10.6
,,,,,,,WR,Sterling Shepard (24308279),Sterling Shepard,24308279,FLEX,7600,DAL@NYG 09/26/2022 09:45PM ET,NYG,12.25
,,,,,,,WR,David Sills V (24308240),David Sills V,24308240,CPT,7500,DAL@NYG 09/26/2022 09:45PM ET,NYG,3.35
,,,,,,,WR,Michael Gallup (24308280),Michael Gallup,24308280,FLEX,7400,DAL@NYG 09/26/2022 09:45PM ET,DAL,0
,,,,,,,DST,Cowboys  (24308241),Cowboys ,24308241,CPT,6900,DAL@NYG 09/26/2022 09:45PM ET,DAL,6
,,,,,,,WR,Noah Brown (24308281),Noah Brown,24308281,FLEX,6800,DAL@NYG 09/26/2022 09:45PM ET,DAL,15.95
,,,,,,,TE,Daniel Bellinger (24308242),Daniel Bellinger,24308242,CPT,6600,DAL@NYG 09/26/2022 09:45PM ET,NYG,4.3
,,,,,,,TE,Dalton Schultz (24308282),Dalton Schultz,24308282,FLEX,6400,DAL@NYG 09/26/2022 09:45PM ET,DAL,8
,,,,,,,K,Brett Maher (24308243),Brett Maher,24308243,CPT,6300,DAL@NYG 09/26/2022 09:45PM ET,DAL,8.5
,,,,,,,WR,Kenny Golladay (24308283),Kenny Golladay,24308283,FLEX,6200,DAL@NYG 09/26/2022 09:45PM ET,NYG,2.1
,,,,,,,QB,Tyrod Taylor (24308284),Tyrod Taylor,24308284,FLEX,6000,DAL@NYG 09/26/2022 09:45PM ET,NYG,0
,,,,,,,QB,Will Grier (24308286),Will Grier,24308286,FLEX,6000,DAL@NYG 09/26/2022 09:45PM ET,DAL,0
,,,,,,,QB,Dak Prescott (24308285),Dak Prescott,24308285,FLEX,6000,DAL@NYG 09/26/2022 09:45PM ET,DAL,5.46
,,,,,,,QB,Davis Webb (24308287),Davis Webb,24308287,FLEX,6000,DAL@NYG 09/26/2022 09:45PM ET,NYG,0
,,,,,,,K,Graham Gano (24308244),Graham Gano,24308244,CPT,6000,DAL@NYG 09/26/2022 09:45PM ET,NYG,9
,,,,,,,DST,Giants  (24308245),Giants ,24308245,CPT,5700,DAL@NYG 09/26/2022 09:45PM ET,NYG,5.5
,,,,,,,WR,Richie James Jr. (24308288),Richie James Jr.,24308288,FLEX,5400,DAL@NYG 09/26/2022 09:45PM ET,NYG,10.6
,,,,,,,WR,David Sills V (24308289),David Sills V,24308289,FLEX,5000,DAL@NYG 09/26/2022 09:45PM ET,NYG,3.35
,,,,,,,DST,Cowboys  (24308290),Cowboys ,24308290,FLEX,4600,DAL@NYG 09/26/2022 09:45PM ET,DAL,6
,,,,,,,WR,Kadarius Toney (24308246),Kadarius Toney,24308246,CPT,4500,DAL@NYG 09/26/2022 09:45PM ET,NYG,2.15
,,,,,,,TE,Daniel Bellinger (24308291),Daniel Bellinger,24308291,FLEX,4400,DAL@NYG 09/26/2022 09:45PM ET,NYG,4.3
,,,,,,,K,Brett Maher (24308292),Brett Maher,24308292,FLEX,4200,DAL@NYG 09/26/2022 09:45PM ET,DAL,8.5
,,,,,,,RB,Gary Brightwell (24308247),Gary Brightwell,24308247,CPT,4200,DAL@NYG 09/26/2022 09:45PM ET,NYG,0.7
,,,,,,,K,Graham Gano (24308293),Graham Gano,24308293,FLEX,4000,DAL@NYG 09/26/2022 09:45PM ET,NYG,9
,,,,,,,DST,Giants  (24308294),Giants ,24308294,FLEX,3800,DAL@NYG 09/26/2022 09:45PM ET,NYG,5.5
,,,,,,,WR,Simi Fehoko (24308248),Simi Fehoko,24308248,CPT,3600,DAL@NYG 09/26/2022 09:45PM ET,DAL,1.6
,,,,,,,WR,Kadarius Toney (24308295),Kadarius Toney,24308295,FLEX,3000,DAL@NYG 09/26/2022 09:45PM ET,NYG,2.15
