CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,QB,Lamar Jackson (24641468),Lamar Jackson,24641468,CPT,18300,CIN@BAL 10/09/2022 09:50PM ET,BAL,32.08
,,,,,,,WR,Ja'Marr Chase (24641469),Ja'Marr Chase,24641469,CPT,16500,CIN@BAL 10/09/2022 09:50PM ET,CIN,17.12
,,,,,,,QB,Joe Burrow (24641470),Joe Burrow,24641470,CPT,15900,CIN@BAL 10/09/2022 09:50PM ET,CIN,21.46
,,,,,,,TE,Mark Andrews (24641471),Mark Andrews,24641471,CPT,14400,CIN@BAL 10/09/2022 09:50PM ET,BAL,17.82
,,,,,,,RB,Joe Mixon (24641472),Joe Mixon,24641472,CPT,13200,CIN@BAL 10/09/2022 09:50PM ET,CIN,14.25
,,,,,,,WR,Tee Higgins (24641473),Tee Higgins,24641473,CPT,12300,CIN@BAL 10/09/2022 09:50PM ET,CIN,16.62
,,,,,,,QB,Lamar Jackson (24641521),Lamar Jackson,24641521,FLEX,12200,CIN@BAL 10/09/2022 09:50PM ET,BAL,32.08
,,,,,,,WR,Ja'Marr Chase (24641522),Ja'Marr Chase,24641522,FLEX,11000,CIN@BAL 10/09/2022 09:50PM ET,CIN,17.12
,,,,,,,QB,Joe Burrow (24641523),Joe Burrow,24641523,FLEX,10600,CIN@BAL 10/09/2022 09:50PM ET,CIN,21.46
,,,,,,,RB,J.K. Dobbins (24641474),J.K. Dobbins,24641474,CPT,10500,CIN@BAL 10/09/2022 09:50PM ET,BAL,14.15
,,,,,,,TE,Mark Andrews (24641524),Mark Andrews,24641524,FLEX,9600,CIN@BAL 10/09/2022 09:50PM ET,BAL,17.82
,,,,,,,WR,Rashod Bateman (24641475),Rashod Bateman,24641475,CPT,9600,CIN@BAL 10/09/2022 09:50PM ET,BAL,12.32
,,,,,,,WR,Tyler Boyd (24641476),Tyler Boyd,24641476,CPT,9300,CIN@BAL 10/09/2022 09:50PM ET,CIN,12.53
,,,,,,,QB,Tyler Huntley (24641477),Tyler Huntley,24641477,CPT,9000,CIN@BAL 10/09/2022 09:50PM ET,BAL,0
,,,,,,,QB,Brandon Allen (24641478),Brandon Allen,24641478,CPT,9000,CIN@BAL 10/09/2022 09:50PM ET,CIN,0
,,,,,,,QB,Jake Browning (24641479),Jake Browning,24641479,CPT,9000,CIN@BAL 10/09/2022 09:50PM ET,CIN,0
,,,,,,,QB,Anthony Brown (24641480),Anthony Brown,24641480,CPT,9000,CIN@BAL 10/09/2022 09:50PM ET,BAL,0
,,,,,,,RB,Joe Mixon (24641525),Joe Mixon,24641525,FLEX,8800,CIN@BAL 10/09/2022 09:50PM ET,CIN,14.25
,,,,,,,WR,Devin Duvernay (24641481),Devin Duvernay,24641481,CPT,8400,CIN@BAL 10/09/2022 09:50PM ET,BAL,13.25
,,,,,,,WR,Tee Higgins (24641526),Tee Higgins,24641526,FLEX,8200,CIN@BAL 10/09/2022 09:50PM ET,CIN,16.62
,,,,,,,RB,Samaje Perine (24641482),Samaje Perine,24641482,CPT,7500,CIN@BAL 10/09/2022 09:50PM ET,CIN,5.7
,,,,,,,RB,Justice Hill (24641483),Justice Hill,24641483,CPT,7200,CIN@BAL 10/09/2022 09:50PM ET,BAL,4.6
,,,,,,,RB,J.K. Dobbins (24641527),J.K. Dobbins,24641527,FLEX,7000,CIN@BAL 10/09/2022 09:50PM ET,BAL,14.15
,,,,,,,TE,Hayden Hurst (24641484),Hayden Hurst,24641484,CPT,6900,CIN@BAL 10/09/2022 09:50PM ET,CIN,7.6
,,,,,,,RB,Mike Davis (24641485),Mike Davis,24641485,CPT,6600,CIN@BAL 10/09/2022 09:50PM ET,BAL,0.38
,,,,,,,WR,Rashod Bateman (24641528),Rashod Bateman,24641528,FLEX,6400,CIN@BAL 10/09/2022 09:50PM ET,BAL,12.32
,,,,,,,DST,Ravens  (24641486),Ravens ,24641486,CPT,6300,CIN@BAL 10/09/2022 09:50PM ET,BAL,8.5
,,,,,,,WR,Tyler Boyd (24641529),Tyler Boyd,24641529,FLEX,6200,CIN@BAL 10/09/2022 09:50PM ET,CIN,12.53
,,,,,,,QB,Tyler Huntley (24641531),Tyler Huntley,24641531,FLEX,6000,CIN@BAL 10/09/2022 09:50PM ET,BAL,0
,,,,,,,QB,Brandon Allen (24641533),Brandon Allen,24641533,FLEX,6000,CIN@BAL 10/09/2022 09:50PM ET,CIN,0
,,,,,,,QB,Jake Browning (24641532),Jake Browning,24641532,FLEX,6000,CIN@BAL 10/09/2022 09:50PM ET,CIN,0
,,,,,,,QB,Anthony Brown (24641530),Anthony Brown,24641530,FLEX,6000,CIN@BAL 10/09/2022 09:50PM ET,BAL,0
,,,,,,,K,Justin Tucker (24641487),Justin Tucker,24641487,CPT,6000,CIN@BAL 10/09/2022 09:50PM ET,BAL,9
,,,,,,,K,Evan McPherson (24641488),Evan McPherson,24641488,CPT,5700,CIN@BAL 10/09/2022 09:50PM ET,CIN,10.5
,,,,,,,WR,Devin Duvernay (24641534),Devin Duvernay,24641534,FLEX,5600,CIN@BAL 10/09/2022 09:50PM ET,BAL,13.25
,,,,,,,DST,Bengals  (24641489),Bengals ,24641489,CPT,5400,CIN@BAL 10/09/2022 09:50PM ET,CIN,7.5
,,,,,,,RB,Samaje Perine (24641535),Samaje Perine,24641535,FLEX,5000,CIN@BAL 10/09/2022 09:50PM ET,CIN,5.7
,,,,,,,RB,Justice Hill (24641536),Justice Hill,24641536,FLEX,4800,CIN@BAL 10/09/2022 09:50PM ET,BAL,4.6
,,,,,,,TE,Hayden Hurst (24641537),Hayden Hurst,24641537,FLEX,4600,CIN@BAL 10/09/2022 09:50PM ET,CIN,7.6
,,,,,,,RB,Mike Davis (24641538),Mike Davis,24641538,FLEX,4400,CIN@BAL 10/09/2022 09:50PM ET,BAL,0.38
,,,,,,,DST,Ravens  (24641539),Ravens ,24641539,FLEX,4200,CIN@BAL 10/09/2022 09:50PM ET,BAL,8.5
,,,,,,,WR,Demarcus Robinson (24641490),Demarcus Robinson,24641490,CPT,4200,CIN@BAL 10/09/2022 09:50PM ET,BAL,3.78
,,,,,,,K,Justin Tucker (24641540),Justin Tucker,24641540,FLEX,4000,CIN@BAL 10/09/2022 09:50PM ET,BAL,9
,,,,,,,K,Evan McPherson (24641541),Evan McPherson,24641541,FLEX,3800,CIN@BAL 10/09/2022 09:50PM ET,CIN,10.5
,,,,,,,DST,Bengals  (24641542),Bengals ,24641542,FLEX,3600,CIN@BAL 10/09/2022 09:50PM ET,CIN,7.5
,,,,,,,TE,Nick Boyle (24641491),Nick Boyle,24641491,CPT,3300,CIN@BAL 10/09/2022 09:50PM ET,BAL,0
,,,,,,,WR,Demarcus Robinson (24641543),Demarcus Robinson,24641543,FLEX,2800,CIN@BAL 10/09/2022 09:50PM ET,BAL,3.78
,,,,,,,TE,Nick Boyle (24641544),Nick Boyle,24641544,FLEX,2200,CIN@BAL 10/09/2022 09:50PM ET,BAL,0
,,,,,,,TE,Isaiah Likely (24641492),Isaiah Likely,24641492,CPT,2100,CIN@BAL 10/09/2022 09:50PM ET,BAL,2.52
,,,,,,,RB,Kenyan Drake (24641493),Kenyan Drake,24641493,CPT,1500,CIN@BAL 10/09/2022 09:50PM ET,BAL,3.2
,,,,,,,TE,Isaiah Likely (24641545),Isaiah Likely,24641545,FLEX,1400,CIN@BAL 10/09/2022 09:50PM ET,BAL,2.52
,,,,,,,RB,Kenyan Drake (24641546),Kenyan Drake,24641546,FLEX,1000,CIN@BAL 10/09/2022 09:50PM ET,BAL,3.2
,,,,,,,RB,Patrick Ricard (24641494),Patrick Ricard,24641494,CPT,900,CIN@BAL 10/09/2022 09:50PM ET,BAL,2.35
,,,,,,,RB,Patrick Ricard (24641547),Patrick Ricard,24641547,FLEX,600,CIN@BAL 10/09/2022 09:50PM ET,BAL,2.35
,,,,,,,RB,Chris Evans (24641495),Chris Evans,24641495,CPT,300,CIN@BAL 10/09/2022 09:50PM ET,CIN,0.35
,,,,,,,RB,Elijah Holyfield (24641496),Elijah Holyfield,24641496,CPT,300,CIN@BAL 10/09/2022 09:50PM ET,CIN,0
,,,,,,,WR,Bailey Gaither (24641497),Bailey Gaither,24641497,CPT,300,CIN@BAL 10/09/2022 09:50PM ET,BAL,0
,,,,,,,TE,Nick Bowers (24641498),Nick Bowers,24641498,CPT,300,CIN@BAL 10/09/2022 09:50PM ET,CIN,0
,,,,,,,WR,Binjimen Victor (24641499),Binjimen Victor,24641499,CPT,300,CIN@BAL 10/09/2022 09:50PM ET,BAL,0
,,,,,,,TE,Cal Adomitis (24641500),Cal Adomitis,24641500,CPT,300,CIN@BAL 10/09/2022 09:50PM ET,CIN,0
,,,,,,,WR,Trenton Irwin (24641501),Trenton Irwin,24641501,CPT,300,CIN@BAL 10/09/2022 09:50PM ET,CIN,0
,,,,,,,RB,Ben Mason (24641502),Ben Mason,24641502,CPT,300,CIN@BAL 10/09/2022 09:50PM ET,BAL,0
,,,,,,,TE,Clark Harris (24641503),Clark Harris,24641503,CPT,300,CIN@BAL 10/09/2022 09:50PM ET,CIN,0
,,,,,,,WR,Trent Taylor (24641504),Trent Taylor,24641504,CPT,300,CIN@BAL 10/09/2022 09:50PM ET,CIN,0
,,,,,,,TE,Josh Oliver (24641505),Josh Oliver,24641505,CPT,300,CIN@BAL 10/09/2022 09:50PM ET,BAL,2.2
,,,,,,,WR,Kwamie Lassiter II (24641506),Kwamie Lassiter II,24641506,CPT,300,CIN@BAL 10/09/2022 09:50PM ET,CIN,0
,,,,,,,TE,Mitchell Wilcox (24641507),Mitchell Wilcox,24641507,CPT,300,CIN@BAL 10/09/2022 09:50PM ET,CIN,1.5
