QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,WR,Justin Jefferson (26079032),Justin Jefferson,26079032,WR/FLEX,9500,MIN@GB 01/01/2023 04:25PM ET,MIN,25.89
,,,,,,,,,,RB,Christian McCaffrey (26078726),Christian McCaffrey,26078726,RB/FLEX,9000,SF@LV 01/01/2023 04:05PM ET,SF,21.34
,,,,,,,,,,WR,Tyreek Hill (26079034),Tyreek Hill,26079034,WR/FLEX,8900,MIA@NE 01/01/2023 01:00PM ET,MIA,23.21
,,,,,,,,,,QB,Patrick Mahomes (26078634),Patrick Mahomes,26078634,QB,8500,DEN@KC 01/01/2023 01:00PM ET,KC,27.66
,,,,,,,,,,WR,Davante Adams (26079036),Davante Adams,26079036,WR/FLEX,8500,SF@LV 01/01/2023 04:05PM ET,LV,20.66
,,,,,,,,,,RB,Austin Ekeler (26078728),Austin Ekeler,26078728,RB/FLEX,8500,LAR@LAC 01/01/2023 04:25PM ET,LAC,22.44
,,,,,,,,,,QB,Jalen Hurts (26078635),Jalen Hurts,26078635,QB,8300,NO@PHI 01/01/2023 01:00PM ET,PHI,27.97
,,,,,,,,,,TE,Travis Kelce (26079544),Travis Kelce,26079544,TE/FLEX,8100,DEN@KC 01/01/2023 01:00PM ET,KC,20.95
,,,,,,,,,,RB,Saquon Barkley (26078730),Saquon Barkley,26078730,RB/FLEX,8000,IND@NYG 01/01/2023 01:00PM ET,NYG,19.25
,,,,,,,,,,QB,Justin Fields (26078636),Justin Fields,26078636,QB,7900,CHI@DET 01/01/2023 01:00PM ET,CHI,21.20
,,,,,,,,,,WR,A.J. Brown (26079038),A.J. Brown,26079038,WR/FLEX,7900,NO@PHI 01/01/2023 01:00PM ET,PHI,18.89
,,,,,,,,,,WR,Amon-Ra St. Brown (26079040),Amon-Ra St. Brown,26079040,WR/FLEX,7800,CHI@DET 01/01/2023 01:00PM ET,DET,18.46
,,,,,,,,,,WR,DeAndre Hopkins (26079042),DeAndre Hopkins,26079042,WR/FLEX,7700,ARI@ATL 01/01/2023 01:00PM ET,ARI,17.63
,,,,,,,,,,WR,Jaylen Waddle (26079044),Jaylen Waddle,26079044,WR/FLEX,7500,MIA@NE 01/01/2023 01:00PM ET,MIA,17.31
,,,,,,,,,,RB,Josh Jacobs (26078732),Josh Jacobs,26078732,RB/FLEX,7400,SF@LV 01/01/2023 04:05PM ET,LV,21.39
,,,,,,,,,,RB,Nick Chubb (26078734),Nick Chubb,26078734,RB/FLEX,7300,CLE@WAS 01/01/2023 01:00PM ET,CLE,17.64
