CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,WR,Tyreek Hill (25778088),Tyreek Hill,25778088,CPT,17100,MIA@LAC 12/11/2022 09:50PM ET,MIA,23.74
,,,,,,,RB,Austin Ekeler (25778089),Austin Ekeler,25778089,CPT,16500,MIA@LAC 12/11/2022 09:50PM ET,LAC,22.78
,,,,,,,QB,Justin Herbert (25778090),Justin Herbert,25778090,CPT,16200,MIA@LAC 12/11/2022 09:50PM ET,LAC,19.17
,,,,,,,QB,Tua Tagovailoa (25778091),Tua Tagovailoa,25778091,CPT,15600,MIA@LAC 12/11/2022 09:50PM ET,MIA,20.49
,,,,,,,QB,Teddy Bridgewater (25778092),Teddy Bridgewater,25778092,CPT,14400,MIA@LAC 12/11/2022 09:50PM ET,MIA,8.74
,,,,,,,WR,Jaylen Waddle (25778093),Jaylen Waddle,25778093,CPT,13500,MIA@LAC 12/11/2022 09:50PM ET,MIA,16.91
,,,,,,,WR,Keenan Allen (25778094),Keenan Allen,25778094,CPT,12300,MIA@LAC 12/11/2022 09:50PM ET,LAC,12.76
,,,,,,,WR,Tyreek Hill (25778143),Tyreek Hill,25778143,FLEX,11400,MIA@LAC 12/11/2022 09:50PM ET,MIA,23.74
,,,,,,,RB,Austin Ekeler (25778144),Austin Ekeler,25778144,FLEX,11000,MIA@LAC 12/11/2022 09:50PM ET,LAC,22.78
,,,,,,,QB,Justin Herbert (25778145),Justin Herbert,25778145,FLEX,10800,MIA@LAC 12/11/2022 09:50PM ET,LAC,19.17
,,,,,,,WR,Mike Williams (25778095),Mike Williams,25778095,CPT,10500,MIA@LAC 12/11/2022 09:50PM ET,LAC,14.5
,,,,,,,QB,Tua Tagovailoa (25778146),Tua Tagovailoa,25778146,FLEX,10400,MIA@LAC 12/11/2022 09:50PM ET,MIA,20.49
,,,,,,,WR,Joshua Palmer (25778096),Joshua Palmer,25778096,CPT,10200,MIA@LAC 12/11/2022 09:50PM ET,LAC,12.96
,,,,,,,QB,Teddy Bridgewater (25778147),Teddy Bridgewater,25778147,FLEX,9600,MIA@LAC 12/11/2022 09:50PM ET,MIA,8.74
,,,,,,,RB,Jeff Wilson Jr. (25778097),Jeff Wilson Jr.,25778097,CPT,9300,MIA@LAC 12/11/2022 09:50PM ET,MIA,11.08
,,,,,,,WR,Jaylen Waddle (25778148),Jaylen Waddle,25778148,FLEX,9000,MIA@LAC 12/11/2022 09:50PM ET,MIA,16.91
,,,,,,,QB,Skylar Thompson (25778098),Skylar Thompson,25778098,CPT,9000,MIA@LAC 12/11/2022 09:50PM ET,MIA,1.70
,,,,,,,QB,Easton Stick (25778099),Easton Stick,25778099,CPT,9000,MIA@LAC 12/11/2022 09:50PM ET,LAC,0
,,,,,,,QB,Chase Daniel (25778100),Chase Daniel,25778100,CPT,9000,MIA@LAC 12/11/2022 09:50PM ET,LAC,0
,,,,,,,RB,Raheem Mostert (25778101),Raheem Mostert,25778101,CPT,8400,MIA@LAC 12/11/2022 09:50PM ET,MIA,10.29
,,,,,,,WR,Keenan Allen (25778149),Keenan Allen,25778149,FLEX,8200,MIA@LAC 12/11/2022 09:50PM ET,LAC,12.76
,,,,,,,RB,Joshua Kelley (25778102),Joshua Kelley,25778102,CPT,8100,MIA@LAC 12/11/2022 09:50PM ET,LAC,4.5
,,,,,,,TE,Gerald Everett (25778103),Gerald Everett,25778103,CPT,7500,MIA@LAC 12/11/2022 09:50PM ET,LAC,9.38
,,,,,,,WR,DeAndre Carter (25778104),DeAndre Carter,25778104,CPT,7200,MIA@LAC 12/11/2022 09:50PM ET,LAC,8.51
,,,,,,,WR,Mike Williams (25778150),Mike Williams,25778150,FLEX,7000,MIA@LAC 12/11/2022 09:50PM ET,LAC,14.5
,,,,,,,WR,Trent Sherfield (25778105),Trent Sherfield,25778105,CPT,6900,MIA@LAC 12/11/2022 09:50PM ET,MIA,6.04
,,,,,,,WR,Joshua Palmer (25778151),Joshua Palmer,25778151,FLEX,6800,MIA@LAC 12/11/2022 09:50PM ET,LAC,12.96
,,,,,,,TE,Mike Gesicki (25778106),Mike Gesicki,25778106,CPT,6600,MIA@LAC 12/11/2022 09:50PM ET,MIA,6.24
,,,,,,,K,Dustin Hopkins (25778107),Dustin Hopkins,25778107,CPT,6300,MIA@LAC 12/11/2022 09:50PM ET,LAC,8
,,,,,,,K,Cameron Dicker (25778108),Cameron Dicker,25778108,CPT,6300,MIA@LAC 12/11/2022 09:50PM ET,LAC,8.67
,,,,,,,RB,Jeff Wilson Jr. (25778152),Jeff Wilson Jr.,25778152,FLEX,6200,MIA@LAC 12/11/2022 09:50PM ET,MIA,11.08
,,,,,,,QB,Skylar Thompson (25778153),Skylar Thompson,25778153,FLEX,6000,MIA@LAC 12/11/2022 09:50PM ET,MIA,1.70
,,,,,,,QB,Easton Stick (25778154),Easton Stick,25778154,FLEX,6000,MIA@LAC 12/11/2022 09:50PM ET,LAC,0
,,,,,,,QB,Chase Daniel (25778155),Chase Daniel,25778155,FLEX,6000,MIA@LAC 12/11/2022 09:50PM ET,LAC,0
,,,,,,,K,Jason Sanders (25778109),Jason Sanders,25778109,CPT,6000,MIA@LAC 12/11/2022 09:50PM ET,MIA,7.75
,,,,,,,RB,Raheem Mostert (25778156),Raheem Mostert,25778156,FLEX,5600,MIA@LAC 12/11/2022 09:50PM ET,MIA,10.29
,,,,,,,RB,Joshua Kelley (25778157),Joshua Kelley,25778157,FLEX,5400,MIA@LAC 12/11/2022 09:50PM ET,LAC,4.5
,,,,,,,DST,Chargers  (25778110),Chargers ,25778110,CPT,5400,MIA@LAC 12/11/2022 09:50PM ET,LAC,4.92
,,,,,,,DST,Dolphins  (25778111),Dolphins ,25778111,CPT,5100,MIA@LAC 12/11/2022 09:50PM ET,MIA,6.42
,,,,,,,TE,Gerald Everett (25778158),Gerald Everett,25778158,FLEX,5000,MIA@LAC 12/11/2022 09:50PM ET,LAC,9.38
,,,,,,,WR,DeAndre Carter (25778159),DeAndre Carter,25778159,FLEX,4800,MIA@LAC 12/11/2022 09:50PM ET,LAC,8.51
,,,,,,,WR,Trent Sherfield (25778160),Trent Sherfield,25778160,FLEX,4600,MIA@LAC 12/11/2022 09:50PM ET,MIA,6.04
,,,,,,,TE,Durham Smythe (25778112),Durham Smythe,25778112,CPT,4500,MIA@LAC 12/11/2022 09:50PM ET,MIA,2.6
,,,,,,,TE,Mike Gesicki (25778161),Mike Gesicki,25778161,FLEX,4400,MIA@LAC 12/11/2022 09:50PM ET,MIA,6.24
,,,,,,,K,Dustin Hopkins (25778163),Dustin Hopkins,25778163,FLEX,4200,MIA@LAC 12/11/2022 09:50PM ET,LAC,8
,,,,,,,K,Cameron Dicker (25778162),Cameron Dicker,25778162,FLEX,4200,MIA@LAC 12/11/2022 09:50PM ET,LAC,8.67
,,,,,,,K,Jason Sanders (25778164),Jason Sanders,25778164,FLEX,4000,MIA@LAC 12/11/2022 09:50PM ET,MIA,7.75
,,,,,,,RB,Myles Gaskin (25778113),Myles Gaskin,25778113,CPT,3900,MIA@LAC 12/11/2022 09:50PM ET,MIA,3.13
,,,,,,,DST,Chargers  (25778165),Chargers ,25778165,FLEX,3600,MIA@LAC 12/11/2022 09:50PM ET,LAC,4.92
,,,,,,,DST,Dolphins  (25778166),Dolphins ,25778166,FLEX,3400,MIA@LAC 12/11/2022 09:50PM ET,MIA,6.42
,,,,,,,TE,Durham Smythe (25778167),Durham Smythe,25778167,FLEX,3000,MIA@LAC 12/11/2022 09:50PM ET,MIA,2.6
,,,,,,,WR,River Cracraft (25778114),River Cracraft,25778114,CPT,3000,MIA@LAC 12/11/2022 09:50PM ET,MIA,3.3
,,,,,,,RB,Myles Gaskin (25778168),Myles Gaskin,25778168,FLEX,2600,MIA@LAC 12/11/2022 09:50PM ET,MIA,3.13
,,,,,,,RB,Alec Ingold (25778115),Alec Ingold,25778115,CPT,2100,MIA@LAC 12/11/2022 09:50PM ET,MIA,3.03
,,,,,,,WR,River Cracraft (25778169),River Cracraft,25778169,FLEX,2000,MIA@LAC 12/11/2022 09:50PM ET,MIA,3.3
,,,,,,,WR,Michael Bandy (25778116),Michael Bandy,25778116,CPT,1500,MIA@LAC 12/11/2022 09:50PM ET,LAC,2.1
,,,,,,,RB,Alec Ingold (25778170),Alec Ingold,25778170,FLEX,1400,MIA@LAC 12/11/2022 09:50PM ET,MIA,3.03
,,,,,,,WR,Michael Bandy (25778171),Michael Bandy,25778171,FLEX,1000,MIA@LAC 12/11/2022 09:50PM ET,LAC,2.1
,,,,,,,TE,Stone Smartt (25778117),Stone Smartt,25778117,CPT,900,MIA@LAC 12/11/2022 09:50PM ET,LAC,1.3
,,,,,,,TE,Stone Smartt (25778172),Stone Smartt,25778172,FLEX,600,MIA@LAC 12/11/2022 09:50PM ET,LAC,1.3
,,,,,,,TE,Tre' McKitty (25778118),Tre' McKitty,25778118,CPT,600,MIA@LAC 12/11/2022 09:50PM ET,LAC,1.14
,,,,,,,TE,Tre' McKitty (25778173),Tre' McKitty,25778173,FLEX,400,MIA@LAC 12/11/2022 09:50PM ET,LAC,1.14
,,,,,,,RB,Salvon Ahmed (25778119),Salvon Ahmed,25778119,CPT,300,MIA@LAC 12/11/2022 09:50PM ET,MIA,0.19
,,,,,,,TE,Hunter Kampmoyer (25778120),Hunter Kampmoyer,25778120,CPT,300,MIA@LAC 12/11/2022 09:50PM ET,LAC,0
,,,,,,,TE,Adam Shaheen (25778121),Adam Shaheen,25778121,CPT,300,MIA@LAC 12/11/2022 09:50PM ET,MIA,0
,,,,,,,TE,Richard Rodgers (25778122),Richard Rodgers,25778122,CPT,300,MIA@LAC 12/11/2022 09:50PM ET,LAC,0.14
,,,,,,,TE,Donald Parham Jr. (25778123),Donald Parham Jr.,25778123,CPT,300,MIA@LAC 12/11/2022 09:50PM ET,LAC,4.15
,,,,,,,TE,Hunter Long (25778124),Hunter Long,25778124,CPT,300,MIA@LAC 12/11/2022 09:50PM ET,MIA,0
