QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,RB,Christian McCaffrey (26220797),Christian McCaffrey,26220797,RB/FLEX,9300,ARI@SF 01/08/2023 04:25PM ET,SF,22.15
,,,,,,,,,,WR,Justin Jefferson (26221107),Justin Jefferson,26221107,WR/FLEX,9100,MIN@CHI 01/08/2023 01:00PM ET,MIN,24.43
,,,,,,,,,,RB,Austin Ekeler (26220799),Austin Ekeler,26220799,RB/FLEX,8900,LAC@DEN 01/08/2023 04:25PM ET,LAC,23.23
,,,,,,,,,,WR,Tyreek Hill (26221109),Tyreek Hill,26221109,WR/FLEX,8600,NYJ@MIA 01/08/2023 01:00PM ET,MIA,22.74
,,,,,,,,,,QB,Josh Allen (26220705),Josh Allen,26220705,QB,8400,NE@BUF 01/08/2023 01:00PM ET,BUF,27.32
,,,,,,,,,,WR,Ja'Marr Chase (26221111),Ja'Marr Chase,26221111,WR/FLEX,8400,BAL@CIN 01/08/2023 01:00PM ET,CIN,21.26
,,,,,,,,,,QB,Jalen Hurts (26220706),Jalen Hurts,26220706,QB,8200,NYG@PHI 01/08/2023 04:25PM ET,PHI,27.97
,,,,,,,,,,WR,CeeDee Lamb (26221113),CeeDee Lamb,26221113,WR/FLEX,8200,DAL@WAS 01/08/2023 04:25PM ET,DAL,18.78
,,,,,,,,,,RB,Saquon Barkley (26220801),Saquon Barkley,26220801,RB/FLEX,8000,NYG@PHI 01/08/2023 04:25PM ET,NYG,18.5
,,,,,,,,,,WR,A.J. Brown (26221115),A.J. Brown,26221115,WR/FLEX,8000,NYG@PHI 01/08/2023 04:25PM ET,PHI,18.94
,,,,,,,,,,WR,Stefon Diggs (26221117),Stefon Diggs,26221117,WR/FLEX,7900,NE@BUF 01/08/2023 01:00PM ET,BUF,20.75
,,,,,,,,,,QB,Justin Fields (26220707),Justin Fields,26220707,QB,7700,MIN@CHI 01/08/2023 01:00PM ET,CHI,21.20
,,,,,,,,,,WR,DeAndre Hopkins (26221119),DeAndre Hopkins,26221119,WR/FLEX,7700,ARI@SF 01/08/2023 04:25PM ET,ARI,17.63
,,,,,,,,,,WR,Tee Higgins (26221121),Tee Higgins,26221121,WR/FLEX,7600,BAL@CIN 01/08/2023 01:00PM ET,CIN,15.41
,,,,,,,,,,WR,DeVonta Smith (26221123),DeVonta Smith,26221123,WR/FLEX,7500,NYG@PHI 01/08/2023 04:25PM ET,PHI,16.06
,,,,,,,,,,RB,Nick Chubb (26220803),Nick Chubb,26220803,RB/FLEX,7500,CLE@PIT 01/08/2023 01:00PM ET,CLE,17.51
,,,,,,,,,,WR,Mike Evans (26221125),Mike Evans,26221125,WR/FLEX,7400,TB@ATL 01/08/2023 01:00PM ET,TB,15.63
,,,,,,,,,,RB,Dalvin Cook (26220805),Dalvin Cook,26220805,RB/FLEX,7300,MIN@CHI 01/08/2023 01:00PM ET,MIN,15.26
,,,,,,,,,,QB,Joe Burrow (26220708),Joe Burrow,26220708,QB,7300,BAL@CIN 01/08/2023 01:00PM ET,CIN,24.54
,,,,,,,,,,WR,Jaylen Waddle (26221127),Jaylen Waddle,26221127,WR/FLEX,7300,NYJ@MIA 01/08/2023 01:00PM ET,MIA,16.74
,,,,,,,,,,WR,Chris Godwin (26221129),Chris Godwin,26221129,WR/FLEX,7200,TB@ATL 01/08/2023 01:00PM ET,TB,15.74
,,,,,,,,,,QB,Lamar Jackson (26220709),Lamar Jackson,26220709,QB,7100,BAL@CIN 01/08/2023 01:00PM ET,BAL,21.17
,,,,,,,,,,RB,Joe Mixon (26220807),Joe Mixon,26220807,RB/FLEX,7100,BAL@CIN 01/08/2023 01:00PM ET,CIN,17.28
,,,,,,,,,,RB,Tony Pollard (26220809),Tony Pollard,26220809,RB/FLEX,7000,DAL@WAS 01/08/2023 04:25PM ET,DAL,17.26
,,,,,,,,,,WR,Keenan Allen (26221131),Keenan Allen,26221131,WR/FLEX,6900,LAC@DEN 01/08/2023 04:25PM ET,LAC,15.31
,,,,,,,,,,QB,Justin Herbert (26220710),Justin Herbert,26220710,QB,6800,LAC@DEN 01/08/2023 04:25PM ET,LAC,18.15
,,,,,,,,,,RB,James Conner (26220811),James Conner,26220811,RB/FLEX,6800,ARI@SF 01/08/2023 04:25PM ET,ARI,15.71
,,,,,,,,,,WR,Brandon Aiyuk (26221133),Brandon Aiyuk,26221133,WR/FLEX,6800,ARI@SF 01/08/2023 04:25PM ET,SF,13.87
,,,,,,,,,,RB,Rhamondre Stevenson (26220813),Rhamondre Stevenson,26220813,RB/FLEX,6700,NE@BUF 01/08/2023 01:00PM ET,NE,15.18
,,,,,,,,,,QB,Tua Tagovailoa (26220711),Tua Tagovailoa,26220711,QB,6700,NYJ@MIA 01/08/2023 01:00PM ET,MIA,19.38
,,,,,,,,,,WR,DK Metcalf (26221135),DK Metcalf,26221135,WR/FLEX,6700,LAR@SEA 01/08/2023 04:25PM ET,SEA,14.24
,,,,,,,,,,RB,Alvin Kamara (26220815),Alvin Kamara,26220815,RB/FLEX,6600,CAR@NO 01/08/2023 01:00PM ET,NO,14.76
,,,,,,,,,,QB,Dak Prescott (26220712),Dak Prescott,26220712,QB,6600,DAL@WAS 01/08/2023 04:25PM ET,DAL,18.90
,,,,,,,,,,WR,Mike Williams (26221137),Mike Williams,26221137,WR/FLEX,6600,LAC@DEN 01/08/2023 04:25PM ET,LAC,15.11
,,,,,,,,,,QB,Kirk Cousins (26220713),Kirk Cousins,26220713,QB,6500,MIN@CHI 01/08/2023 01:00PM ET,MIN,19.04
,,,,,,,,,,RB,David Montgomery (26220817),David Montgomery,26220817,RB/FLEX,6500,MIN@CHI 01/08/2023 01:00PM ET,CHI,12.04
,,,,,,,,,,QB,Tom Brady (26220714),Tom Brady,26220714,QB,6400,TB@ATL 01/08/2023 01:00PM ET,TB,18.27
,,,,,,,,,,RB,Kenneth Walker III (26220819),Kenneth Walker III,26220819,RB/FLEX,6400,LAR@SEA 01/08/2023 04:25PM ET,SEA,14.36
,,,,,,,,,,WR,Tyler Lockett (26221139),Tyler Lockett,26221139,WR/FLEX,6400,LAR@SEA 01/08/2023 04:25PM ET,SEA,15.53
